stratum,model_a,model_b,n,pearson_abs_error,spearman_abs_error,mean_paired_abs_error_diff,median_paired_abs_error_diff,fraction_a_strictly_better,fraction_b_strictly_better,fraction_tied
overall,B3_R2,GRU_R1,411012,0.801324,0.746281,-1.094359,-0.870138,54.039298,45.960702,0.0
overall,B3_R2,B0,411012,0.667901,0.679465,-4.147138,-1.136583,55.702023,44.297977,0.0
overall,GRU_R1,B0,411012,0.872808,0.692677,-3.052779,-0.703948,52.533259,47.466741,0.0
overall,B3_R2,BEST_OF_THREE,411012,NA,NA,NA,NA,36.892597,NA,0.0
overall,GRU_R1,BEST_OF_THREE,411012,NA,NA,NA,NA,29.64439,NA,0.0
overall,B0,BEST_OF_THREE,411012,NA,NA,NA,NA,33.463013,NA,0.0
severe,B3_R2,GRU_R1,20336,0.789259,0.744191,22.568231,5.692406,44.433517,55.566483,0.0
severe,B3_R2,B0,20336,0.684961,0.679706,38.676642,11.894562,36.334579,63.665421,0.0
severe,GRU_R1,B0,20336,0.828026,0.703891,16.108411,16.066284,33.67919,66.32081,0.0
severe,B3_R2,BEST_OF_THREE,20336,NA,NA,NA,NA,26.386703,NA,0.0
severe,GRU_R1,BEST_OF_THREE,20336,NA,NA,NA,NA,20.736625,NA,0.0
severe,B0,BEST_OF_THREE,20336,NA,NA,NA,NA,52.876672,NA,0.0
