model,horizon_hours,n,MAE,RMSE,R2,mean_residual,underprediction_rate_pct,mae_diff_vs_B0,mae_rel_improvement_vs_B0_pct
B3_R2,1,102753,9.303666,18.213443,0.951536,0.136397,49.054529,-0.973368,9.47129
B3_R2,6,102753,28.234378,48.197787,0.660615,1.291278,47.148015,-3.681848,11.535976
B3_R2,12,102753,39.437033,62.488622,0.42952,4.487785,44.170973,-4.786464,10.82335
B3_R2,24,102753,50.940997,77.05864,0.132477,5.816742,42.191469,-7.146874,12.303556
GRU_R1,1,102753,12.862936,24.335201,0.913482,2.243586,48.197133,2.585903,-25.161958
GRU_R1,6,102753,29.243619,48.810133,0.651937,-0.469307,45.325197,-2.672607,8.373819
GRU_R1,12,102753,39.354162,61.958016,0.439167,-2.14235,43.351532,-4.869335,11.010741
GRU_R1,24,102753,50.832794,75.183294,0.174188,-5.147714,43.166623,-7.255077,12.489832
B0,1,102753,10.277033,19.704177,0.943278,0.011406,50.373225,0.0,-0.0
B0,6,102753,31.916226,54.802432,0.561229,-0.012029,54.10061,0.0,-0.0
B0,12,102753,44.223497,72.221601,0.237969,-0.037926,54.922971,0.0,-0.0
B0,24,102753,58.087871,87.99989,-0.131365,-0.201795,55.394003,0.0,-0.0
