model,horizon_hours,target_hour,n,MAE,mean_residual,underprediction_rate_pct
B3_R2,1,0,4307,9.784458,0.187805,48.897144
B3_R2,1,1,4301,10.102903,0.845013,49.035108
B3_R2,1,2,4314,9.435011,0.361963,49.026426
B3_R2,1,3,4289,9.474052,-0.596054,49.731872
B3_R2,1,4,4298,8.664977,-0.307099,49.464867
B3_R2,1,5,4305,8.306038,-0.141008,48.896632
B3_R2,1,6,4301,8.089447,-0.745536,48.267845
B3_R2,1,7,4296,7.539801,-0.457102,48.696462
B3_R2,1,8,4307,8.184755,0.035446,49.17576
B3_R2,1,9,4302,8.61128,-0.21337,47.047885
B3_R2,1,10,4275,9.145595,-0.111093,47.976608
B3_R2,1,11,4218,9.415542,0.017332,48.316738
B3_R2,1,12,4226,9.426544,0.707422,51.348793
B3_R2,1,13,4230,10.032972,0.82897,52.009456
B3_R2,1,14,4252,10.004011,-0.373896,48.612418
B3_R2,1,15,4240,9.84463,-0.501226,48.70283
B3_R2,1,16,4251,9.453016,0.568824,49.682428
B3_R2,1,17,4276,9.545014,1.527689,50.280636
B3_R2,1,18,4251,8.840185,0.878211,49.423665
B3_R2,1,19,4299,9.24953,1.668157,50.38381
B3_R2,1,20,4293,10.029414,-0.01867,49.382716
B3_R2,1,21,4305,9.835909,-0.877243,46.248548
B3_R2,1,22,4299,10.194391,-0.187557,48.011165
B3_R2,1,23,4318,10.104924,0.19869,48.77258
B3_R2,6,0,4307,30.532863,-0.11011,41.908521
B3_R2,6,1,4301,30.98898,-0.005573,42.362241
B3_R2,6,2,4314,29.853841,0.021258,44.969866
B3_R2,6,3,4289,28.995272,-0.115239,46.001399
B3_R2,6,4,4298,27.078221,-0.294784,47.254537
B3_R2,6,5,4305,26.211778,0.667867,48.199768
B3_R2,6,6,4301,26.298461,-0.359632,47.268077
B3_R2,6,7,4296,25.609899,-1.108614,48.905959
B3_R2,6,8,4307,25.696248,-0.509949,50.684932
B3_R2,6,9,4302,25.496605,0.369303,50.69735
B3_R2,6,10,4275,26.713272,0.373403,49.169591
B3_R2,6,11,4218,27.876737,0.866663,47.818872
B3_R2,6,12,4226,28.267473,3.073508,50.260293
B3_R2,6,13,4230,28.597792,2.297019,47.588652
B3_R2,6,14,4252,29.130368,2.218418,46.16651
B3_R2,6,15,4240,29.812817,2.439862,46.910377
B3_R2,6,16,4251,29.193117,3.42132,48.929664
B3_R2,6,17,4276,28.544943,4.166673,50.327409
B3_R2,6,18,4251,28.321814,3.122117,48.90614
B3_R2,6,19,4299,27.694971,2.439555,47.220284
B3_R2,6,20,4293,28.631081,2.264031,46.307943
B3_R2,6,21,4305,28.559167,2.678873,45.389082
B3_R2,6,22,4299,29.597911,2.225222,45.24308
B3_R2,6,23,4318,29.94875,0.977036,43.214451
B3_R2,12,0,4307,41.513245,3.468666,41.792431
B3_R2,12,1,4301,42.23561,3.454959,41.548477
B3_R2,12,2,4314,41.575514,3.137026,42.58229
B3_R2,12,3,4289,40.649692,2.038909,42.037771
B3_R2,12,4,4298,38.693678,1.465807,41.973011
B3_R2,12,5,4305,37.765769,1.290725,41.207898
B3_R2,12,6,4301,36.980994,0.907311,41.315973
B3_R2,12,7,4296,36.419041,3.216252,43.691806
B3_R2,12,8,4307,35.780744,3.799651,45.809148
B3_R2,12,9,4302,35.868824,4.296854,46.908415
B3_R2,12,10,4275,37.572517,4.692017,46.549708
B3_R2,12,11,4218,38.952095,4.576281,44.594595
B3_R2,12,12,4226,39.797782,5.532406,45.882631
B3_R2,12,13,4230,40.448379,6.469746,46.335697
B3_R2,12,14,4252,40.229455,7.260407,45.413923
B3_R2,12,15,4240,40.239384,6.921636,44.198113
B3_R2,12,16,4251,40.191395,7.55818,45.495178
B3_R2,12,17,4276,39.851729,8.246844,46.328344
B3_R2,12,18,4251,39.412295,9.206335,49.164902
B3_R2,12,19,4299,39.495107,5.615662,46.103745
B3_R2,12,20,4293,40.301178,4.802673,44.374563
B3_R2,12,21,4305,40.667073,2.99265,41.788618
B3_R2,12,22,4299,40.961968,3.18557,42.498255
B3_R2,12,23,4318,40.911842,3.806295,42.704956
B3_R2,24,0,4307,54.454116,7.195309,41.885303
B3_R2,24,1,4301,54.275392,6.471325,41.315973
B3_R2,24,2,4314,52.940415,5.537908,41.655076
B3_R2,24,3,4289,51.139603,4.019181,41.454885
B3_R2,24,4,4298,49.706504,2.720544,41.321545
B3_R2,24,5,4305,49.003365,3.268878,40.766551
B3_R2,24,6,4301,48.118156,2.99106,39.502441
B3_R2,24,7,4296,46.763987,2.126759,38.524209
B3_R2,24,8,4307,46.530679,2.171022,40.492222
B3_R2,24,9,4302,47.840975,2.493921,41.283124
B3_R2,24,10,4275,49.886293,3.407013,41.426901
B3_R2,24,11,4218,50.671425,4.348174,42.128971
B3_R2,24,12,4226,51.037341,5.880518,43.658306
B3_R2,24,13,4230,51.107926,7.543213,43.21513
B3_R2,24,14,4252,50.704393,8.107972,42.968015
B3_R2,24,15,4240,50.491229,7.214538,41.933962
B3_R2,24,16,4251,50.408959,6.941665,41.801929
B3_R2,24,17,4276,51.028311,7.206931,42.399439
B3_R2,24,18,4251,51.352224,8.344559,43.683839
B3_R2,24,19,4299,52.581827,8.941788,44.568504
