model,station,horizon_hours,lag_hours,acf,n_pairs
B3_R2,Aotizhongxin,1,1,0.231724,8511
B3_R2,Aotizhongxin,1,2,0.020438,8487
B3_R2,Aotizhongxin,1,3,0.010889,8484
B3_R2,Aotizhongxin,1,6,-0.009565,8470
B3_R2,Aotizhongxin,1,12,-0.00278,8439
B3_R2,Aotizhongxin,1,24,-0.00059,8389
B3_R2,Aotizhongxin,1,48,0.022946,8360
B3_R2,Aotizhongxin,1,72,0.011411,8333
B3_R2,Aotizhongxin,1,168,0.012108,8242
B3_R2,Aotizhongxin,6,1,0.867144,8511
B3_R2,Aotizhongxin,6,2,0.681316,8487
B3_R2,Aotizhongxin,6,3,0.498702,8484
B3_R2,Aotizhongxin,6,6,0.03217,8470
B3_R2,Aotizhongxin,6,12,0.032938,8439
B3_R2,Aotizhongxin,6,24,0.028488,8389
B3_R2,Aotizhongxin,6,48,0.047121,8360
B3_R2,Aotizhongxin,6,72,0.038887,8333
B3_R2,Aotizhongxin,6,168,0.019097,8242
B3_R2,Aotizhongxin,12,1,0.938303,8511
B3_R2,Aotizhongxin,12,2,0.852343,8487
B3_R2,Aotizhongxin,12,3,0.769501,8484
B3_R2,Aotizhongxin,12,6,0.549161,8470
B3_R2,Aotizhongxin,12,12,0.20698,8439
B3_R2,Aotizhongxin,12,24,0.137446,8389
B3_R2,Aotizhongxin,12,48,0.117189,8360
B3_R2,Aotizhongxin,12,72,0.106797,8333
B3_R2,Aotizhongxin,12,168,0.009637,8242
B3_R2,Aotizhongxin,24,1,0.963623,8511
B3_R2,Aotizhongxin,24,2,0.911337,8487
B3_R2,Aotizhongxin,24,3,0.859479,8484
B3_R2,Aotizhongxin,24,6,0.722935,8470
B3_R2,Aotizhongxin,24,12,0.51938,8439
B3_R2,Aotizhongxin,24,24,0.242305,8389
B3_R2,Aotizhongxin,24,48,0.176006,8360
B3_R2,Aotizhongxin,24,72,0.153638,8333
B3_R2,Aotizhongxin,24,168,0.02334,8242
B3_R2,Changping,1,1,0.0479,8568
B3_R2,Changping,1,2,-0.043982,8553
B3_R2,Changping,1,3,-0.014127,8549
B3_R2,Changping,1,6,0.009186,8541
B3_R2,Changping,1,12,-0.016495,8528
B3_R2,Changping,1,24,0.004492,8513
B3_R2,Changping,1,48,0.039461,8486
B3_R2,Changping,1,72,0.002445,8461
B3_R2,Changping,1,168,0.019613,8369
B3_R2,Changping,6,1,0.844664,8568
B3_R2,Changping,6,2,0.652503,8553
B3_R2,Changping,6,3,0.4732,8549
B3_R2,Changping,6,6,0.017555,8541
B3_R2,Changping,6,12,-0.040663,8528
B3_R2,Changping,6,24,0.031931,8513
B3_R2,Changping,6,48,0.057539,8486
B3_R2,Changping,6,72,0.022826,8461
B3_R2,Changping,6,168,0.029361,8369
B3_R2,Changping,12,1,0.92784,8568
B3_R2,Changping,12,2,0.836005,8553
B3_R2,Changping,12,3,0.750141,8549
B3_R2,Changping,12,6,0.519677,8541
B3_R2,Changping,12,12,0.159539,8528
B3_R2,Changping,12,24,0.152569,8513
B3_R2,Changping,12,48,0.108611,8486
B3_R2,Changping,12,72,0.074638,8461
B3_R2,Changping,12,168,0.025153,8369
B3_R2,Changping,24,1,0.96115,8568
B3_R2,Changping,24,2,0.912181,8553
B3_R2,Changping,24,3,0.866429,8549
B3_R2,Changping,24,6,0.747659,8541
B3_R2,Changping,24,12,0.551252,8528
B3_R2,Changping,24,24,0.308721,8513
B3_R2,Changping,24,48,0.165513,8486
B3_R2,Changping,24,72,0.120329,8461
B3_R2,Changping,24,168,0.03371,8369
B3_R2,Dingling,1,1,0.053329,8396
B3_R2,Dingling,1,2,-0.018625,8372
B3_R2,Dingling,1,3,0.008711,8360
B3_R2,Dingling,1,6,-0.014356,8338
B3_R2,Dingling,1,12,-0.003164,8310
B3_R2,Dingling,1,24,0.014043,8271
B3_R2,Dingling,1,48,0.034139,8222
B3_R2,Dingling,1,72,-0.010972,8172
B3_R2,Dingling,1,168,0.017836,8032
B3_R2,Dingling,6,1,0.844473,8396
B3_R2,Dingling,6,2,0.656018,8372
B3_R2,Dingling,6,3,0.479587,8360
B3_R2,Dingling,6,6,0.003002,8338
B3_R2,Dingling,6,12,-0.094422,8310
B3_R2,Dingling,6,24,0.022073,8271
B3_R2,Dingling,6,48,0.053759,8222
B3_R2,Dingling,6,72,0.012098,8172
B3_R2,Dingling,6,168,0.032227,8032
B3_R2,Dingling,12,1,0.923015,8396
B3_R2,Dingling,12,2,0.831619,8372
B3_R2,Dingling,12,3,0.746084,8360
B3_R2,Dingling,12,6,0.495127,8338
B3_R2,Dingling,12,12,0.058563,8310
B3_R2,Dingling,12,24,0.072957,8271
B3_R2,Dingling,12,48,0.07654,8222
B3_R2,Dingling,12,72,0.029635,8172
B3_R2,Dingling,12,168,0.026209,8032
B3_R2,Dingling,24,1,0.9568,8396
B3_R2,Dingling,24,2,0.907302,8372
B3_R2,Dingling,24,3,0.861485,8360
B3_R2,Dingling,24,6,0.730048,8338
B3_R2,Dingling,24,12,0.503624,8310
B3_R2,Dingling,24,24,0.223072,8271
B3_R2,Dingling,24,48,0.113885,8222
B3_R2,Dingling,24,72,0.080959,8172
B3_R2,Dingling,24,168,0.010273,8032
B3_R2,Dongsi,1,1,0.222951,8292
B3_R2,Dongsi,1,2,0.038117,8256
B3_R2,Dongsi,1,3,0.040004,8245
B3_R2,Dongsi,1,6,0.018255,8207
B3_R2,Dongsi,1,12,-0.013107,8148
B3_R2,Dongsi,1,24,0.037455,8073
B3_R2,Dongsi,1,48,0.004848,7982
B3_R2,Dongsi,1,72,0.004096,7962
B3_R2,Dongsi,1,168,0.023244,7859
B3_R2,Dongsi,6,1,0.86759,8292
B3_R2,Dongsi,6,2,0.688952,8256
B3_R2,Dongsi,6,3,0.515575,8245
B3_R2,Dongsi,6,6,0.050584,8207
B3_R2,Dongsi,6,12,0.044435,8148
B3_R2,Dongsi,6,24,0.073599,8073
B3_R2,Dongsi,6,48,0.06991,7982
B3_R2,Dongsi,6,72,0.039423,7962
B3_R2,Dongsi,6,168,0.027451,7859
B3_R2,Dongsi,12,1,0.938679,8292
B3_R2,Dongsi,12,2,0.857239,8256
B3_R2,Dongsi,12,3,0.777828,8245
B3_R2,Dongsi,12,6,0.554606,8207
B3_R2,Dongsi,12,12,0.228963,8148
B3_R2,Dongsi,12,24,0.180296,8073
B3_R2,Dongsi,12,48,0.149017,7982
B3_R2,Dongsi,12,72,0.111754,7962
B3_R2,Dongsi,12,168,0.010141,7859
B3_R2,Dongsi,24,1,0.964547,8292
B3_R2,Dongsi,24,2,0.913869,8256
B3_R2,Dongsi,24,3,0.863959,8245
B3_R2,Dongsi,24,6,0.723008,8207
B3_R2,Dongsi,24,12,0.524679,8148
B3_R2,Dongsi,24,24,0.272317,8073
B3_R2,Dongsi,24,48,0.20395,7982
B3_R2,Dongsi,24,72,0.150834,7962
B3_R2,Dongsi,24,168,0.024098,7859
B3_R2,Guanyuan,1,1,0.16962,8506
B3_R2,Guanyuan,1,2,-0.006745,8482
B3_R2,Guanyuan,1,3,-0.001959,8471
B3_R2,Guanyuan,1,6,-0.014665,8448
B3_R2,Guanyuan,1,12,-0.028036,8418
B3_R2,Guanyuan,1,24,0.001913,8388
B3_R2,Guanyuan,1,48,0.031279,8348
B3_R2,Guanyuan,1,72,0.016539,8323
B3_R2,Guanyuan,1,168,0.009198,8238
B3_R2,Guanyuan,6,1,0.863553,8506
B3_R2,Guanyuan,6,2,0.669173,8482
B3_R2,Guanyuan,6,3,0.480898,8471
B3_R2,Guanyuan,6,6,0.013098,8448
B3_R2,Guanyuan,6,12,0.029484,8418
B3_R2,Guanyuan,6,24,0.039211,8388
B3_R2,Guanyuan,6,48,0.05728,8348
B3_R2,Guanyuan,6,72,0.022505,8323
B3_R2,Guanyuan,6,168,-0.009717,8238
B3_R2,Guanyuan,12,1,0.937009,8506
B3_R2,Guanyuan,12,2,0.847268,8482
B3_R2,Guanyuan,12,3,0.761788,8471
B3_R2,Guanyuan,12,6,0.545623,8448
B3_R2,Guanyuan,12,12,0.216707,8418
B3_R2,Guanyuan,12,24,0.148695,8388
B3_R2,Guanyuan,12,48,0.125919,8348
B3_R2,Guanyuan,12,72,0.075099,8323
B3_R2,Guanyuan,12,168,-0.020663,8238
