model,horizon_hours,lag_hours,mean,median,min,max,q25,q75,iqr,n_stations
B3_R2,1,1,0.176544,0.19706,0.0479,0.262091,0.14339,0.235469,0.092078,12
B3_R2,1,2,0.007729,0.023616,-0.088507,0.067644,-0.024965,0.045302,0.070267,12
B3_R2,1,3,0.022528,0.013084,-0.026058,0.07084,0.002561,0.04883,0.046269,12
B3_R2,1,6,-0.007353,-0.010008,-0.050993,0.02093,-0.015305,0.009896,0.025201,12
B3_R2,1,12,-0.004905,-0.00429,-0.028036,0.016507,-0.012572,0.001091,0.013663,12
B3_R2,1,24,0.010902,0.007204,-0.004518,0.037455,0.000368,0.015763,0.015396,12
B3_R2,1,48,0.019684,0.020489,-0.002307,0.039461,0.010712,0.027445,0.016733,12
B3_R2,1,72,0.007509,0.007754,-0.010972,0.021855,0.001545,0.015989,0.014444,12
B3_R2,1,168,0.009318,0.008761,-0.008733,0.023244,0.005443,0.01828,0.012838,12
B3_R2,6,1,0.862033,0.867367,0.843282,0.876851,0.85418,0.868575,0.014395,12
B3_R2,6,2,0.678734,0.681902,0.652503,0.700585,0.66625,0.690854,0.024604,12
B3_R2,6,3,0.501269,0.499609,0.4732,0.534677,0.480865,0.516463,0.035598,12
B3_R2,6,6,0.043073,0.035125,0.003002,0.110126,0.019848,0.052898,0.03305,12
B3_R2,6,12,0.017389,0.035447,-0.094422,0.080354,-0.011797,0.047569,0.059366,12
B3_R2,6,24,0.056424,0.056177,0.019904,0.141741,0.031071,0.073382,0.042312,12
B3_R2,6,48,0.059465,0.060572,0.035706,0.077949,0.052099,0.069571,0.017472,12
B3_R2,6,72,0.040002,0.037195,0.012098,0.111672,0.031061,0.041803,0.010743,12
B3_R2,6,168,0.023952,0.028406,-0.009997,0.04687,0.017574,0.036072,0.018498,12
B3_R2,12,1,0.935261,0.937656,0.923015,0.942228,0.932567,0.939866,0.007299,12
B3_R2,12,2,0.84943,0.853282,0.831524,0.861302,0.843283,0.857973,0.01469,12
B3_R2,12,3,0.767342,0.772531,0.746084,0.785928,0.751835,0.77931,0.027475,12
B3_R2,12,6,0.542523,0.547392,0.494086,0.578954,0.519398,0.566503,0.047105,12
B3_R2,12,12,0.195403,0.211843,0.058563,0.275473,0.153775,0.249928,0.096153,12
B3_R2,12,24,0.152673,0.157636,0.070345,0.239036,0.127829,0.182247,0.054418,12
B3_R2,12,48,0.121897,0.131444,0.029873,0.182775,0.102762,0.148287,0.045525,12
B3_R2,12,72,0.09938,0.109275,0.029635,0.154416,0.074984,0.130904,0.05592,12
B3_R2,12,168,0.013686,0.016425,-0.029601,0.043987,0.007031,0.028037,0.021007,12
B3_R2,24,1,0.962625,0.964085,0.956016,0.966308,0.960903,0.965293,0.00439,12
B3_R2,24,2,0.911717,0.912616,0.901804,0.917297,0.910328,0.914503,0.004174,12
B3_R2,24,3,0.86249,0.864517,0.847862,0.869864,0.860983,0.866498,0.005514,12
B3_R2,24,6,0.72821,0.730354,0.686768,0.747659,0.722813,0.74108,0.018267,12
B3_R2,24,12,0.526793,0.526287,0.453345,0.561062,0.515441,0.552572,0.037131,12
B3_R2,24,24,0.266948,0.274881,0.203429,0.31456,0.237496,0.294788,0.057291,12
B3_R2,24,48,0.174704,0.179272,0.079659,0.247915,0.153962,0.206397,0.052434,12
B3_R2,24,72,0.145711,0.152236,0.080959,0.19107,0.119649,0.170508,0.050859,12
B3_R2,24,168,0.026647,0.025283,-0.002692,0.050978,0.017439,0.037169,0.01973,12
GRU_R1,1,1,0.583287,0.588792,0.452723,0.698149,0.561021,0.618697,0.057676,12
GRU_R1,1,2,0.44805,0.445317,0.360281,0.562785,0.404946,0.483094,0.078147,12
GRU_R1,1,3,0.405379,0.393701,0.334254,0.517848,0.374994,0.432502,0.057508,12
GRU_R1,1,6,0.285487,0.274873,0.230831,0.396215,0.263867,0.294942,0.031075,12
GRU_R1,1,12,0.178344,0.180529,0.133246,0.237488,0.156153,0.192903,0.036751,12
GRU_R1,1,24,0.141092,0.13087,0.095768,0.236632,0.12399,0.150638,0.026647,12
GRU_R1,1,48,0.100333,0.10694,0.06318,0.132883,0.087331,0.116621,0.029291,12
GRU_R1,1,72,0.071037,0.072011,0.015678,0.141938,0.060616,0.078566,0.01795,12
GRU_R1,1,168,0.013401,0.005475,-0.019612,0.054857,-0.00768,0.039267,0.046948,12
GRU_R1,6,1,0.866368,0.870002,0.847717,0.879396,0.858365,0.87262,0.014255,12
GRU_R1,6,2,0.678003,0.675864,0.658064,0.700008,0.670765,0.688218,0.017453,12
GRU_R1,6,3,0.492186,0.489923,0.471403,0.526666,0.477717,0.504877,0.02716,12
GRU_R1,6,6,0.002355,-0.009168,-0.044929,0.063317,-0.018699,0.01864,0.037339,12
GRU_R1,6,12,-0.002367,0.00078,-0.057494,0.039982,-0.017517,0.020732,0.038249,12
GRU_R1,6,24,0.082496,0.075391,0.042243,0.160852,0.060593,0.087557,0.026964,12
GRU_R1,6,48,0.090469,0.093285,0.048949,0.122591,0.085337,0.101072,0.015735,12
GRU_R1,6,72,0.063349,0.057951,0.027969,0.123769,0.05148,0.069946,0.018466,12
GRU_R1,6,168,0.034152,0.033351,-0.005268,0.080621,0.016353,0.047737,0.031384,12
GRU_R1,12,1,0.922167,0.923707,0.912892,0.929404,0.916637,0.926097,0.00946,12
GRU_R1,12,2,0.812361,0.812903,0.798879,0.824191,0.808405,0.815166,0.006761,12
GRU_R1,12,3,0.703289,0.704471,0.687241,0.713624,0.699271,0.706991,0.00772,12
GRU_R1,12,6,0.387877,0.387955,0.350138,0.435096,0.373641,0.39667,0.023029,12
GRU_R1,12,12,-0.119963,-0.116696,-0.203197,-0.056384,-0.135194,-0.099599,0.035595,12
GRU_R1,12,24,0.029384,0.019719,-0.000488,0.100391,0.011929,0.034221,0.022292,12
GRU_R1,12,48,0.072549,0.074894,0.031541,0.0983,0.066029,0.08258,0.01655,12
GRU_R1,12,72,0.079236,0.078332,0.039946,0.130669,0.064969,0.093237,0.028268,12
GRU_R1,12,168,0.042843,0.043373,0.005055,0.079372,0.038064,0.054866,0.016801,12
GRU_R1,24,1,0.949952,0.951334,0.942926,0.953972,0.947084,0.952383,0.005299,12
GRU_R1,24,2,0.881929,0.882697,0.873617,0.887199,0.881592,0.883705,0.002113,12
GRU_R1,24,3,0.816842,0.817489,0.808698,0.823429,0.813115,0.820093,0.006978,12
GRU_R1,24,6,0.634968,0.630365,0.617648,0.654111,0.627701,0.64156,0.013859,12
GRU_R1,24,12,0.330017,0.332721,0.288427,0.348398,0.324683,0.338757,0.014073,12
GRU_R1,24,24,-0.232078,-0.236448,-0.254031,-0.190143,-0.244827,-0.229471,0.015356,12
GRU_R1,24,48,-0.07155,-0.063097,-0.115747,-0.036286,-0.084975,-0.057008,0.027967,12
GRU_R1,24,72,0.048129,0.046845,0.00655,0.086408,0.037323,0.066163,0.02884,12
GRU_R1,24,168,6.1e-05,0.006936,-0.027412,0.024973,-0.015151,0.013433,0.028584,12
B0,1,1,0.226448,0.257189,0.118018,0.289727,0.161563,0.264975,0.103413,12
B0,1,2,-0.009953,-0.010623,-0.055371,0.057477,-0.041394,0.005527,0.046921,12
B0,1,3,-0.018828,-0.02887,-0.044738,0.026298,-0.03328,-0.008226,0.025054,12
B0,1,6,-0.048218,-0.047142,-0.092291,-0.021355,-0.059037,-0.032101,0.026936,12
B0,1,12,-0.025426,-0.021868,-0.046011,-0.000579,-0.035618,-0.018555,0.017063,12
B0,1,24,0.033694,0.032316,0.013271,0.056704,0.024962,0.039498,0.014536,12
B0,1,48,0.028876,0.027351,0.00723,0.045152,0.023365,0.035589,0.012225,12
B0,1,72,0.018248,0.018879,-0.007158,0.045272,0.006817,0.026513,0.019696,12
B0,1,168,0.023387,0.024827,0.001287,0.037085,0.019536,0.031666,0.01213,12
B0,6,1,0.866158,0.872116,0.843966,0.882568,0.853173,0.875806,0.022633,12
B0,6,2,0.666708,0.665839,0.637957,0.692699,0.65602,0.677312,0.021292,12
B0,6,3,0.461911,0.461483,0.432327,0.484422,0.453347,0.47515,0.021803,12
B0,6,6,-0.127769,-0.134186,-0.150637,-0.076275,-0.143747,-0.119888,0.023859,12
B0,6,12,-0.131431,-0.131059,-0.200913,-0.085033,-0.152194,-0.103941,0.048253,12
B0,6,24,0.058949,0.055605,0.007665,0.145094,0.031204,0.07392,0.042716,12
B0,6,48,0.063195,0.05426,0.022596,0.131577,0.051318,0.076701,0.025383,12
B0,6,72,0.056803,0.055581,0.006287,0.114901,0.028667,0.076323,0.047656,12
B0,6,168,0.069317,0.068844,0.041288,0.136913,0.045611,0.078129,0.032519,12
B0,12,1,0.924765,0.926686,0.913664,0.932764,0.917781,0.929595,0.011815,12
B0,12,2,0.812922,0.812872,0.795119,0.828427,0.80859,0.817994,0.009404,12
B0,12,3,0.698582,0.700032,0.680733,0.713626,0.693112,0.704533,0.011421,12
B0,12,6,0.352455,0.348976,0.30956,0.40123,0.335153,0.368095,0.032942,12
B0,12,12,-0.250613,-0.243807,-0.347162,-0.197065,-0.2775,-0.216656,0.060845,12
B0,12,24,-0.000941,-0.00952,-0.064701,0.075637,-0.027506,0.023237,0.050743,12
B0,12,48,0.040976,0.039347,0.0026,0.097493,0.022463,0.053429,0.030966,12
B0,12,72,0.066692,0.071244,0.007079,0.132869,0.039116,0.084139,0.045024,12
B0,12,168,0.075825,0.08289,0.02223,0.13284,0.050687,0.099733,0.049046,12
B0,24,1,0.952522,0.953389,0.94623,0.956023,0.950485,0.955847,0.005361,12
B0,24,2,0.885619,0.886142,0.876486,0.890652,0.884273,0.889236,0.004963,12
B0,24,3,0.820753,0.819558,0.809232,0.832782,0.815459,0.825837,0.010378,12
B0,24,6,0.639751,0.63571,0.621948,0.671312,0.626223,0.652148,0.025925,12
B0,24,12,0.332131,0.332981,0.296065,0.361059,0.320056,0.342866,0.02281,12
B0,24,24,-0.297138,-0.297412,-0.330273,-0.261406,-0.312125,-0.284013,0.028112,12
B0,24,48,-0.142383,-0.132295,-0.219222,-0.107865,-0.152714,-0.124412,0.028303,12
