model,season,horizon_hours,n,MAE,RMSE,mean_residual,underprediction_rate_pct,severe_n,severe_MAE
B3_R2,DJF,1,25580,12.622183,26.487007,0.455703,47.912432,3120,30.776064
B3_R2,DJF,6,25580,41.536706,71.842602,7.172742,48.901486,3120,117.616132
B3_R2,DJF,12,25580,60.498844,95.043413,17.992496,47.759969,3120,197.511806
B3_R2,DJF,24,25580,79.93802,117.396129,22.199427,45.371384,3120,253.761255
B3_R2,MAM,1,25784,9.031021,16.432043,0.454245,49.930189,1101,19.318629
B3_R2,MAM,6,25784,26.021052,40.927888,-0.655979,45.241235,1101,66.917756
B3_R2,MAM,12,25784,37.532635,54.111699,-1.352138,40.606578,1101,124.254701
B3_R2,MAM,24,25784,49.167973,68.334684,-2.16851,38.159324,1101,198.670393
B3_R2,JJA,1,25906,7.176834,11.282179,-0.510025,47.834478,28,37.262515
B3_R2,JJA,6,25906,19.695247,28.992178,-3.234678,43.044082,28,134.911398
B3_R2,JJA,12,25906,25.008239,33.482372,-4.682889,38.157184,28,155.789783
B3_R2,JJA,24,25906,29.897071,38.576708,-5.56806,37.917857,28,174.739852
B3_R2,SON,1,25483,8.410518,15.191171,0.151427,50.555272,835,21.210651
B3_R2,SON,6,25483,25.801759,40.454494,1.958767,51.489228,835,77.717576
B3_R2,SON,12,25483,34.890247,50.74584,6.163471,50.288428,835,133.324622
B3_R2,SON,24,25483,45.020805,62.221243,9.02505,47.423773,835,183.104163
GRU_R1,DJF,1,25580,18.715,37.780768,6.160428,48.318999,3120,67.012843
GRU_R1,DJF,6,25580,42.475455,71.950022,4.374355,47.595778,3120,114.155159
GRU_R1,DJF,12,25580,58.278363,91.303292,3.240703,48.412823,3120,144.121136
GRU_R1,DJF,24,25580,78.728156,111.281029,-1.716919,49.55043,3120,166.841208
GRU_R1,MAM,1,25784,11.946842,20.445488,2.814476,51.225566,1101,41.775699
GRU_R1,MAM,6,25784,26.423075,41.422312,-0.858685,45.516599,1101,73.837222
GRU_R1,MAM,12,25784,37.107184,55.369976,-4.128648,41.130158,1101,101.15464
GRU_R1,MAM,24,25784,48.545323,69.054584,-7.078079,41.153428,1101,131.052736
GRU_R1,JJA,1,25906,9.343501,13.396132,-2.237049,40.272524,28,66.113102
GRU_R1,JJA,6,25906,21.465445,30.594359,-5.932907,38.354049,28,130.433445
GRU_R1,JJA,12,25906,27.293121,36.576383,-7.818093,36.003242,28,156.372365
GRU_R1,JJA,24,25906,31.962897,41.078809,-9.08435,36.076585,28,164.325457
GRU_R1,SON,1,25483,11.493366,18.699649,2.289209,53.06675,835,33.330837
GRU_R1,SON,6,25483,26.722564,41.501023,0.616865,49.939175,835,78.627258
GRU_R1,SON,12,25483,34.892692,51.466014,0.233822,47.988855,835,108.370197
GRU_R1,SON,24,25483,44.328862,61.816476,-2.636422,46.003218,835,127.592636
B0,DJF,1,25580,13.731314,28.000992,0.022869,50.246286,3120,29.825
B0,DJF,6,25580,46.496169,80.516224,-0.013995,54.370602,3120,102.592949
B0,DJF,12,25580,66.550195,107.294929,-0.305708,55.89914,3120,133.6625
B0,DJF,24,25580,88.583112,128.955604,-1.069195,57.791243,3120,158.326923
B0,MAM,1,25784,9.982586,17.930857,0.025481,50.709742,1101,18.260672
B0,MAM,6,25784,28.595602,46.971451,0.053793,55.03413,1101,56.092643
B0,MAM,12,25784,40.238016,63.156338,0.01594,55.398697,1101,77.794732
B0,MAM,24,25784,53.939963,80.761393,0.17507,54.312752,1101,114.566757
B0,JJA,1,25906,7.988535,12.924657,-0.004516,50.544275,28,34.75
B0,JJA,6,25906,22.571412,33.568902,-0.015016,53.17687,28,122.642857
B0,JJA,12,25906,29.29333,41.125956,-0.03393,53.586042,28,151.535714
B0,JJA,24,25906,35.453022,47.312532,-0.378522,54.527909,28,167.25
B0,SON,1,25483,9.434015,16.833126,0.001844,49.986265,835,21.720958
B0,SON,6,25483,30.140564,47.164522,-0.073618,53.824118,835,75.069461
B0,SON,12,25483,41.022368,60.996763,0.172311,54.820861,835,100.650299
B0,SON,24,25483,54.684025,75.216291,0.467253,54.962132,835,119.536527
