model,horizon_hours,TP,FP,TN,FN,precision,recall,F1,specificity
B3_R2,1,4534,522,97147,550,0.896756,0.891817,0.89428,0.994655
B3_R2,6,2692,1023,96646,2392,0.72463,0.529504,0.611888,0.989526
B3_R2,12,256,87,97582,4828,0.746356,0.050354,0.094343,0.999109
B3_R2,24,35,41,97628,5049,0.460526,0.006884,0.013566,0.99958
GRU_R1,1,4042,401,97268,1042,0.909746,0.795043,0.848536,0.995894
GRU_R1,6,2632,1043,96626,2452,0.71619,0.517703,0.600982,0.989321
GRU_R1,12,1788,1206,96463,3296,0.597194,0.351692,0.442684,0.987652
GRU_R1,24,1198,1726,95943,3886,0.409713,0.235641,0.299201,0.982328
B0,1,4511,568,97101,573,0.888167,0.887293,0.88773,0.994184
B0,6,3141,1933,95736,1943,0.619038,0.617821,0.618429,0.980209
B0,12,2473,2595,95074,2611,0.487964,0.486428,0.487195,0.973431
B0,24,1811,3286,94383,3273,0.355307,0.356216,0.355761,0.966356
