station,event_id,model,horizon_hours,severe_hours,event_MAE,event_mean_residual,prediction_at_peak,residual_at_peak,abs_error_at_peak,underpredicted_peak,predicted_severe_at_first_severe_hour,predicted_severe_hours
Aotizhongxin,1,B3_R2,1,45,16.758512,6.987921,425.483398,12.516602,12.516602,true,false,42
Aotizhongxin,1,B3_R2,6,45,68.954392,68.954392,307.212982,130.787018,130.787018,true,false,32
Aotizhongxin,1,B3_R2,12,45,149.510182,149.510182,253.552216,184.447784,184.447784,true,false,3
Aotizhongxin,1,B3_R2,24,45,227.671706,227.671706,119.915733,318.084267,318.084267,true,false,0
Aotizhongxin,1,GRU_R1,1,45,38.219445,37.367015,343.543823,94.456177,94.456177,true,false,41
Aotizhongxin,1,GRU_R1,6,45,67.477737,67.103873,303.005188,134.994812,134.994812,true,false,33
Aotizhongxin,1,GRU_R1,12,45,97.778461,97.778461,275.736664,162.263336,162.263336,true,false,27
Aotizhongxin,1,GRU_R1,24,45,125.464378,125.464378,164.600128,273.399872,273.399872,true,false,15
Aotizhongxin,1,B0,1,45,17.533333,2.511111,434.0,4.0,4.0,true,false,44
Aotizhongxin,1,B0,6,45,56.511111,26.422222,341.0,97.0,97.0,true,false,39
Aotizhongxin,1,B0,12,45,79.955556,59.111111,316.0,122.0,122.0,true,false,33
Aotizhongxin,1,B0,24,45,109.288889,103.022222,164.0,274.0,274.0,true,false,21
Aotizhongxin,2,B3_R2,1,1,250.272142,250.272142,19.727858,250.272142,250.272142,true,false,0
Aotizhongxin,2,B3_R2,6,1,255.579188,255.579188,14.420812,255.579188,255.579188,true,false,0
Aotizhongxin,2,B3_R2,12,1,256.018734,256.018734,13.981266,256.018734,256.018734,true,false,0
Aotizhongxin,2,B3_R2,24,1,219.852642,219.852642,50.147358,219.852642,219.852642,true,false,0
Aotizhongxin,2,GRU_R1,1,1,255.570725,255.570725,14.429275,255.570725,255.570725,true,false,0
Aotizhongxin,2,GRU_R1,6,1,256.507233,256.507233,13.492767,256.507233,256.507233,true,false,0
Aotizhongxin,2,GRU_R1,12,1,256.6829,256.6829,13.3171,256.6829,256.6829,true,false,0
Aotizhongxin,2,GRU_R1,24,1,242.312578,242.312578,27.687422,242.312578,242.312578,true,false,0
Aotizhongxin,2,B0,1,1,247.0,247.0,23.0,247.0,247.0,true,false,0
Aotizhongxin,2,B0,6,1,257.0,257.0,13.0,257.0,257.0,true,false,0
Aotizhongxin,2,B0,12,1,263.0,263.0,7.0,263.0,263.0,true,false,0
Aotizhongxin,2,B0,24,1,255.0,255.0,15.0,255.0,255.0,true,false,0
Aotizhongxin,3,B3_R2,1,2,12.25795,10.408264,229.333786,22.666214,22.666214,true,false,1
Aotizhongxin,3,B3_R2,6,2,74.01062,74.01062,183.083679,68.916321,68.916321,true,false,0
Aotizhongxin,3,B3_R2,12,2,101.567245,101.567245,153.583176,98.416824,98.416824,true,false,0
Aotizhongxin,3,B3_R2,24,2,114.913567,114.913567,132.109894,119.890106,119.890106,true,false,0
Aotizhongxin,3,GRU_R1,1,2,18.415268,18.415268,222.002319,29.997681,29.997681,true,false,0
Aotizhongxin,3,GRU_R1,6,2,45.088844,45.088844,205.057007,46.942993,46.942993,true,false,0
Aotizhongxin,3,GRU_R1,12,2,71.361717,71.361717,183.519058,68.480942,68.480942,true,false,0
Aotizhongxin,3,GRU_R1,24,2,126.846771,126.846771,115.974838,136.025162,136.025162,true,false,0
Aotizhongxin,3,B0,1,2,18.0,13.0,221.0,31.0,31.0,true,false,1
Aotizhongxin,3,B0,6,2,66.5,66.5,181.0,71.0,71.0,true,false,0
Aotizhongxin,3,B0,12,2,105.5,105.5,144.0,108.0,108.0,true,false,0
Aotizhongxin,3,B0,24,2,131.0,131.0,112.0,140.0,140.0,true,false,0
Aotizhongxin,4,B3_R2,1,47,14.058241,1.555468,389.937866,22.062134,22.062134,true,true,47
