station,event_id,start_timestamp,end_timestamp,duration_hours,actual_mean,actual_peak,peak_timestamp
Aotizhongxin,1,2016-03-03T02:00:00,2016-03-04T22:00:00,45,337.288889,438.0,2016-03-04T00:00:00
Aotizhongxin,2,2016-03-09T14:00:00,2016-03-09T14:00:00,1,270.0,270.0,2016-03-09T14:00:00
Aotizhongxin,3,2016-03-16T01:00:00,2016-03-16T02:00:00,2,249.5,252.0,2016-03-16T01:00:00
Aotizhongxin,4,2016-03-16T13:00:00,2016-03-18T11:00:00,47,311.638298,412.0,2016-03-18T02:00:00
Aotizhongxin,5,2016-03-31T14:00:00,2016-03-31T14:00:00,1,246.0,246.0,2016-03-31T14:00:00
Aotizhongxin,6,2016-04-06T21:00:00,2016-04-06T23:00:00,3,250.0,253.0,2016-04-06T23:00:00
Aotizhongxin,7,2016-04-30T01:00:00,2016-04-30T01:00:00,1,251.0,251.0,2016-04-30T01:00:00
Aotizhongxin,8,2016-05-01T20:00:00,2016-05-01T20:00:00,1,245.0,245.0,2016-05-01T20:00:00
Aotizhongxin,9,2016-05-06T01:00:00,2016-05-06T02:00:00,2,311.5,314.0,2016-05-06T02:00:00
Aotizhongxin,10,2016-07-04T04:00:00,2016-07-04T05:00:00,2,248.0,248.0,2016-07-04T04:00:00
Aotizhongxin,11,2016-10-02T21:00:00,2016-10-02T22:00:00,2,253.5,260.0,2016-10-02T22:00:00
Aotizhongxin,12,2016-10-13T21:00:00,2016-10-13T23:00:00,3,251.666667,259.0,2016-10-13T22:00:00
Aotizhongxin,13,2016-10-14T13:00:00,2016-10-14T16:00:00,4,304.5,346.0,2016-10-14T15:00:00
Aotizhongxin,14,2016-10-14T19:00:00,2016-10-15T04:00:00,10,276.1,320.0,2016-10-14T19:00:00
Aotizhongxin,15,2016-10-19T14:00:00,2016-10-19T20:00:00,7,289.0,310.0,2016-10-19T16:00:00
Aotizhongxin,16,2016-10-20T03:00:00,2016-10-20T04:00:00,2,260.0,266.0,2016-10-20T03:00:00
Aotizhongxin,17,2016-11-03T15:00:00,2016-11-04T01:00:00,11,268.636364,299.0,2016-11-03T16:00:00
Aotizhongxin,18,2016-11-04T11:00:00,2016-11-04T17:00:00,7,297.285714,334.0,2016-11-04T15:00:00
Aotizhongxin,19,2016-11-25T20:00:00,2016-11-26T11:00:00,16,304.0625,325.0,2016-11-26T04:00:00
Aotizhongxin,20,2016-11-26T14:00:00,2016-11-26T14:00:00,1,265.0,265.0,2016-11-26T14:00:00
Aotizhongxin,21,2016-11-26T19:00:00,2016-11-27T01:00:00,7,318.571429,363.0,2016-11-27T00:00:00
Aotizhongxin,22,2016-12-03T16:00:00,2016-12-04T12:00:00,21,403.809524,530.0,2016-12-04T01:00:00
Aotizhongxin,23,2016-12-04T22:00:00,2016-12-04T23:00:00,2,266.0,269.0,2016-12-04T22:00:00
Aotizhongxin,24,2016-12-12T12:00:00,2016-12-12T12:00:00,1,257.0,257.0,2016-12-12T12:00:00
Aotizhongxin,25,2016-12-17T14:00:00,2016-12-18T01:00:00,12,304.833333,379.0,2016-12-17T23:00:00
Aotizhongxin,26,2016-12-18T05:00:00,2016-12-18T05:00:00,1,249.0,249.0,2016-12-18T05:00:00
Aotizhongxin,27,2016-12-18T22:00:00,2016-12-19T00:00:00,3,272.666667,314.0,2016-12-18T23:00:00
Aotizhongxin,28,2016-12-19T02:00:00,2016-12-19T08:00:00,7,272.857143,289.0,2016-12-19T06:00:00
Aotizhongxin,29,2016-12-19T21:00:00,2016-12-20T09:00:00,13,318.692308,440.0,2016-12-20T03:00:00
Aotizhongxin,30,2016-12-20T12:00:00,2016-12-22T02:00:00,39,369.589744,433.0,2016-12-21T22:00:00
