model,horizon_hours,severe_n,MAE,RMSE,mean_residual,median_residual,underprediction_pct,median_abs_error,p90_abs_error,p95_abs_error,mean_abs_error_diff_vs_B0,mean_abs_error_diff_vs_B3_R2
B3_R2,1,5084,26.759515,45.328647,13.312581,7.113068,63.768686,15.299744,61.839532,89.670703,0.742796,0.0
B3_R2,6,5084,100.179087,130.432753,96.994303,82.346855,91.876475,82.425766,207.067971,251.263374,12.06638,0.0
B3_R2,12,5084,170.875184,195.718299,170.511863,156.14949,98.839496,156.14949,287.88516,346.612786,54.635018,0.0
B3_R2,24,5084,229.790698,250.857624,229.782936,210.762516,99.901652,210.762516,369.74573,414.735197,87.262374,0.0
GRU_R1,1,5084,56.01053,79.201504,53.530066,39.821098,90.243902,40.148376,123.018921,172.408076,29.99381,29.251015
GRU_R1,6,5084,99.678358,127.506679,96.261384,81.615463,93.017309,82.348389,203.911284,244.289924,11.565652,-0.500728
GRU_R1,12,5084,129.011948,159.505016,126.428281,113.510124,95.515342,113.510124,242.575332,296.167183,12.771783,-41.863236
GRU_R1,24,5084,152.630723,180.740058,150.158527,139.421951,96.144768,139.421951,266.840092,323.876949,10.102399,-77.159975
B0,1,5084,26.016719,42.388018,6.383753,4.0,56.372935,16.0,59.0,84.0,0.0,-0.742796
B0,6,5084,88.112707,122.009597,51.697679,41.0,70.889064,63.0,205.0,250.0,0.0,-12.06638
B0,12,5084,116.240165,156.171114,85.618214,71.0,77.63572,86.0,251.0,311.85,0.0,-54.635018
B0,24,5084,142.528324,177.362586,118.49764,119.0,85.464201,127.0,270.7,324.0,0.0,-87.262374
