model,station,n,MAE,RMSE,R2,mean_residual,underprediction_rate_pct,severe_n,severe_MAE
B3_R2,Aotizhongxin,34324,32.908652,56.062712,0.553321,1.883249,45.201608,1816,125.294975
B3_R2,Changping,34584,27.695988,49.010778,0.535225,1.856428,44.39047,1068,133.743848
B3_R2,Dingling,33908,27.188108,46.872249,0.543593,0.889132,44.37006,936,126.095848
B3_R2,Dongsi,33524,35.738812,62.509729,0.528313,5.541654,48.114783,2328,131.630554
B3_R2,Guanyuan,34280,33.053495,56.898659,0.542676,3.202658,46.365228,1872,126.365545
B3_R2,Gucheng,34420,33.474141,60.537656,0.534365,6.90623,49.538059,1908,146.823989
B3_R2,Huairou,34488,26.835069,46.826734,0.557036,1.330391,44.519833,1132,129.066974
B3_R2,Nongzhanguan,34472,34.228207,59.135405,0.539381,3.227997,46.243328,2084,126.099374
B3_R2,Shunyi,33736,32.890062,57.282261,0.529171,2.900447,44.222789,1744,134.370015
B3_R2,Tiantan,34488,32.769208,56.076623,0.540716,2.48813,45.409998,1804,127.963367
B3_R2,Wanliu,34596,31.926385,54.755264,0.549944,0.298349,42.276564,1580,130.381902
B3_R2,Wanshouxigong,34192,35.138579,62.02936,0.527756,4.741141,47.095812,2064,140.85438
GRU_R1,Aotizhongxin,34324,34.061365,56.912522,0.539677,-3.063814,45.073418,1816,101.055445
GRU_R1,Changping,34584,28.809915,48.693236,0.541228,-0.970119,43.537474,1068,113.252624
GRU_R1,Dingling,33908,28.377959,47.658343,0.528156,-0.633097,44.647281,936,111.580719
GRU_R1,Dongsi,33524,36.700393,61.85951,0.538075,-0.441314,46.587519,2328,108.625469
GRU_R1,Guanyuan,34280,34.069776,56.698675,0.545885,-1.664669,46.508168,1872,100.652552
GRU_R1,Gucheng,34420,34.874063,59.848948,0.544899,3.39983,49.479954,1908,127.444025
GRU_R1,Huairou,34488,28.725411,48.660693,0.52166,-0.904006,43.574577,1132,122.308954
GRU_R1,Nongzhanguan,34472,35.245437,59.113546,0.539721,-2.069949,44.578208,2084,102.462292
GRU_R1,Shunyi,33736,34.510495,58.785894,0.504129,-0.807907,44.617026,1744,121.342614
GRU_R1,Tiantan,34488,33.048923,54.676058,0.563372,-2.698546,44.27337,1804,98.386432
GRU_R1,Wanliu,34596,32.814039,54.321688,0.557043,-4.876332,41.897907,1580,102.262183
GRU_R1,Wanshouxigong,34192,35.747406,60.476518,0.551104,-1.760324,45.411207,2064,110.14956
B0,Aotizhongxin,34324,37.290409,65.304402,0.393917,-0.203997,53.790351,1816,89.635463
B0,Changping,34584,30.692575,55.205892,0.410301,-0.06396,53.883299,1068,87.26779
B0,Dingling,33908,30.3933,54.694772,0.378541,-0.062935,53.892887,936,85.08547
B0,Dongsi,33524,40.462355,71.026082,0.391032,0.190371,53.815177,2328,94.68256
B0,Guanyuan,34280,37.433518,64.785468,0.407109,0.091511,54.156943,1872,86.824252
B0,Gucheng,34420,38.225131,68.168678,0.409576,-0.199564,54.067403,1908,103.36478
B0,Huairou,34488,30.740982,55.683237,0.373632,-0.202534,52.682092,1132,92.220848
B0,Nongzhanguan,34472,38.933076,68.083239,0.389441,-0.122041,53.916222,2084,91.894914
B0,Shunyi,33736,38.960072,68.752003,0.321744,0.338481,52.389139,1744,111.596904
B0,Tiantan,34488,36.179396,62.284912,0.433392,-0.08777,53.694039,1804,85.077605
B0,Wanliu,34596,35.298734,61.729312,0.427998,-0.177564,54.595907,1580,87.101266
B0,Wanshouxigong,34192,39.052615,68.873666,0.417791,-0.206335,53.465723,2064,96.118702
