model,station,horizon_hours,n,MAE,RMSE,R2,mean_residual,underprediction_rate_pct
B3_R2,Aotizhongxin,1,8581,9.33651,17.773968,0.955103,0.081758,49.423144
B3_R2,Aotizhongxin,6,8581,28.865074,48.317685,0.668213,0.477371,46.824379
B3_R2,Aotizhongxin,12,8581,40.550085,62.732036,0.440724,3.310771,43.491435
B3_R2,Aotizhongxin,24,8581,52.88294,77.371117,0.149244,3.663098,41.067475
B3_R2,Changping,1,8646,8.829716,16.40998,0.947895,-0.219893,47.952811
B3_R2,Changping,6,8646,24.132547,41.744481,0.662823,-0.236275,45.327319
B3_R2,Changping,12,8646,33.539323,53.961032,0.436596,2.641597,42.817488
B3_R2,Changping,24,8646,44.282366,68.443724,0.093586,5.240283,41.464261
B3_R2,Dingling,1,8477,8.175099,16.653375,0.942386,-0.101523,48.826236
B3_R2,Dingling,6,8477,23.737941,41.047313,0.649982,-1.214955,45.015925
B3_R2,Dingling,12,8477,33.426206,51.799614,0.442591,1.288419,41.960599
B3_R2,Dingling,24,8477,43.413184,64.363141,0.139412,3.584587,41.67748
B3_R2,Dongsi,1,8381,10.277345,20.469482,0.949421,0.446281,50.793461
B3_R2,Dongsi,6,8381,31.781063,53.806791,0.650512,3.601726,50.268464
B3_R2,Dongsi,12,8381,44.095181,69.829803,0.411373,8.129563,46.867916
B3_R2,Dongsi,24,8381,56.80166,86.252494,0.101947,9.989048,44.529292
B3_R2,Guanyuan,1,8570,9.66727,18.039401,0.954031,0.082133,49.533256
B3_R2,Guanyuan,6,8570,29.126502,48.624227,0.666016,1.451706,47.911319
B3_R2,Guanyuan,12,8570,40.652237,63.213939,0.435524,5.164524,45.624271
B3_R2,Guanyuan,24,8570,52.767969,79.146017,0.115133,6.112268,42.392065
B3_R2,Gucheng,1,8605,9.739361,19.697714,0.950702,0.887375,51.504939
B3_R2,Gucheng,6,8605,30.317287,53.186865,0.640579,4.638862,52.190587
B3_R2,Gucheng,12,8605,41.382142,68.412873,0.405338,9.710291,48.111563
B3_R2,Gucheng,24,8605,52.457775,82.23179,0.14084,12.388393,46.345148
B3_R2,Huairou,1,8622,7.751955,16.439083,0.945407,-0.115093,48.492229
B3_R2,Huairou,6,8622,23.483071,40.848166,0.662926,0.083709,46.033403
B3_R2,Huairou,12,8622,33.016884,51.863739,0.456615,2.370289,43.075852
B3_R2,Huairou,24,8622,43.088367,64.360769,0.163198,2.982657,40.477847
B3_R2,Nongzhanguan,1,8618,9.58283,18.624818,0.954309,0.153239,49.74472
B3_R2,Nongzhanguan,6,8618,30.186822,50.854475,0.659352,1.360364,47.249942
B3_R2,Nongzhanguan,12,8618,42.33764,66.094806,0.424584,5.039714,44.847993
B3_R2,Nongzhanguan,24,8618,54.805536,81.770408,0.119277,6.358671,43.130657
B3_R2,Shunyi,1,8434,9.574789,19.090881,0.947703,0.37302,47.047664
B3_R2,Shunyi,6,8434,29.536594,50.52667,0.633677,2.157986,45.352146
B3_R2,Shunyi,12,8434,40.680974,64.117986,0.410094,3.695087,42.791084
B3_R2,Shunyi,24,8434,51.767891,78.080134,0.12521,5.375695,41.700261
B3_R2,Tiantan,1,8622,9.468826,17.082738,0.957378,0.052845,48.689399
B3_R2,Tiantan,6,8622,28.5982,47.359258,0.672413,1.122893,47.320807
B3_R2,Tiantan,12,8622,40.726582,63.403579,0.412856,4.290384,44.084899
B3_R2,Tiantan,24,8622,52.283225,77.611968,0.120219,4.486397,41.544885
B3_R2,Wanliu,1,8649,8.847691,16.640252,0.958434,-0.56318,46.040005
B3_R2,Wanliu,6,8649,28.311012,47.213322,0.665386,-0.955191,43.380738
B3_R2,Wanliu,12,8649,39.36517,60.841207,0.444338,1.075707,40.513354
B3_R2,Wanliu,24,8649,51.181668,76.05858,0.131617,1.63606,39.172159
B3_R2,Wanshouxigong,1,8548,10.42243,20.952333,0.946119,0.577496,50.643425
B3_R2,Wanshouxigong,6,8548,30.835229,52.570002,0.660806,3.078828,48.958821
B3_R2,Wanshouxigong,12,8548,43.598377,70.067983,0.397425,7.216051,45.917174
B3_R2,Wanshouxigong,24,8548,55.698281,85.313765,0.106673,8.092189,42.863828
GRU_R1,Aotizhongxin,1,8581,12.695527,23.189963,0.923573,1.740403,48.980305
GRU_R1,Aotizhongxin,6,8581,29.818258,49.129144,0.656975,-1.855874,45.915394
GRU_R1,Aotizhongxin,12,8581,40.522075,63.078319,0.434533,-4.267208,42.920406
GRU_R1,Aotizhongxin,24,8581,53.209598,77.626151,0.143626,-7.872578,42.477567
GRU_R1,Changping,1,8646,11.753324,20.945241,0.915115,0.998646,44.043488
GRU_R1,Changping,6,8646,25.459722,42.487122,0.65072,-0.388182,43.812167
GRU_R1,Changping,12,8646,34.298248,54.142075,0.432809,-1.222626,42.667129
GRU_R1,Changping,24,8646,43.728366,65.642228,0.166269,-3.268314,43.627111
GRU_R1,Dingling,1,8477,11.105112,20.020555,0.916733,1.304312,46.242775
GRU_R1,Dingling,6,8477,24.429588,40.829128,0.653693,0.229397,45.652943
GRU_R1,Dingling,12,8477,34.160054,53.160934,0.412908,-0.795279,43.222838
GRU_R1,Dingling,24,8477,43.817082,64.740602,0.129289,-3.270816,43.470567
GRU_R1,Dongsi,1,8381,14.230408,27.90769,0.905983,2.915661,49.158812
GRU_R1,Dongsi,6,8381,32.796197,54.731334,0.638398,0.295701,47.213936
GRU_R1,Dongsi,12,8381,43.460253,68.565814,0.43249,-0.920436,45.149743
GRU_R1,Dongsi,24,8381,56.314715,82.648455,0.175429,-4.056181,44.827586
GRU_R1,Guanyuan,1,8570,13.033935,23.903735,0.919286,2.498134,51.213536
GRU_R1,Guanyuan,6,8570,30.246045,49.661467,0.651615,-0.547857,46.791132
GRU_R1,Guanyuan,12,8570,40.349761,62.827023,0.442413,-2.561253,44.492415
GRU_R1,Guanyuan,24,8570,52.649361,76.642509,0.170227,-6.047702,43.535589
GRU_R1,Gucheng,1,8605,14.670451,28.973724,0.89334,4.781109,51.272516
GRU_R1,Gucheng,6,8605,31.277245,52.940047,0.643907,3.813112,50.377687
GRU_R1,Gucheng,12,8605,40.834245,66.16815,0.443721,3.54464,48.460198
GRU_R1,Gucheng,24,8605,52.714312,79.418115,0.198629,1.460458,47.809413
GRU_R1,Huairou,1,8622,11.362334,21.474272,0.906843,2.436592,47.819531
GRU_R1,Huairou,6,8622,24.8355,41.56804,0.650941,-0.107481,43.609371
GRU_R1,Huairou,12,8622,34.277361,53.795006,0.415393,-1.735714,41.753653
GRU_R1,Huairou,24,8622,44.426449,66.245778,0.113463,-4.209419,41.11575
GRU_R1,Nongzhanguan,1,8618,13.158459,24.791178,0.919045,1.63627,46.542121
GRU_R1,Nongzhanguan,6,8618,31.399569,52.003903,0.64378,-1.324004,45.126479
GRU_R1,Nongzhanguan,12,8618,42.210751,65.974435,0.426678,-2.833968,43.536783
GRU_R1,Nongzhanguan,24,8618,54.212968,79.410395,0.169381,-5.758092,43.10745
GRU_R1,Shunyi,1,8434,13.041038,25.339858,0.907864,3.317753,50.165995
GRU_R1,Shunyi,6,8434,30.890286,51.7026,0.616427,0.127868,43.704055
GRU_R1,Shunyi,12,8434,41.964501,66.591679,0.363699,-1.775654,42.150818
GRU_R1,Shunyi,24,8434,52.146156,77.932065,0.128524,-4.901596,42.447237
GRU_R1,Tiantan,1,8622,12.815452,23.11867,0.921937,1.353135,46.914869
GRU_R1,Tiantan,6,8622,29.231686,47.583935,0.669297,-1.856447,44.630016
GRU_R1,Tiantan,12,8622,39.163403,60.241014,0.469968,-3.62364,42.867084
GRU_R1,Tiantan,24,8622,50.985151,74.365326,0.192285,-6.667233,42.681512
GRU_R1,Wanliu,1,8649,12.255193,22.277948,0.925498,1.310745,47.138398
GRU_R1,Wanliu,6,8649,28.861389,47.502831,0.66127,-3.362724,40.871777
GRU_R1,Wanliu,12,8649,38.905293,59.722163,0.46459,-6.5865,39.57683
GRU_R1,Wanliu,24,8649,51.234281,74.052823,0.176813,-10.866848,40.004625
GRU_R1,Wanshouxigong,1,8548,14.267529,28.221716,0.902245,2.670595,48.958821
GRU_R1,Wanshouxigong,6,8548,31.779474,53.212698,0.652462,-0.600343,46.268133
GRU_R1,Wanshouxigong,12,8548,42.244426,66.762045,0.452944,-2.862324,43.472157
GRU_R1,Wanshouxigong,24,8548,54.698196,80.897526,0.196765,-6.249222,42.945718
B0,Aotizhongxin,1,8581,10.439692,19.243958,0.94737,0.029717,51.077963
B0,Aotizhongxin,6,8581,33.008391,55.506255,0.562144,-0.083557,54.35264
B0,Aotizhongxin,12,8581,45.585596,73.459524,0.233092,-0.2093,54.329332
B0,Aotizhongxin,24,8581,60.127957,90.615031,-0.166938,-0.552849,55.401468
B0,Changping,1,8646,9.587324,17.926147,0.937822,-0.012491,49.757113
B0,Changping,6,8646,26.321536,46.363717,0.584074,-0.126301,53.932454
B0,Changping,12,8646,36.641684,61.314034,0.27259,-0.119824,56.014342
B0,Changping,24,8646,50.219755,77.203692,-0.153282,0.002776,55.829285
B0,Dingling,1,8477,8.765955,17.930163,0.933213,0.05627,49.663796
B0,Dingling,6,8477,25.121859,44.906146,0.581079,0.030671,54.453226
B0,Dingling,12,8477,36.863277,60.818029,0.231604,-0.072903,56.128347
B0,Dingling,24,8477,50.822107,77.001213,-0.231731,-0.265778,55.326177
B0,Dongsi,1,8381,11.254385,21.585162,0.943757,-0.004415,51.103687
B0,Dongsi,6,8381,36.374299,61.848546,0.538239,0.183152,54.59969
B0,Dongsi,12,8381,49.805155,80.899456,0.209959,0.472617,54.205942
B0,Dongsi,24,8381,64.415583,96.658849,-0.127825,0.11013,55.35139
