No,year,month,day,hour,timestamp,partition,exclusion_reason
1,2010,1,1,0,2010-01-01 00:00:00,development_train,missing_pm25_target
2,2010,1,1,1,2010-01-01 01:00:00,development_train,missing_pm25_target
3,2010,1,1,2,2010-01-01 02:00:00,development_train,missing_pm25_target
4,2010,1,1,3,2010-01-01 03:00:00,development_train,missing_pm25_target
5,2010,1,1,4,2010-01-01 04:00:00,development_train,missing_pm25_target
6,2010,1,1,5,2010-01-01 05:00:00,development_train,missing_pm25_target
7,2010,1,1,6,2010-01-01 06:00:00,development_train,missing_pm25_target
8,2010,1,1,7,2010-01-01 07:00:00,development_train,missing_pm25_target
9,2010,1,1,8,2010-01-01 08:00:00,development_train,missing_pm25_target
10,2010,1,1,9,2010-01-01 09:00:00,development_train,missing_pm25_target
11,2010,1,1,10,2010-01-01 10:00:00,development_train,missing_pm25_target
12,2010,1,1,11,2010-01-01 11:00:00,development_train,missing_pm25_target
13,2010,1,1,12,2010-01-01 12:00:00,development_train,missing_pm25_target
14,2010,1,1,13,2010-01-01 13:00:00,development_train,missing_pm25_target
15,2010,1,1,14,2010-01-01 14:00:00,development_train,missing_pm25_target
16,2010,1,1,15,2010-01-01 15:00:00,development_train,missing_pm25_target
17,2010,1,1,16,2010-01-01 16:00:00,development_train,missing_pm25_target
18,2010,1,1,17,2010-01-01 17:00:00,development_train,missing_pm25_target
19,2010,1,1,18,2010-01-01 18:00:00,development_train,missing_pm25_target
20,2010,1,1,19,2010-01-01 19:00:00,development_train,missing_pm25_target
21,2010,1,1,20,2010-01-01 20:00:00,development_train,missing_pm25_target
22,2010,1,1,21,2010-01-01 21:00:00,development_train,missing_pm25_target
23,2010,1,1,22,2010-01-01 22:00:00,development_train,missing_pm25_target
24,2010,1,1,23,2010-01-01 23:00:00,development_train,missing_pm25_target
546,2010,1,23,17,2010-01-23 17:00:00,development_train,missing_pm25_target
547,2010,1,23,18,2010-01-23 18:00:00,development_train,missing_pm25_target
548,2010,1,23,19,2010-01-23 19:00:00,development_train,missing_pm25_target
549,2010,1,23,20,2010-01-23 20:00:00,development_train,missing_pm25_target
550,2010,1,23,21,2010-01-23 21:00:00,development_train,missing_pm25_target
551,2010,1,23,22,2010-01-23 22:00:00,development_train,missing_pm25_target
552,2010,1,23,23,2010-01-23 23:00:00,development_train,missing_pm25_target
553,2010,1,24,0,2010-01-24 00:00:00,development_train,missing_pm25_target
554,2010,1,24,1,2010-01-24 01:00:00,development_train,missing_pm25_target
555,2010,1,24,2,2010-01-24 02:00:00,development_train,missing_pm25_target
556,2010,1,24,3,2010-01-24 03:00:00,development_train,missing_pm25_target
557,2010,1,24,4,2010-01-24 04:00:00,development_train,missing_pm25_target
558,2010,1,24,5,2010-01-24 05:00:00,development_train,missing_pm25_target
559,2010,1,24,6,2010-01-24 06:00:00,development_train,missing_pm25_target
560,2010,1,24,7,2010-01-24 07:00:00,development_train,missing_pm25_target
561,2010,1,24,8,2010-01-24 08:00:00,development_train,missing_pm25_target
562,2010,1,24,9,2010-01-24 09:00:00,development_train,missing_pm25_target
563,2010,1,24,10,2010-01-24 10:00:00,development_train,missing_pm25_target
564,2010,1,24,11,2010-01-24 11:00:00,development_train,missing_pm25_target
565,2010,1,24,12,2010-01-24 12:00:00,development_train,missing_pm25_target
566,2010,1,24,13,2010-01-24 13:00:00,development_train,missing_pm25_target
567,2010,1,24,14,2010-01-24 14:00:00,development_train,missing_pm25_target
568,2010,1,24,15,2010-01-24 15:00:00,development_train,missing_pm25_target
569,2010,1,24,16,2010-01-24 16:00:00,development_train,missing_pm25_target
570,2010,1,24,17,2010-01-24 17:00:00,development_train,missing_pm25_target
571,2010,1,24,18,2010-01-24 18:00:00,development_train,missing_pm25_target
572,2010,1,24,19,2010-01-24 19:00:00,development_train,missing_pm25_target
573,2010,1,24,20,2010-01-24 20:00:00,development_train,missing_pm25_target
574,2010,1,24,21,2010-01-24 21:00:00,development_train,missing_pm25_target
575,2010,1,24,22,2010-01-24 22:00:00,development_train,missing_pm25_target
576,2010,1,24,23,2010-01-24 23:00:00,development_train,missing_pm25_target
577,2010,1,25,0,2010-01-25 00:00:00,development_train,missing_pm25_target
578,2010,1,25,1,2010-01-25 01:00:00,development_train,missing_pm25_target
579,2010,1,25,2,2010-01-25 02:00:00,development_train,missing_pm25_target
580,2010,1,25,3,2010-01-25 03:00:00,development_train,missing_pm25_target
581,2010,1,25,4,2010-01-25 04:00:00,development_train,missing_pm25_target
582,2010,1,25,5,2010-01-25 05:00:00,development_train,missing_pm25_target
583,2010,1,25,6,2010-01-25 06:00:00,development_train,missing_pm25_target
584,2010,1,25,7,2010-01-25 07:00:00,development_train,missing_pm25_target
585,2010,1,25,8,2010-01-25 08:00:00,development_train,missing_pm25_target
586,2010,1,25,9,2010-01-25 09:00:00,development_train,missing_pm25_target
587,2010,1,25,10,2010-01-25 10:00:00,development_train,missing_pm25_target
588,2010,1,25,11,2010-01-25 11:00:00,development_train,missing_pm25_target
589,2010,1,25,12,2010-01-25 12:00:00,development_train,missing_pm25_target
