manuscript_section,claim_excerpt,claim_id,evidence_class,source_artifact,source_field,claim_value,source_sha256,verification_status
3. Data and protocol,"Dataset, partition or severe-threshold constant: 0",v_0,C5,artifacts/phase10_dataset_ledger.json,"Dataset, partition or severe-threshold constant",0,08676a8c49d636e5ac7fd0ac892ff600afa8344e412b108f0d33c1e459a8a5f9,VERIFIED
10. Post-test exploratory error analysis,Post-test diagnostic table value: 0.006884,v_0p006884,C3,artifacts/phase10_table_posttest_diagnostics.csv,Post-test diagnostic table value,0.006884,05e01cf31b064124cec445bd7266451aa0bb745b758f9beafcdb2a6c57f5896b,VERIFIED
8. Robustness results,Pre-test robustness freeze value: 0.015185,v_0p015185,C2,artifacts/phase7_pretest_freeze.json,Pre-test robustness freeze value,0.015185,78a0e36080e52941694581eef3280b42f654f00c8865dc306deaac369ccade60,VERIFIED
10. Post-test exploratory error analysis,Post-test exploratory finding: 0.03,v_0p03,C3,artifacts/phase9_post_test_analysis_summary.json,Post-test exploratory finding,0.03,6a587f7a628d323c0df06c5620dcba179eed4a48c0c89ee6b9744999678ff5b8,VERIFIED
4. Models,Frozen gradient-boosting contract value: 0.07,v_0p07,C5,artifacts/phase3_prevalidation_freeze.json,Frozen gradient-boosting contract value,0.07,4cef2f6ea52422e1f91d20a98748f90f4e1d77a29d8f225458a1032c334a3369,VERIFIED
8. Robustness results,Multi-seed robustness table value: 0.1,v_0p1,C2,artifacts/phase10_table_multiseed_robustness.csv,Multi-seed robustness table value,0.1,47f1a13334816ef097cc7403606386ca2917c8501abd8752c9100926c736367a,VERIFIED
8. Robustness results,Multi-seed robustness table value: 0.12,v_0p12,C2,artifacts/phase10_table_multiseed_robustness.csv,Multi-seed robustness table value,0.12,47f1a13334816ef097cc7403606386ca2917c8501abd8752c9100926c736367a,VERIFIED
10. Post-test exploratory error analysis,Post-test exploratory finding: 0.131365,v_0p131365,C3,artifacts/phase9_post_test_analysis_summary.json,Post-test exploratory finding,0.131365,6a587f7a628d323c0df06c5620dcba179eed4a48c0c89ee6b9744999678ff5b8,VERIFIED
7. Development-validation results,Hypothesis-ledger evidence value: 0.134022,v_0p134022,C2,artifacts/phase10_hypothesis_ledger.json,Hypothesis-ledger evidence value,0.134022,cb7d7f26add40cd73ba3790937f017b7c80b7bed5c5ae5b5545ab0fcf8743609,VERIFIED
7. Development-validation results,Hypothesis-ledger evidence value: 0.136289,v_0p136289,C2,artifacts/phase10_hypothesis_ledger.json,Hypothesis-ledger evidence value,0.136289,cb7d7f26add40cd73ba3790937f017b7c80b7bed5c5ae5b5545ab0fcf8743609,VERIFIED
