station,variable,missing,present,missing_rate
Aotizhongxin,No,0,35064,0.0
Aotizhongxin,year,0,35064,0.0
Aotizhongxin,month,0,35064,0.0
Aotizhongxin,day,0,35064,0.0
Aotizhongxin,hour,0,35064,0.0
Aotizhongxin,PM2.5,925,34139,0.02638033
Aotizhongxin,PM10,718,34346,0.02047684
Aotizhongxin,SO2,935,34129,0.02666553
Aotizhongxin,NO2,1023,34041,0.02917522
Aotizhongxin,CO,1776,33288,0.05065024
Aotizhongxin,O3,1719,33345,0.04902464
Aotizhongxin,TEMP,20,35044,0.00057039
Aotizhongxin,PRES,20,35044,0.00057039
Aotizhongxin,DEWP,20,35044,0.00057039
Aotizhongxin,RAIN,20,35044,0.00057039
Aotizhongxin,wd,81,34983,0.00231006
Aotizhongxin,WSPM,14,35050,0.00039927
Aotizhongxin,station,0,35064,0.0
Changping,No,0,35064,0.0
Changping,year,0,35064,0.0
Changping,month,0,35064,0.0
Changping,day,0,35064,0.0
Changping,hour,0,35064,0.0
Changping,PM2.5,774,34290,0.02207392
Changping,PM10,582,34482,0.01659822
Changping,SO2,628,34436,0.01791011
Changping,NO2,667,34397,0.01902236
Changping,CO,1521,33543,0.04337782
Changping,O3,604,34460,0.01722564
Changping,TEMP,53,35011,0.00151152
Changping,PRES,50,35014,0.00142596
Changping,DEWP,53,35011,0.00151152
Changping,RAIN,51,35013,0.00145448
Changping,wd,140,34924,0.0039927
Changping,WSPM,43,35021,0.00122633
Changping,station,0,35064,0.0
Dingling,No,0,35064,0.0
Dingling,year,0,35064,0.0
Dingling,month,0,35064,0.0
Dingling,day,0,35064,0.0
Dingling,hour,0,35064,0.0
Dingling,PM2.5,779,34285,0.02221652
Dingling,PM10,656,34408,0.01870865
Dingling,SO2,730,34334,0.02081907
Dingling,NO2,1234,33830,0.03519279
Dingling,CO,2012,33052,0.05738079
Dingling,O3,1214,33850,0.0346224
Dingling,TEMP,53,35011,0.00151152
Dingling,PRES,50,35014,0.00142596
Dingling,DEWP,53,35011,0.00151152
Dingling,RAIN,51,35013,0.00145448
Dingling,wd,140,34924,0.0039927
Dingling,WSPM,43,35021,0.00122633
Dingling,station,0,35064,0.0
Dongsi,No,0,35064,0.0
Dongsi,year,0,35064,0.0
Dongsi,month,0,35064,0.0
Dongsi,day,0,35064,0.0
Dongsi,hour,0,35064,0.0
Dongsi,PM2.5,750,34314,0.02138946
Dongsi,PM10,553,34511,0.01577116
Dongsi,SO2,663,34401,0.01890828
Dongsi,NO2,1601,33463,0.04565937
Dongsi,CO,3197,31867,0.09117614
Dongsi,O3,664,34400,0.0189368
Dongsi,TEMP,20,35044,0.00057039
Dongsi,PRES,20,35044,0.00057039
Dongsi,DEWP,20,35044,0.00057039
Dongsi,RAIN,20,35044,0.00057039
Dongsi,wd,78,34986,0.0022245
Dongsi,WSPM,14,35050,0.00039927
Dongsi,station,0,35064,0.0
Guanyuan,No,0,35064,0.0
Guanyuan,year,0,35064,0.0
Guanyuan,month,0,35064,0.0
Guanyuan,day,0,35064,0.0
Guanyuan,hour,0,35064,0.0
Guanyuan,PM2.5,616,34448,0.01756788
Guanyuan,PM10,429,34635,0.01223477
Guanyuan,SO2,474,34590,0.01351814
Guanyuan,NO2,659,34405,0.0187942
Guanyuan,CO,1753,33311,0.0499943
Guanyuan,O3,1173,33891,0.03345311
Guanyuan,TEMP,20,35044,0.00057039
Guanyuan,PRES,20,35044,0.00057039
Guanyuan,DEWP,20,35044,0.00057039
Guanyuan,RAIN,20,35044,0.00057039
Guanyuan,wd,81,34983,0.00231006
Guanyuan,WSPM,14,35050,0.00039927
Guanyuan,station,0,35064,0.0
Gucheng,No,0,35064,0.0
Gucheng,year,0,35064,0.0
Gucheng,month,0,35064,0.0
Gucheng,day,0,35064,0.0
Gucheng,hour,0,35064,0.0
Gucheng,PM2.5,646,34418,0.01842345
Gucheng,PM10,381,34683,0.01086585
Gucheng,SO2,507,34557,0.01445927
Gucheng,NO2,668,34396,0.01905088
Gucheng,CO,1401,33663,0.03995551
Gucheng,O3,729,34335,0.02079055
Gucheng,TEMP,51,35013,0.00145448
Gucheng,PRES,50,35014,0.00142596
Gucheng,DEWP,51,35013,0.00145448
Gucheng,RAIN,43,35021,0.00122633
Gucheng,wd,159,34905,0.00453457
Gucheng,WSPM,42,35022,0.00119781
Gucheng,station,0,35064,0.0
Huairou,No,0,35064,0.0
Huairou,year,0,35064,0.0
Huairou,month,0,35064,0.0
Huairou,day,0,35064,0.0
Huairou,hour,0,35064,0.0
Huairou,PM2.5,953,34111,0.02717887
Huairou,PM10,777,34287,0.02215948
Huairou,SO2,980,34084,0.02794889
Huairou,NO2,1639,33425,0.0467431
Huairou,CO,1422,33642,0.04055441
Huairou,O3,1151,33913,0.03282569
Huairou,TEMP,51,35013,0.00145448
Huairou,PRES,53,35011,0.00151152
Huairou,DEWP,53,35011,0.00151152
Huairou,RAIN,55,35009,0.00156856
Huairou,wd,302,34762,0.00861282
Huairou,WSPM,49,35015,0.00139744
Huairou,station,0,35064,0.0
Nongzhanguan,No,0,35064,0.0
Nongzhanguan,year,0,35064,0.0
Nongzhanguan,month,0,35064,0.0
Nongzhanguan,day,0,35064,0.0
Nongzhanguan,hour,0,35064,0.0
Nongzhanguan,PM2.5,628,34436,0.01791011
Nongzhanguan,PM10,440,34624,0.01254848
Nongzhanguan,SO2,446,34618,0.0127196
Nongzhanguan,NO2,692,34372,0.01973534
Nongzhanguan,CO,1206,33858,0.03439425
Nongzhanguan,O3,506,34558,0.01443076
Nongzhanguan,TEMP,20,35044,0.00057039
Nongzhanguan,PRES,20,35044,0.00057039
Nongzhanguan,DEWP,20,35044,0.00057039
Nongzhanguan,RAIN,20,35044,0.00057039
Nongzhanguan,wd,78,34986,0.0022245
Nongzhanguan,WSPM,14,35050,0.00039927
Nongzhanguan,station,0,35064,0.0
Shunyi,No,0,35064,0.0
Shunyi,year,0,35064,0.0
Shunyi,month,0,35064,0.0
Shunyi,day,0,35064,0.0
Shunyi,hour,0,35064,0.0
Shunyi,PM2.5,913,34151,0.0260381
Shunyi,PM10,548,34516,0.01562856
Shunyi,SO2,1296,33768,0.03696099
Shunyi,NO2,1365,33699,0.03892882
Shunyi,CO,2178,32886,0.06211499
Shunyi,O3,1489,33575,0.04246521
Shunyi,TEMP,51,35013,0.00145448
Shunyi,PRES,51,35013,0.00145448
Shunyi,DEWP,54,35010,0.00154004
Shunyi,RAIN,51,35013,0.00145448
Shunyi,wd,483,34581,0.01377481
Shunyi,WSPM,44,35020,0.00125485
Shunyi,station,0,35064,0.0
Tiantan,No,0,35064,0.0
Tiantan,year,0,35064,0.0
Tiantan,month,0,35064,0.0
Tiantan,day,0,35064,0.0
Tiantan,hour,0,35064,0.0
Tiantan,PM2.5,677,34387,0.01930755
Tiantan,PM10,597,34467,0.01702601
Tiantan,SO2,1118,33946,0.03188455
Tiantan,NO2,744,34320,0.02121834
Tiantan,CO,1126,33938,0.03211271
Tiantan,O3,843,34221,0.02404175
Tiantan,TEMP,20,35044,0.00057039
Tiantan,PRES,20,35044,0.00057039
Tiantan,DEWP,20,35044,0.00057039
Tiantan,RAIN,20,35044,0.00057039
Tiantan,wd,78,34986,0.0022245
Tiantan,WSPM,14,35050,0.00039927
Tiantan,station,0,35064,0.0
Wanliu,No,0,35064,0.0
Wanliu,year,0,35064,0.0
Wanliu,month,0,35064,0.0
Wanliu,day,0,35064,0.0
Wanliu,hour,0,35064,0.0
Wanliu,PM2.5,382,34682,0.01089436
Wanliu,PM10,284,34780,0.00809948
Wanliu,SO2,575,34489,0.01639859
Wanliu,NO2,1070,33994,0.03051563
Wanliu,CO,1812,33252,0.05167693
Wanliu,O3,2107,32957,0.06009012
Wanliu,TEMP,20,35044,0.00057039
Wanliu,PRES,20,35044,0.00057039
Wanliu,DEWP,20,35044,0.00057039
Wanliu,RAIN,20,35044,0.00057039
Wanliu,wd,123,34941,0.00350787
Wanliu,WSPM,14,35050,0.00039927
Wanliu,station,0,35064,0.0
Wanshouxigong,No,0,35064,0.0
Wanshouxigong,year,0,35064,0.0
