station,file,sha256,size_bytes,rows,timestamp_min,timestamp_max,distinct_timestamps,missing_timestamps,duplicate_timestamps,malformed_rows,station_matches_filename,pm25_missing,pm25_missing_rate
Aotizhongxin,PRSA_Data_Aotizhongxin_20130301-20170228.csv,a94fbcfc71708b6ffdc033360163d91efb7f675e496f6b5860929aa96b96351b,2835916,35064,2013-03-01T00:00:00,2017-02-28T23:00:00,35064,0,0,0,True,925,0.02638033
Changping,PRSA_Data_Changping_20130301-20170228.csv,a2e21402a6d95fb7043f87959e6e3dcbecb957aac356a6f8028a85b047c772e7,2722295,35064,2013-03-01T00:00:00,2017-02-28T23:00:00,35064,0,0,0,True,774,0.02207392
Dingling,PRSA_Data_Dingling_20130301-20170228.csv,3d8dff81f18a80d9f455876a785642bffe1e9b9924ec1e6b7ce8cca790432eeb,2675856,35064,2013-03-01T00:00:00,2017-02-28T23:00:00,35064,0,0,0,True,779,0.02221652
Dongsi,PRSA_Data_Dongsi_20130301-20170228.csv,9c0020214425e5ee2a64d42f97a1f632e1d8f6b53ad50edd85a686cc7999f27e,2636684,35064,2013-03-01T00:00:00,2017-02-28T23:00:00,35064,0,0,0,True,750,0.02138946
Guanyuan,PRSA_Data_Guanyuan_20130301-20170228.csv,59390fee3b032597b387491f5230e7edb90a8558e30217ebd6d9befbe669fbf9,2695860,35064,2013-03-01T00:00:00,2017-02-28T23:00:00,35064,0,0,0,True,616,0.01756788
Gucheng,PRSA_Data_Gucheng_20130301-20170228.csv,10ae48801ea55869fee56a48b885fb1127859c130551888d71673f34216ba951,2654625,35064,2013-03-01T00:00:00,2017-02-28T23:00:00,35064,0,0,0,True,646,0.01842345
Huairou,PRSA_Data_Huairou_20130301-20170228.csv,812dcbe848b3ba2c2d25731064797bff803c46eb0c602156a1fa044df136dc26,2641027,35064,2013-03-01T00:00:00,2017-02-28T23:00:00,35064,0,0,0,True,953,0.02717887
Nongzhanguan,PRSA_Data_Nongzhanguan_20130301-20170228.csv,572cf87b65ef543cd55d3a711b28474def224a46b0ec3fc8add8aaf13b67a487,2839705,35064,2013-03-01T00:00:00,2017-02-28T23:00:00,35064,0,0,0,True,628,0.01791011
Shunyi,PRSA_Data_Shunyi_20130301-20170228.csv,520b59e4ead3b0cfe7f1ed673e30275de8441e999db6f413d5172d2277b8c15a,2620654,35064,2013-03-01T00:00:00,2017-02-28T23:00:00,35064,0,0,0,True,913,0.0260381
Tiantan,PRSA_Data_Tiantan_20130301-20170228.csv,0743e34799cf1ee36195b73321b91baa5625276532e7263c588f68cdef3b4daa,2655061,35064,2013-03-01T00:00:00,2017-02-28T23:00:00,35064,0,0,0,True,677,0.01930755
Wanliu,PRSA_Data_Wanliu_20130301-20170228.csv,0b1a6d754a07f0def2f55434ddfa3870dcd0063b7f766a6f66b6c11bb05a377a,2659544,35064,2013-03-01T00:00:00,2017-02-28T23:00:00,35064,0,0,0,True,382,0.01089436
Wanshouxigong,PRSA_Data_Wanshouxigong_20130301-20170228.csv,ab1d6a356d6997a45f6d657ad47de1e05a4a08d4a7015b38a329a90665ab74d0,2871076,35064,2013-03-01T00:00:00,2017-02-28T23:00:00,35064,0,0,0,True,696,0.01984942
