station,year,pm25_missing
Aotizhongxin,2013,11
Aotizhongxin,2014,505
Aotizhongxin,2015,216
Aotizhongxin,2016,177
Aotizhongxin,2017,16
Changping,2013,33
Changping,2014,281
Changping,2015,332
Changping,2016,114
Changping,2017,14
Dingling,2013,134
Dingling,2014,221
Dingling,2015,109
Dingling,2016,306
Dingling,2017,9
Dongsi,2013,143
Dongsi,2014,97
Dongsi,2015,127
Dongsi,2016,353
Dongsi,2017,30
Guanyuan,2013,102
Guanyuan,2014,204
Guanyuan,2015,117
Guanyuan,2016,140
Guanyuan,2017,53
Gucheng,2013,136
Gucheng,2014,179
Gucheng,2015,166
Gucheng,2016,144
Gucheng,2017,21
Huairou,2013,292
Huairou,2014,330
Huairou,2015,159
Huairou,2016,156
Huairou,2017,16
Nongzhanguan,2013,39
Nongzhanguan,2014,189
Nongzhanguan,2015,254
Nongzhanguan,2016,121
Nongzhanguan,2017,25
Shunyi,2013,262
Shunyi,2014,191
Shunyi,2015,124
Shunyi,2016,321
Shunyi,2017,15
Tiantan,2013,17
Tiantan,2014,361
Tiantan,2015,154
Tiantan,2016,126
Tiantan,2017,19
Wanliu,2013,21
Wanliu,2014,93
Wanliu,2015,147
Wanliu,2016,103
Wanliu,2017,18
Wanshouxigong,2013,41
Wanshouxigong,2014,209
Wanshouxigong,2015,222
Wanshouxigong,2016,196
Wanshouxigong,2017,28
