station,expected_grid_hours,observed_distinct_timestamps,missing_timestamps,timestamps_outside_grid,duplicate_timestamps,timestamp_min,timestamp_max,grid_complete
Aotizhongxin,35064,35064,0,0,0,2013-03-01T00:00:00,2017-02-28T23:00:00,True
Changping,35064,35064,0,0,0,2013-03-01T00:00:00,2017-02-28T23:00:00,True
Dingling,35064,35064,0,0,0,2013-03-01T00:00:00,2017-02-28T23:00:00,True
Dongsi,35064,35064,0,0,0,2013-03-01T00:00:00,2017-02-28T23:00:00,True
Guanyuan,35064,35064,0,0,0,2013-03-01T00:00:00,2017-02-28T23:00:00,True
Gucheng,35064,35064,0,0,0,2013-03-01T00:00:00,2017-02-28T23:00:00,True
Huairou,35064,35064,0,0,0,2013-03-01T00:00:00,2017-02-28T23:00:00,True
Nongzhanguan,35064,35064,0,0,0,2013-03-01T00:00:00,2017-02-28T23:00:00,True
Shunyi,35064,35064,0,0,0,2013-03-01T00:00:00,2017-02-28T23:00:00,True
Tiantan,35064,35064,0,0,0,2013-03-01T00:00:00,2017-02-28T23:00:00,True
Wanliu,35064,35064,0,0,0,2013-03-01T00:00:00,2017-02-28T23:00:00,True
Wanshouxigong,35064,35064,0,0,0,2013-03-01T00:00:00,2017-02-28T23:00:00,True
