channel,regime_minimum,type,scaled,scaling_method,mask_available,gap_age_available,known_at_origin,future_deterministic,source_variable
TEMP,R0,continuous,true,median_iqr,true,false,true,false,TEMP
PRES,R0,continuous,true,median_iqr,true,false,true,false,PRES
DEWP,R0,continuous,true,median_iqr,true,false,true,false,DEWP
RAIN,R0,continuous,true,median_std_zero_iqr_fallback,true,false,true,false,RAIN
WSPM,R0,continuous,true,median_iqr,true,false,true,false,WSPM
rain_occurred,R0,binary,false,none,true,false,true,false,RAIN
wd_code,R0,categorical,false,training_vocabulary_16_plus_MISSING,true,false,true,false,wd
origin_hour_sin,R0,cyclic,false,none,false,false,true,false,timestamp
origin_hour_cos,R0,cyclic,false,none,false,false,true,false,timestamp
origin_doy_sin,R0,cyclic,false,none,false,false,true,false,timestamp
origin_doy_cos,R0,cyclic,false,none,false,false,true,false,timestamp
origin_month_sin,R0,cyclic,false,none,false,false,true,false,timestamp
origin_month_cos,R0,cyclic,false,none,false,false,true,false,timestamp
target_hour_sin,R0,cyclic,false,none,false,false,true,true,timestamp
target_hour_cos,R0,cyclic,false,none,false,false,true,true,timestamp
target_doy_sin,R0,cyclic,false,none,false,false,true,true,timestamp
target_doy_cos,R0,cyclic,false,none,false,false,true,true,timestamp
target_month_sin,R0,cyclic,false,none,false,false,true,true,timestamp
target_month_cos,R0,cyclic,false,none,false,false,true,true,timestamp
station_code,R0,identity,false,none,false,false,true,true,station
PM2.5,R1,continuous,true,median_iqr,true,true,true,false,PM2.5
PM10,R2,continuous,true,median_iqr,true,true,true,false,PM10
SO2,R2,continuous,true,median_iqr,true,true,true,false,SO2
NO2,R2,continuous,true,median_iqr,true,true,true,false,NO2
CO,R2,continuous,true,median_iqr,true,true,true,false,CO
O3,R2,continuous,true,median_iqr,true,true,true,false,O3
cross_station_pollutant_history,R3,continuous,true,median_iqr,true,true,true,false,other_11_stations
