partition,station,variable,raw_observed,short_gap_causal_ffill,training_median_fallback,missing_category_used,max_gap_age_hours
train,Aotizhongxin,PM2.5,16990,125,405,,168
train,Aotizhongxin,PM10,17016,100,404,,168
train,Aotizhongxin,SO2,16838,149,533,,168
train,Aotizhongxin,NO2,16848,193,479,,168
train,Aotizhongxin,CO,16062,486,972,,168
train,Aotizhongxin,O3,16333,488,699,,168
train,Aotizhongxin,TEMP,17518,2,0,,
train,Aotizhongxin,PRES,17518,2,0,,
train,Aotizhongxin,DEWP,17518,2,0,,
train,Aotizhongxin,RAIN,17518,2,0,,
train,Aotizhongxin,WSPM,17518,2,0,,
train,Aotizhongxin,wd,17515,5,0,0,
validation,Aotizhongxin,PM2.5,,,,,deferred_to_rolling_target_history
validation,Aotizhongxin,PM10,8684,99,1,,7
validation,Aotizhongxin,SO2,8671,112,1,,7
validation,Aotizhongxin,NO2,8643,122,19,,24
validation,Aotizhongxin,CO,8616,143,25,,20
validation,Aotizhongxin,O3,8513,270,1,,7
validation,Aotizhongxin,TEMP,8784,0,0,,
validation,Aotizhongxin,PRES,8784,0,0,,
validation,Aotizhongxin,DEWP,8784,0,0,,
validation,Aotizhongxin,RAIN,8784,0,0,,
validation,Aotizhongxin,WSPM,8784,0,0,,
validation,Aotizhongxin,wd,8779,5,0,0,
test,Aotizhongxin,PM2.5,,,,,deferred_to_rolling_target_history
test,Aotizhongxin,PM10,8646,86,28,,25
test,Aotizhongxin,SO2,8620,112,28,,25
test,Aotizhongxin,NO2,8550,182,28,,25
test,Aotizhongxin,CO,8610,116,34,,25
test,Aotizhongxin,O3,8499,233,28,,25
test,Aotizhongxin,TEMP,8742,18,0,,
test,Aotizhongxin,PRES,8742,18,0,,
test,Aotizhongxin,DEWP,8742,18,0,,
test,Aotizhongxin,RAIN,8742,18,0,,
test,Aotizhongxin,WSPM,8748,12,0,,
test,Aotizhongxin,wd,8689,71,0,0,
train,Changping,PM2.5,17182,172,166,,93
train,Changping,PM10,17303,127,90,,64
train,Changping,SO2,17224,172,124,,64
train,Changping,NO2,17158,230,132,,64
train,Changping,CO,16331,698,491,,168
