partition,station,horizon_hours,candidate_targets,excluded_insufficient_history,excluded_target_missing,eligible_samples
train,Aotizhongxin,1,17520,48,530,16942
train,Aotizhongxin,6,17520,53,530,16937
train,Aotizhongxin,12,17520,59,530,16931
train,Aotizhongxin,24,17520,71,530,16919
train,Changping,1,17520,48,338,17134
train,Changping,6,17520,53,338,17129
train,Changping,12,17520,59,338,17123
train,Changping,24,17520,71,338,17111
train,Dingling,1,17520,48,369,17103
train,Dingling,6,17520,53,369,17098
train,Dingling,12,17520,59,369,17092
train,Dingling,24,17520,71,369,17080
train,Dongsi,1,17520,48,260,17212
train,Dongsi,6,17520,53,260,17207
train,Dongsi,12,17520,59,260,17201
train,Dongsi,24,17520,71,260,17189
train,Guanyuan,1,17520,48,322,17150
train,Guanyuan,6,17520,53,322,17145
train,Guanyuan,12,17520,59,322,17139
train,Guanyuan,24,17520,71,322,17127
train,Gucheng,1,17520,48,320,17152
train,Gucheng,6,17520,53,320,17147
train,Gucheng,12,17520,59,320,17141
train,Gucheng,24,17520,71,320,17129
train,Huairou,1,17520,48,638,16834
train,Huairou,6,17520,53,638,16829
train,Huairou,12,17520,59,638,16823
train,Huairou,24,17520,71,638,16811
train,Nongzhanguan,1,17520,48,239,17233
train,Nongzhanguan,6,17520,53,239,17228
train,Nongzhanguan,12,17520,59,239,17222
train,Nongzhanguan,24,17520,71,239,17210
train,Shunyi,1,17520,48,471,17001
train,Shunyi,6,17520,53,471,16996
train,Shunyi,12,17520,59,471,16990
train,Shunyi,24,17520,71,471,16978
train,Tiantan,1,17520,48,386,17086
train,Tiantan,6,17520,53,386,17081
train,Tiantan,12,17520,59,386,17075
train,Tiantan,24,17520,71,386,17063
train,Wanliu,1,17520,48,121,17351
train,Wanliu,6,17520,53,121,17346
train,Wanliu,12,17520,59,121,17340
train,Wanliu,24,17520,71,121,17328
train,Wanshouxigong,1,17520,48,257,17215
train,Wanshouxigong,6,17520,53,257,17210
train,Wanshouxigong,12,17520,59,257,17204
train,Wanshouxigong,24,17520,71,257,17192
validation,Aotizhongxin,1,8784,0,216,8568
validation,Aotizhongxin,6,8784,0,216,8568
validation,Aotizhongxin,12,8784,0,216,8568
validation,Aotizhongxin,24,8784,0,216,8568
validation,Changping,1,8784,0,322,8462
validation,Changping,6,8784,0,322,8462
validation,Changping,12,8784,0,322,8462
validation,Changping,24,8784,0,322,8462
validation,Dingling,1,8784,0,127,8657
validation,Dingling,6,8784,0,127,8657
validation,Dingling,12,8784,0,127,8657
validation,Dingling,24,8784,0,127,8657
validation,Dongsi,1,8784,0,111,8673
validation,Dongsi,6,8784,0,111,8673
validation,Dongsi,12,8784,0,111,8673
validation,Dongsi,24,8784,0,111,8673
validation,Guanyuan,1,8784,0,104,8680
validation,Guanyuan,6,8784,0,104,8680
validation,Guanyuan,12,8784,0,104,8680
validation,Guanyuan,24,8784,0,104,8680
validation,Gucheng,1,8784,0,171,8613
validation,Gucheng,6,8784,0,171,8613
validation,Gucheng,12,8784,0,171,8613
validation,Gucheng,24,8784,0,171,8613
validation,Huairou,1,8784,0,177,8607
validation,Huairou,6,8784,0,177,8607
validation,Huairou,12,8784,0,177,8607
validation,Huairou,24,8784,0,177,8607
validation,Nongzhanguan,1,8784,0,247,8537
validation,Nongzhanguan,6,8784,0,247,8537
validation,Nongzhanguan,12,8784,0,247,8537
validation,Nongzhanguan,24,8784,0,247,8537
validation,Shunyi,1,8784,0,116,8668
validation,Shunyi,6,8784,0,116,8668
validation,Shunyi,12,8784,0,116,8668
validation,Shunyi,24,8784,0,116,8668
validation,Tiantan,1,8784,0,153,8631
validation,Tiantan,6,8784,0,153,8631
validation,Tiantan,12,8784,0,153,8631
validation,Tiantan,24,8784,0,153,8631
validation,Wanliu,1,8784,0,150,8634
validation,Wanliu,6,8784,0,150,8634
validation,Wanliu,12,8784,0,150,8634
validation,Wanliu,24,8784,0,150,8634
validation,Wanshouxigong,1,8784,0,227,8557
validation,Wanshouxigong,6,8784,0,227,8557
validation,Wanshouxigong,12,8784,0,227,8557
validation,Wanshouxigong,24,8784,0,227,8557
test,Aotizhongxin,1,8760,0,179,8581
test,Aotizhongxin,6,8760,0,179,8581
test,Aotizhongxin,12,8760,0,179,8581
test,Aotizhongxin,24,8760,0,179,8581
test,Changping,1,8760,0,114,8646
test,Changping,6,8760,0,114,8646
test,Changping,12,8760,0,114,8646
test,Changping,24,8760,0,114,8646
test,Dingling,1,8760,0,283,8477
test,Dingling,6,8760,0,283,8477
test,Dingling,12,8760,0,283,8477
test,Dingling,24,8760,0,283,8477
test,Dongsi,1,8760,0,379,8381
