partition,station,horizon_hours,position,sample_id,context_length,context_start,context_end,forecast_origin,target_timestamp,hourly_contiguous,end_equals_origin,start_equals_origin_minus_47,no_input_after_origin,target_value_returned
train,Aotizhongxin,1,first,train|Aotizhongxin|2013030300|h1,48,2013-03-01T00:00:00,2013-03-02T23:00:00,2013-03-02T23:00:00,2013-03-03T00:00:00,true,true,true,true,true
train,Aotizhongxin,1,middle,train|Aotizhongxin|2014021920|h1,48,2014-02-17T20:00:00,2014-02-19T19:00:00,2014-02-19T19:00:00,2014-02-19T20:00:00,true,true,true,true,true
train,Aotizhongxin,1,last,train|Aotizhongxin|2015022823|h1,48,2015-02-26T23:00:00,2015-02-28T22:00:00,2015-02-28T22:00:00,2015-02-28T23:00:00,true,true,true,true,true
train,Aotizhongxin,6,first,train|Aotizhongxin|2013030305|h6,48,2013-03-01T00:00:00,2013-03-02T23:00:00,2013-03-02T23:00:00,2013-03-03T05:00:00,true,true,true,true,true
train,Aotizhongxin,6,middle,train|Aotizhongxin|2014021922|h6,48,2014-02-17T17:00:00,2014-02-19T16:00:00,2014-02-19T16:00:00,2014-02-19T22:00:00,true,true,true,true,true
train,Aotizhongxin,6,last,train|Aotizhongxin|2015022823|h6,48,2015-02-26T18:00:00,2015-02-28T17:00:00,2015-02-28T17:00:00,2015-02-28T23:00:00,true,true,true,true,true
train,Aotizhongxin,12,first,train|Aotizhongxin|2013030311|h12,48,2013-03-01T00:00:00,2013-03-02T23:00:00,2013-03-02T23:00:00,2013-03-03T11:00:00,true,true,true,true,true
train,Aotizhongxin,12,middle,train|Aotizhongxin|2014022001|h12,48,2014-02-17T14:00:00,2014-02-19T13:00:00,2014-02-19T13:00:00,2014-02-20T01:00:00,true,true,true,true,true
train,Aotizhongxin,12,last,train|Aotizhongxin|2015022823|h12,48,2015-02-26T12:00:00,2015-02-28T11:00:00,2015-02-28T11:00:00,2015-02-28T23:00:00,true,true,true,true,true
train,Aotizhongxin,24,first,train|Aotizhongxin|2013030323|h24,48,2013-03-01T00:00:00,2013-03-02T23:00:00,2013-03-02T23:00:00,2013-03-03T23:00:00,true,true,true,true,true
train,Aotizhongxin,24,middle,train|Aotizhongxin|2014022007|h24,48,2014-02-17T08:00:00,2014-02-19T07:00:00,2014-02-19T07:00:00,2014-02-20T07:00:00,true,true,true,true,true
train,Aotizhongxin,24,last,train|Aotizhongxin|2015022823|h24,48,2015-02-26T00:00:00,2015-02-27T23:00:00,2015-02-27T23:00:00,2015-02-28T23:00:00,true,true,true,true,true
train,Huairou,1,first,train|Huairou|2013030300|h1,48,2013-03-01T00:00:00,2013-03-02T23:00:00,2013-03-02T23:00:00,2013-03-03T00:00:00,true,true,true,true,true
