hour,count_non_missing,mean,median,std
0,1735,113.390202,80.000000,103.228028
1,1745,113.698567,81.000000,106.704071
2,1739,110.323174,81.000000,100.538786
3,1745,108.042980,79.000000,97.536790
4,1744,104.080275,78.500000,94.698473
5,1740,100.013218,79.000000,89.600592
6,1740,96.882759,78.500000,87.105312
7,1739,96.024727,78.000000,84.518919
8,1738,95.907940,78.000000,82.803307
9,1739,94.672800,76.000000,82.497204
10,1734,93.447520,71.000000,85.119104
11,1727,91.678633,68.000000,85.487216
12,1731,89.448873,65.000000,83.853113
13,1749,87.990280,62.000000,83.409850
14,1737,86.283247,60.000000,83.793665
15,1739,85.534215,58.000000,84.298809
16,1737,85.922280,59.000000,86.493235
17,1742,87.571183,61.500000,86.837237
18,1751,91.507710,63.000000,88.922122
19,1742,97.398393,68.000000,92.367879
20,1740,104.614368,74.000000,97.080263
21,1741,109.249856,79.000000,99.565372
22,1741,111.021252,77.000000,101.677618
23,1742,111.889782,79.000000,102.172043
