month,month_name,count_non_missing,mean,median,std
1,Jan,3471,115.059061,66.000000,128.316354
2,Feb,3373,125.736140,87.000000,121.640071
3,Mar,3556,97.757593,70.000000,93.027608
4,Apr,3405,83.709251,69.000000,66.168748
5,May,3609,80.113051,69.000000,54.531846
6,Jun,3405,96.513656,85.000000,66.192781
7,Jul,3647,94.332328,79.000000,67.813333
8,Aug,3337,79.996704,70.000000,56.232455
9,Sep,3333,85.209421,69.000000,69.437596
10,Oct,3579,120.401509,80.000000,112.672334
11,Nov,3501,105.762639,70.000000,104.702632
12,Dec,3541,98.200226,54.000000,105.186038
