hour,total_rows,missing_pm25,missing_rate_percent
0,1826,91,4.983571
1,1826,81,4.435926
2,1826,87,4.764513
3,1826,81,4.435926
4,1826,82,4.490690
5,1826,86,4.709748
6,1826,86,4.709748
7,1826,87,4.764513
8,1826,88,4.819277
9,1826,87,4.764513
10,1826,92,5.038335
11,1826,99,5.421687
12,1826,95,5.202629
13,1826,77,4.216867
14,1826,89,4.874042
15,1826,87,4.764513
16,1826,89,4.874042
17,1826,84,4.600219
18,1826,75,4.107338
19,1826,84,4.600219
20,1826,86,4.709748
21,1826,85,4.654984
22,1826,85,4.654984
23,1826,84,4.600219
