station_a,station_b,pearson_r,valid_pairs
Aotizhongxin,Aotizhongxin,1.0,16990
Aotizhongxin,Changping,0.854054,16752
Aotizhongxin,Dingling,0.842125,16656
Aotizhongxin,Dongsi,0.950419,16785
Aotizhongxin,Guanyuan,0.959712,16708
Aotizhongxin,Gucheng,0.904454,16716
Aotizhongxin,Huairou,0.842212,16390
Aotizhongxin,Nongzhanguan,0.945126,16798
Aotizhongxin,Shunyi,0.888525,16557
Aotizhongxin,Tiantan,0.94155,16646
Aotizhongxin,Wanliu,0.936472,16901
Aotizhongxin,Wanshouxigong,0.920363,16774
Changping,Aotizhongxin,0.854054,16752
Changping,Changping,1.0,17182
Changping,Dingling,0.923512,16855
Changping,Dongsi,0.827264,16958
Changping,Guanyuan,0.848699,16898
Changping,Gucheng,0.864323,16895
Changping,Huairou,0.864493,16584
Changping,Nongzhanguan,0.810987,16983
Changping,Shunyi,0.819089,16750
Changping,Tiantan,0.822853,16828
Changping,Wanliu,0.866988,17102
Changping,Wanshouxigong,0.79924,16964
Dingling,Aotizhongxin,0.842125,16656
Dingling,Changping,0.923512,16855
Dingling,Dingling,1.0,17151
Dingling,Dongsi,0.811918,16925
Dingling,Guanyuan,0.83325,16861
Dingling,Gucheng,0.849283,16865
Dingling,Huairou,0.870798,16567
Dingling,Nongzhanguan,0.797587,16947
Dingling,Shunyi,0.824508,16718
Dingling,Tiantan,0.807895,16799
Dingling,Wanliu,0.844789,17059
Dingling,Wanshouxigong,0.784975,16943
Dongsi,Aotizhongxin,0.950419,16785
Dongsi,Changping,0.827264,16958
Dongsi,Dingling,0.811918,16925
Dongsi,Dongsi,1.0,17260
Dongsi,Guanyuan,0.963667,16978
Dongsi,Gucheng,0.895272,16975
Dongsi,Huairou,0.826776,16659
Dongsi,Nongzhanguan,0.953743,17064
Dongsi,Shunyi,0.883769,16820
Dongsi,Tiantan,0.965634,16913
Dongsi,Wanliu,0.92487,17170
Dongsi,Wanshouxigong,0.942293,17041
Guanyuan,Aotizhongxin,0.959712,16708
Guanyuan,Changping,0.848699,16898
Guanyuan,Dingling,0.83325,16861
Guanyuan,Dongsi,0.963667,16978
Guanyuan,Guanyuan,1.0,17198
Guanyuan,Gucheng,0.92286,16913
Guanyuan,Huairou,0.837147,16634
Guanyuan,Nongzhanguan,0.943158,16998
Guanyuan,Shunyi,0.879401,16760
Guanyuan,Tiantan,0.959976,16857
Guanyuan,Wanliu,0.952758,17111
Guanyuan,Wanshouxigong,0.944659,16980
Gucheng,Aotizhongxin,0.904454,16716
Gucheng,Changping,0.864323,16895
Gucheng,Dingling,0.849283,16865
Gucheng,Dongsi,0.895272,16975
Gucheng,Guanyuan,0.92286,16913
Gucheng,Gucheng,1.0,17200
Gucheng,Huairou,0.852709,16603
Gucheng,Nongzhanguan,0.872534,16996
Gucheng,Shunyi,0.858572,16784
Gucheng,Tiantan,0.893809,16863
Gucheng,Wanliu,0.935826,17117
Gucheng,Wanshouxigong,0.886466,16996
Huairou,Aotizhongxin,0.842212,16390
Huairou,Changping,0.864493,16584
Huairou,Dingling,0.870798,16567
Huairou,Dongsi,0.826776,16659
Huairou,Guanyuan,0.837147,16634
Huairou,Gucheng,0.852709,16603
Huairou,Huairou,1.0,16882
Huairou,Nongzhanguan,0.803842,16683
Huairou,Shunyi,0.900714,16454
Huairou,Tiantan,0.819772,16547
Huairou,Wanliu,0.840013,16793
Huairou,Wanshouxigong,0.795619,16656
Nongzhanguan,Aotizhongxin,0.945126,16798
Nongzhanguan,Changping,0.810987,16983
Nongzhanguan,Dingling,0.797587,16947
Nongzhanguan,Dongsi,0.953743,17064
Nongzhanguan,Guanyuan,0.943158,16998
Nongzhanguan,Gucheng,0.872534,16996
Nongzhanguan,Huairou,0.803842,16683
Nongzhanguan,Nongzhanguan,1.0,17281
Nongzhanguan,Shunyi,0.872652,16845
Nongzhanguan,Tiantan,0.951963,16931
Nongzhanguan,Wanliu,0.906858,17190
Nongzhanguan,Wanshouxigong,0.933461,17058
Shunyi,Aotizhongxin,0.888525,16557
Shunyi,Changping,0.819089,16750
Shunyi,Dingling,0.824508,16718
Shunyi,Dongsi,0.883769,16820
Shunyi,Guanyuan,0.879401,16760
Shunyi,Gucheng,0.858572,16784
Shunyi,Huairou,0.900714,16454
Shunyi,Nongzhanguan,0.872652,16845
Shunyi,Shunyi,1.0,17049
Shunyi,Tiantan,0.877984,16699
Shunyi,Wanliu,0.863282,16959
Shunyi,Wanshouxigong,0.858678,16838
Tiantan,Aotizhongxin,0.94155,16646
Tiantan,Changping,0.822853,16828
Tiantan,Dingling,0.807895,16799
Tiantan,Dongsi,0.965634,16913
Tiantan,Guanyuan,0.959976,16857
Tiantan,Gucheng,0.893809,16863
Tiantan,Huairou,0.819772,16547
Tiantan,Nongzhanguan,0.951963,16931
Tiantan,Shunyi,0.877984,16699
Tiantan,Tiantan,1.0,17134
Tiantan,Wanliu,0.921866,17044
Tiantan,Wanshouxigong,0.956842,16954
Wanliu,Aotizhongxin,0.936472,16901
Wanliu,Changping,0.866988,17102
Wanliu,Dingling,0.844789,17059
Wanliu,Dongsi,0.92487,17170
Wanliu,Guanyuan,0.952758,17111
Wanliu,Gucheng,0.935826,17117
Wanliu,Huairou,0.840013,16793
Wanliu,Nongzhanguan,0.906858,17190
Wanliu,Shunyi,0.863282,16959
Wanliu,Tiantan,0.921866,17044
Wanliu,Wanliu,1.0,17399
Wanliu,Wanshouxigong,0.90759,17184
Wanshouxigong,Aotizhongxin,0.920363,16774
Wanshouxigong,Changping,0.79924,16964
Wanshouxigong,Dingling,0.784975,16943
Wanshouxigong,Dongsi,0.942293,17041
Wanshouxigong,Guanyuan,0.944659,16980
Wanshouxigong,Gucheng,0.886466,16996
Wanshouxigong,Huairou,0.795619,16656
Wanshouxigong,Nongzhanguan,0.933461,17058
Wanshouxigong,Shunyi,0.858678,16838
Wanshouxigong,Tiantan,0.956842,16954
Wanshouxigong,Wanliu,0.90759,17184
Wanshouxigong,Wanshouxigong,1.0,17263
