variable,station,hours,missing,missing_pct,n_runs,longest_run_h,median_run_h,p90_run_h,isolated_1h_gaps,runs_le_3h,runs_le_6h,runs_le_12h,runs_le_24h,runs_gt_24h,missing_hours_in_runs_gt_24h
PM2.5,Aotizhongxin,17520,530,3.025114,70,343,1.0,4.0,41,62,66,67,68,2,407
PM2.5,Changping,17520,338,1.929224,81,93,1.0,6.0,42,68,74,78,79,2,157
PM2.5,Dingling,17520,369,2.106164,83,43,1.0,13.8,46,65,69,73,81,2,82
PM2.5,Dongsi,17520,260,1.484018,72,43,1.0,4.9,38,62,66,67,69,3,110
PM2.5,Guanyuan,17520,322,1.8379,78,71,1.0,5.0,41,64,73,74,75,3,157
PM2.5,Gucheng,17520,320,1.826484,83,54,1.0,10.2,45,63,72,76,81,2,79
PM2.5,Huairou,17520,638,3.641553,106,208,1.0,7.5,66,87,94,97,101,5,384
PM2.5,Nongzhanguan,17520,239,1.364155,107,19,1.0,4.0,62,95,101,105,107,0,0
PM2.5,Shunyi,17520,471,2.688356,85,197,1.0,5.2,54,74,77,80,82,3,300
PM2.5,Tiantan,17520,386,2.203196,215,24,1.0,3.0,165,197,209,211,215,0,0
PM2.5,Wanliu,17520,121,0.690639,62,13,1.0,2.9,39,56,59,61,62,0,0
PM2.5,Wanshouxigong,17520,257,1.466895,70,26,1.0,12.1,36,54,59,63,69,1,26
PM2.5,POOLED,210240,4251,2.021975,1112,343,1.0,5.0,675,947,1019,1052,1089,23,1702
PM10,Aotizhongxin,17520,504,2.876712,55,343,1.0,4.6,36,47,51,52,53,2,407
PM10,Changping,17520,217,1.238584,60,64,1.0,7.0,36,50,53,57,59,1,64
PM10,Dingling,17520,375,2.140411,92,43,1.0,12.7,57,74,78,82,90,2,82
PM10,Dongsi,17520,171,0.976027,62,42,1.0,4.0,41,54,58,59,61,1,42
PM10,Guanyuan,17520,215,1.227169,54,44,1.5,4.7,27,41,50,51,52,2,86
PM10,Gucheng,17520,163,0.930365,51,25,1.0,7.0,31,40,45,47,50,1,25
PM10,Huairou,17520,567,3.236301,86,208,1.0,7.5,55,70,76,79,81,5,384
PM10,Nongzhanguan,17520,192,1.09589,91,19,1.0,4.0,61,81,86,89,91,0,0
PM10,Shunyi,17520,180,1.027397,86,21,1.0,3.5,64,77,80,83,86,0,0
PM10,Tiantan,17520,369,2.106164,209,24,1.0,3.0,169,191,203,205,209,0,0
PM10,Wanliu,17520,92,0.525114,46,13,1.0,4.5,36,40,43,45,46,0,0
PM10,Wanshouxigong,17520,179,1.021689,46,26,1.0,12.5,28,34,37,41,45,1,26
PM10,POOLED,210240,3224,1.533486,938,343,1.0,5.0,641,799,860,890,923,15,1116
SO2,Aotizhongxin,17520,682,3.892694,75,343,1.0,7.0,46,63,66,70,71,4,541
SO2,Changping,17520,296,1.689498,85,64,1.0,7.0,58,70,75,80,84,1,64
SO2,Dingling,17520,414,2.363014,99,44,1.0,13.2,62,79,83,87,97,2,85
SO2,Dongsi,17520,275,1.569635,88,43,1.0,8.0,57,69,77,85,87,1,43
SO2,Guanyuan,17520,319,1.820776,92,103,1.0,4.0,63,81,87,89,90,2,147
SO2,Gucheng,17520,300,1.712329,58,61,1.0,13.3,35,43,47,51,55,3,127
SO2,Huairou,17520,669,3.818493,144,207,1.0,4.7,94,126,133,136,139,5,383
SO2,Nongzhanguan,17520,198,1.130137,84,20,1.0,4.0,53,74,78,81,84,0,0
SO2,Shunyi,17520,662,3.778539,156,95,1.0,7.0,99,135,139,144,149,7,348
SO2,Tiantan,17520,890,5.079909,199,457,1.0,2.2,165,183,189,193,197,2,550
SO2,Wanliu,17520,318,1.815068,218,24,1.0,1.3,196,208,211,216,218,0,0
SO2,Wanshouxigong,17520,384,2.191781,61,93,1.0,13.0,41,48,50,54,57,4,232
SO2,POOLED,210240,5407,2.571823,1359,457,1.0,6.0,969,1179,1235,1286,1328,31,2520
NO2,Aotizhongxin,17520,672,3.835616,121,343,1.0,3.0,94,109,113,116,118,3,470
NO2,Changping,17520,362,2.06621,118,64,1.0,6.0,80,98,108,112,117,1,64
NO2,Dingling,17520,909,5.188356,239,44,1.0,11.0,136,182,198,221,237,2,86
NO2,Dongsi,17520,1197,6.832192,79,900,1.0,4.0,60,69,73,74,76,3,1058
NO2,Guanyuan,17520,482,2.751142,120,103,1.0,4.2,83,103,110,112,115,5,251
NO2,Gucheng,17520,329,1.877854,86,66,1.0,8.0,59,70,75,79,84,2,91
NO2,Huairou,17520,1120,6.392694,276,207,1.0,7.0,154,219,245,264,269,7,448
NO2,Nongzhanguan,17520,375,2.140411,135,55,1.0,4.0,94,118,126,128,134,1,55
NO2,Shunyi,17520,732,4.178082,184,423,1.0,2.0,142,174,177,180,182,2,451
NO2,Tiantan,17520,504,2.876712,249,93,1.0,3.0,201,230,242,245,248,1,93
NO2,Wanliu,17520,276,1.575342,186,24,1.0,2.0,158,179,181,184,186,0,0
NO2,Wanshouxigong,17520,437,2.494292,97,93,1.0,7.4,68,81,85,90,94,3,202
NO2,POOLED,210240,7395,3.517409,1890,900,1.0,5.0,1329,1632,1733,1805,1860,30,3269
CO,Aotizhongxin,17520,1458,8.321918,237,343,1.0,7.0,152,193,208,224,229,8,934
CO,Changping,17520,1189,6.78653,300,175,1.0,7.0,158,231,269,286,294,6,391
CO,Dingling,17520,1622,9.257991,203,1051,1.0,7.0,146,172,181,188,201,2,1093
CO,Dongsi,17520,2780,15.86758,171,1517,1.0,5.0,120,148,157,163,168,3,2421
CO,Guanyuan,17520,1474,8.413242,243,441,1.0,6.0,165,206,223,232,237,6,962
CO,Gucheng,17520,1159,6.615297,187,349,1.0,7.4,122,151,163,171,181,6,690
CO,Huairou,17520,1074,6.130137,311,211,1.0,4.0,207,277,289,297,304,7,464
CO,Nongzhanguan,17520,812,4.634703,224,147,1.0,5.7,150,196,204,211,220,4,309
CO,Shunyi,17520,1442,8.230594,393,749,1.0,2.0,314,371,379,385,390,3,845
CO,Tiantan,17520,872,4.977169,355,93,1.0,4.0,282,318,335,343,352,3,210
CO,Wanliu,17520,1579,9.012557,198,642,1.0,4.3,154,176,183,189,195,3,1187
CO,Wanshouxigong,17520,930,5.308219,227,93,1.0,8.0,155,179,195,210,221,6,317
CO,POOLED,210240,16391,7.796328,3049,1517,1.0,6.0,2125,2618,2786,2899,2992,57,9823
O3,Aotizhongxin,17520,1187,6.775114,214,343,1.0,8.7,125,165,184,198,206,8,626
O3,Changping,17520,316,1.803653,126,64,1.0,3.5,97,113,118,122,125,1,64
O3,Dingling,17520,576,3.287671,160,67,1.0,9.0,110,134,141,149,157,3,152
O3,Dongsi,17520,258,1.472603,123,43,1.0,3.0,96,112,117,120,122,1,43
O3,Guanyuan,17520,1005,5.736301,205,103,1.0,13.0,122,148,161,183,200,5,278
O3,Gucheng,17520,518,2.956621,97,260,1.0,6.8,73,83,87,91,94,3,315
O3,Huairou,17520,747,4.263699,220,207,1.0,3.0,144,201,207,214,216,4,352
O3,Nongzhanguan,17520,246,1.40411,138,19,1.0,3.0,106,125,133,136,138,0,0
O3,Shunyi,17520,354,2.020548,198,13,1.0,2.3,129,183,189,197,198,0,0
O3,Tiantan,17520,598,3.413242,293,93,1.0,2.0,250,274,284,288,291,2,150
O3,Wanliu,17520,1597,9.115297,380,429,1.0,9.1,250,307,324,350,377,3,490
O3,Wanshouxigong,17520,792,4.520548,175,93,1.0,13.0,105,131,144,155,171,4,213
O3,POOLED,210240,8194,3.897451,2329,429,1.0,7.0,1607,1976,2089,2203,2295,34,2683
TEMP,Aotizhongxin,17520,2,0.011416,2,1,1.0,1.0,2,2,2,2,2,0,0
TEMP,Changping,17520,32,0.182648,30,2,1.0,1.0,28,30,30,30,30,0,0
TEMP,Dingling,17520,32,0.182648,30,2,1.0,1.0,28,30,30,30,30,0,0
TEMP,Dongsi,17520,2,0.011416,2,1,1.0,1.0,2,2,2,2,2,0,0
TEMP,Guanyuan,17520,2,0.011416,2,1,1.0,1.0,2,2,2,2,2,0,0
TEMP,Gucheng,17520,34,0.194064,28,7,1.0,1.0,27,27,27,28,28,0,0
TEMP,Huairou,17520,33,0.188356,27,3,1.0,2.0,22,27,27,27,27,0,0
TEMP,Nongzhanguan,17520,2,0.011416,2,1,1.0,1.0,2,2,2,2,2,0,0
TEMP,Shunyi,17520,32,0.182648,30,2,1.0,1.0,28,30,30,30,30,0,0
TEMP,Tiantan,17520,2,0.011416,2,1,1.0,1.0,2,2,2,2,2,0,0
TEMP,Wanliu,17520,2,0.011416,2,1,1.0,1.0,2,2,2,2,2,0,0
TEMP,Wanshouxigong,17520,1,0.005708,1,1,1.0,1.0,1,1,1,1,1,0,0
TEMP,POOLED,210240,176,0.083714,158,7,1.0,1.0,146,157,157,158,158,0,0
PRES,Aotizhongxin,17520,2,0.011416,2,1,1.0,1.0,2,2,2,2,2,0,0
PRES,Changping,17520,32,0.182648,30,2,1.0,1.0,28,30,30,30,30,0,0
PRES,Dingling,17520,32,0.182648,30,2,1.0,1.0,28,30,30,30,30,0,0
PRES,Dongsi,17520,2,0.011416,2,1,1.0,1.0,2,2,2,2,2,0,0
PRES,Guanyuan,17520,2,0.011416,2,1,1.0,1.0,2,2,2,2,2,0,0
PRES,Gucheng,17520,33,0.188356,27,7,1.0,1.0,26,26,26,27,27,0,0
PRES,Huairou,17520,35,0.199772,29,3,1.0,2.0,24,29,29,29,29,0,0
PRES,Nongzhanguan,17520,2,0.011416,2,1,1.0,1.0,2,2,2,2,2,0,0
PRES,Shunyi,17520,32,0.182648,30,2,1.0,1.0,28,30,30,30,30,0,0
PRES,Tiantan,17520,2,0.011416,2,1,1.0,1.0,2,2,2,2,2,0,0
PRES,Wanliu,17520,2,0.011416,2,1,1.0,1.0,2,2,2,2,2,0,0
PRES,Wanshouxigong,17520,1,0.005708,1,1,1.0,1.0,1,1,1,1,1,0,0
PRES,POOLED,210240,177,0.084189,159,7,1.0,1.0,147,158,158,159,159,0,0
DEWP,Aotizhongxin,17520,2,0.011416,2,1,1.0,1.0,2,2,2,2,2,0,0
DEWP,Changping,17520,32,0.182648,30,2,1.0,1.0,28,30,30,30,30,0,0
DEWP,Dingling,17520,32,0.182648,30,2,1.0,1.0,28,30,30,30,30,0,0
DEWP,Dongsi,17520,2,0.011416,2,1,1.0,1.0,2,2,2,2,2,0,0
DEWP,Guanyuan,17520,2,0.011416,2,1,1.0,1.0,2,2,2,2,2,0,0
DEWP,Gucheng,17520,34,0.194064,28,7,1.0,1.0,27,27,27,28,28,0,0
DEWP,Huairou,17520,35,0.199772,29,3,1.0,2.0,24,29,29,29,29,0,0
DEWP,Nongzhanguan,17520,2,0.011416,2,1,1.0,1.0,2,2,2,2,2,0,0
DEWP,Shunyi,17520,35,0.199772,31,3,1.0,1.0,28,31,31,31,31,0,0
DEWP,Tiantan,17520,2,0.011416,2,1,1.0,1.0,2,2,2,2,2,0,0
DEWP,Wanliu,17520,2,0.011416,2,1,1.0,1.0,2,2,2,2,2,0,0
DEWP,Wanshouxigong,17520,1,0.005708,1,1,1.0,1.0,1,1,1,1,1,0,0
DEWP,POOLED,210240,181,0.086092,161,7,1.0,1.0,148,160,160,161,161,0,0
RAIN,Aotizhongxin,17520,2,0.011416,2,1,1.0,1.0,2,2,2,2,2,0,0
RAIN,Changping,17520,32,0.182648,30,2,1.0,1.0,28,30,30,30,30,0,0
RAIN,Dingling,17520,32,0.182648,30,2,1.0,1.0,28,30,30,30,30,0,0
RAIN,Dongsi,17520,2,0.011416,2,1,1.0,1.0,2,2,2,2,2,0,0
RAIN,Guanyuan,17520,2,0.011416,2,1,1.0,1.0,2,2,2,2,2,0,0
