scope,station,lag_hours,pearson_r,valid_pairs
station,Aotizhongxin,1,0.965766,16919
station,Changping,1,0.958099,17100
station,Dingling,1,0.970101,17067
station,Dongsi,1,0.966707,17187
station,Guanyuan,1,0.969112,17119
station,Gucheng,1,0.960312,17116
station,Huairou,1,0.965459,16775
station,Nongzhanguan,1,0.96288,17173
station,Shunyi,1,0.959861,16963
station,Tiantan,1,0.967396,16918
station,Wanliu,1,0.965229,17336
station,Wanshouxigong,1,0.967446,17192
pooled_pairs,ALL,1,0.965086,204865
station,Aotizhongxin,2,0.91516,16890
station,Changping,2,0.911758,17063
station,Dingling,2,0.933989,17033
station,Dongsi,2,0.917632,17154
station,Guanyuan,2,0.924371,17082
station,Gucheng,2,0.910723,17080
station,Huairou,2,0.924726,16739
station,Nongzhanguan,2,0.914324,17135
station,Shunyi,2,0.911612,16935
station,Tiantan,2,0.920902,16879
station,Wanliu,2,0.917848,17316
station,Wanshouxigong,2,0.920375,17160
pooled_pairs,ALL,2,0.91888,204466
station,Aotizhongxin,3,0.866322,16882
station,Changping,3,0.871652,17046
station,Dingling,3,0.900339,17011
station,Dongsi,3,0.869474,17141
station,Guanyuan,3,0.877904,17064
station,Gucheng,3,0.866096,17056
station,Huairou,3,0.886605,16718
station,Nongzhanguan,3,0.86383,17117
station,Shunyi,3,0.865841,16917
station,Tiantan,3,0.872609,16974
station,Wanliu,3,0.872218,17308
station,Wanshouxigong,3,0.872706,17144
pooled_pairs,ALL,3,0.873972,204378
station,Aotizhongxin,6,0.741867,16866
station,Changping,6,0.768433,17011
station,Dingling,6,0.805775,16962
station,Dongsi,6,0.738781,17114
station,Guanyuan,6,0.754504,17033
station,Gucheng,6,0.747515,17014
station,Huairou,6,0.775109,16669
station,Nongzhanguan,6,0.725066,17088
station,Shunyi,6,0.72771,16887
station,Tiantan,6,0.740867,16940
station,Wanliu,6,0.752735,17294
station,Wanshouxigong,6,0.739334,17102
pooled_pairs,ALL,6,0.751537,203980
station,Aotizhongxin,12,0.553817,16842
station,Changping,12,0.604056,16985
station,Dingling,12,0.633813,16894
station,Dongsi,12,0.546224,17079
station,Guanyuan,12,0.563764,17008
station,Gucheng,12,0.565715,16957
station,Huairou,12,0.596058,16611
station,Nongzhanguan,12,0.535814,17060
station,Shunyi,12,0.532779,16855
station,Tiantan,12,0.547649,16899
station,Wanliu,12,0.578785,17274
station,Wanshouxigong,12,0.535513,17048
pooled_pairs,ALL,12,0.566832,203512
station,Aotizhongxin,24,0.348958,16805
station,Changping,24,0.386666,16932
station,Dingling,24,0.407412,16817
station,Dongsi,24,0.354093,17016
station,Guanyuan,24,0.36176,16940
station,Gucheng,24,0.386038,16904
station,Huairou,24,0.386293,16496
station,Nongzhanguan,24,0.34104,17031
station,Shunyi,24,0.351547,16802
station,Tiantan,24,0.341585,16860
station,Wanliu,24,0.382762,17255
station,Wanshouxigong,24,0.33777,16986
pooled_pairs,ALL,24,0.368044,202844
station,Aotizhongxin,48,0.079107,16735
station,Changping,48,0.094269,16862
station,Dingling,48,0.121789,16738
station,Dongsi,48,0.080676,16961
station,Guanyuan,48,0.07867,16852
station,Gucheng,48,0.123226,16853
station,Huairou,48,0.119979,16410
station,Nongzhanguan,48,0.067334,16999
station,Shunyi,48,0.116344,16739
station,Tiantan,48,0.065923,16822
station,Wanliu,48,0.104129,17230
station,Wanshouxigong,48,0.07115,16960
pooled_pairs,ALL,48,0.097818,202161
station,Aotizhongxin,72,-0.01622,16669
station,Changping,72,-0.011511,16800
station,Dingling,72,0.013729,16718
station,Dongsi,72,-0.030984,16930
station,Guanyuan,72,-0.032691,16806
station,Gucheng,72,0.018566,16818
station,Huairou,72,0.019689,16336
station,Nongzhanguan,72,-0.027029,16974
station,Shunyi,72,0.007641,16666
station,Tiantan,72,-0.044595,16784
station,Wanliu,72,0.001146,17206
station,Wanshouxigong,72,-0.009564,16940
pooled_pairs,ALL,72,-0.004124,201647
station,Aotizhongxin,168,-0.013971,16480
station,Changping,168,-0.023246,16676
station,Dingling,168,-0.002452,16623
station,Dongsi,168,0.005307,16838
station,Guanyuan,168,-0.003996,16713
station,Gucheng,168,0.007316,16715
station,Huairou,168,0.01542,16146
station,Nongzhanguan,168,0.013295,16878
station,Shunyi,168,0.04296,16474
station,Tiantan,168,-0.003898,16651
station,Wanliu,168,-0.001717,17112
station,Wanshouxigong,168,-0.007767,16839
pooled_pairs,ALL,168,0.008177,200145
