station,hours,observed,missing,missing_pct,count,mean,std,min,p01,p05,p25,p50,p75,p90,p95,p99,max,median,skewness,excess_kurtosis
Aotizhongxin,17520,16990,530,3.025114,16990,86.998623,79.238703,3.0,3.0,8.0,26.0,66.0,122.0,191.0,247.0,354.0,665.0,66.0,1.62244,3.464987
Changping,17520,17182,338,1.929224,17182,77.546601,75.292005,2.0,3.0,7.0,19.0,53.0,112.0,184.0,238.0,324.19,581.0,53.0,1.526006,2.451564
Dingling,17520,17151,369,2.106164,17151,70.966154,74.780992,3.0,3.0,4.0,15.0,45.0,102.0,172.0,234.0,336.0,548.0,45.0,1.690407,3.024883
Dongsi,17520,17260,260,1.484018,17260,88.659606,82.760644,3.0,3.0,5.0,25.0,66.0,126.0,203.0,254.0,368.0,737.0,66.0,1.594205,3.47735
Guanyuan,17520,17198,322,1.8379,17198,86.23305,78.061453,3.0,3.0,8.0,26.0,65.0,122.0,189.0,240.15,352.03,603.0,65.0,1.624384,3.526871
Gucheng,17520,17200,320,1.826484,17200,86.702029,78.260179,2.0,3.0,7.0,27.0,65.0,122.0,191.0,243.0,344.01,770.0,65.0,1.640658,3.90413
Huairou,17520,16882,638,3.641553,16882,73.94673,71.243531,2.0,3.0,5.0,19.0,52.0,106.0,172.9,221.0,310.0,762.0,52.0,1.628865,3.597509
Nongzhanguan,17520,17281,239,1.364155,17281,88.955778,84.908473,3.0,3.0,7.0,26.0,65.0,124.0,200.0,259.0,385.0,844.0,65.0,1.822268,4.796371
Shunyi,17520,17049,471,2.688356,17049,82.429081,78.199964,3.0,3.0,6.0,21.0,60.0,119.0,189.0,238.0,341.0,641.0,60.0,1.665062,3.998281
Tiantan,17520,17134,386,2.203196,17134,86.203058,78.074112,3.0,3.0,7.0,26.0,65.0,122.0,194.0,241.0,345.0,541.0,65.0,1.544209,3.032281
Wanliu,17520,17399,121,0.690639,17399,90.872177,81.83795,3.0,3.0,8.0,29.0,68.0,128.0,200.0,258.0,365.02,589.0,68.0,1.571461,3.086902
Wanshouxigong,17520,17263,257,1.466895,17263,88.115884,81.809102,3.0,3.0,6.0,25.0,67.0,125.0,197.0,253.9,366.38,704.0,67.0,1.661962,3.841341
