scope,station,n_observed,p95_ug_m3,quantile,method
pooled_training,ALL,205989,244.0,p95,linear interpolation between order statistics (type 7)
station_training,Aotizhongxin,16990,247.0,p95,linear interpolation between order statistics (type 7)
station_training,Changping,17182,238.0,p95,linear interpolation between order statistics (type 7)
station_training,Dingling,17151,234.0,p95,linear interpolation between order statistics (type 7)
station_training,Dongsi,17260,254.0,p95,linear interpolation between order statistics (type 7)
station_training,Guanyuan,17198,240.15,p95,linear interpolation between order statistics (type 7)
station_training,Gucheng,17200,243.0,p95,linear interpolation between order statistics (type 7)
station_training,Huairou,16882,221.0,p95,linear interpolation between order statistics (type 7)
station_training,Nongzhanguan,17281,259.0,p95,linear interpolation between order statistics (type 7)
station_training,Shunyi,17049,238.0,p95,linear interpolation between order statistics (type 7)
station_training,Tiantan,17134,241.0,p95,linear interpolation between order statistics (type 7)
station_training,Wanliu,17399,258.0,p95,linear interpolation between order statistics (type 7)
station_training,Wanshouxigong,17263,253.9,p95,linear interpolation between order statistics (type 7)
