variable,stations_missing,timestamps,pct_of_hours
PM2.5,0,14224,81.187215
PM2.5,1,2751,15.702055
PM2.5,2,434,2.477169
PM2.5,3,53,0.302511
PM2.5,4,22,0.125571
PM2.5,5,1,0.005708
PM2.5,6,5,0.028539
PM2.5,7,0,0.0
PM2.5,8,2,0.011416
PM2.5,9,0,0.0
PM2.5,10,0,0.0
PM2.5,11,2,0.011416
PM2.5,12,26,0.148402
PM10,0,15078,86.061644
PM10,1,2051,11.706621
PM10,2,294,1.678082
PM10,3,46,0.262557
PM10,4,14,0.079909
PM10,5,1,0.005708
PM10,6,6,0.034247
PM10,7,0,0.0
PM10,8,2,0.011416
PM10,9,0,0.0
PM10,10,0,0.0
PM10,11,2,0.011416
PM10,12,26,0.148402
SO2,0,13572,77.465753
SO2,1,3096,17.671233
SO2,2,675,3.85274
SO2,3,93,0.530822
SO2,4,18,0.10274
SO2,5,13,0.074201
SO2,6,8,0.045662
SO2,7,4,0.022831
SO2,8,4,0.022831
SO2,9,1,0.005708
SO2,10,1,0.005708
SO2,11,2,0.011416
SO2,12,33,0.188356
NO2,0,12465,71.14726
NO2,1,3750,21.40411
NO2,2,840,4.794521
NO2,3,313,1.78653
NO2,4,54,0.308219
NO2,5,26,0.148402
NO2,6,20,0.114155
NO2,7,8,0.045662
NO2,8,3,0.017123
NO2,9,1,0.005708
NO2,10,2,0.011416
NO2,11,5,0.028539
NO2,12,33,0.188356
CO,0,10227,58.373288
CO,1,3487,19.902968
CO,2,1783,10.176941
CO,3,1024,5.844749
CO,4,352,2.009132
CO,5,182,1.038813
CO,6,123,0.702055
CO,7,142,0.810502
CO,8,40,0.228311
CO,9,5,0.028539
CO,10,2,0.011416
CO,11,5,0.028539
CO,12,148,0.844749
O3,0,12464,71.141553
O3,1,3537,20.188356
O3,2,922,5.262557
O3,3,235,1.341324
O3,4,174,0.993151
O3,5,78,0.445205
O3,6,33,0.188356
O3,7,13,0.074201
O3,8,7,0.039954
O3,9,1,0.005708
O3,10,1,0.005708
O3,11,2,0.011416
O3,12,53,0.302511
