dimension,key,station,hours,missing,missing_pct
year,2013,ALL,88128,1231,1.396832
year,2014,ALL,105120,2860,2.7207
year,2015,ALL,16992,160,0.94162
month,1,ALL,17856,298,1.668907
month,2,ALL,16128,384,2.380952
month,3,ALL,17856,81,0.453629
month,4,ALL,17280,316,1.828704
month,5,ALL,17856,592,3.315412
month,6,ALL,17280,426,2.465278
month,7,ALL,17856,597,3.343414
month,8,ALL,17856,224,1.25448
month,9,ALL,17280,201,1.163194
month,10,ALL,17856,279,1.5625
month,11,ALL,17280,131,0.758102
month,12,ALL,17856,722,4.043459
hour,0,ALL,8760,143,1.63242
hour,1,ALL,8760,150,1.712329
hour,2,ALL,8760,163,1.860731
hour,3,ALL,8760,164,1.872146
hour,4,ALL,8760,142,1.621005
hour,5,ALL,8760,155,1.769406
hour,6,ALL,8760,138,1.575342
hour,7,ALL,8760,147,1.678082
hour,8,ALL,8760,149,1.700913
hour,9,ALL,8760,138,1.575342
hour,10,ALL,8760,167,1.906393
hour,11,ALL,8760,242,2.762557
hour,12,ALL,8760,271,3.093607
hour,13,ALL,8760,223,2.545662
hour,14,ALL,8760,213,2.431507
hour,15,ALL,8760,232,2.648402
hour,16,ALL,8760,222,2.534247
hour,17,ALL,8760,197,2.248858
hour,18,ALL,8760,157,1.792237
hour,19,ALL,8760,166,1.894977
hour,20,ALL,8760,175,1.997717
hour,21,ALL,8760,148,1.689498
hour,22,ALL,8760,181,2.06621
hour,23,ALL,8760,168,1.917808
year,2013,Aotizhongxin,7344,11,0.149782
year,2014,Aotizhongxin,8760,505,5.76484
year,2015,Aotizhongxin,1416,14,0.988701
year,2013,Changping,7344,33,0.449346
year,2014,Changping,8760,281,3.207763
year,2015,Changping,1416,24,1.694915
year,2013,Dingling,7344,134,1.824619
year,2014,Dingling,8760,221,2.522831
year,2015,Dingling,1416,14,0.988701
year,2013,Dongsi,7344,143,1.947168
year,2014,Dongsi,8760,97,1.107306
year,2015,Dongsi,1416,20,1.412429
year,2013,Guanyuan,7344,102,1.388889
year,2014,Guanyuan,8760,204,2.328767
year,2015,Guanyuan,1416,16,1.129944
year,2013,Gucheng,7344,136,1.851852
year,2014,Gucheng,8760,179,2.043379
year,2015,Gucheng,1416,5,0.353107
year,2013,Huairou,7344,292,3.976035
year,2014,Huairou,8760,330,3.767123
year,2015,Huairou,1416,16,1.129944
year,2013,Nongzhanguan,7344,39,0.531046
year,2014,Nongzhanguan,8760,189,2.157534
year,2015,Nongzhanguan,1416,11,0.776836
year,2013,Shunyi,7344,262,3.567538
year,2014,Shunyi,8760,191,2.180365
year,2015,Shunyi,1416,18,1.271186
year,2013,Tiantan,7344,17,0.231481
year,2014,Tiantan,8760,361,4.121005
year,2015,Tiantan,1416,8,0.564972
year,2013,Wanliu,7344,21,0.285948
year,2014,Wanliu,8760,93,1.061644
year,2015,Wanliu,1416,7,0.49435
year,2013,Wanshouxigong,7344,41,0.558279
year,2014,Wanshouxigong,8760,209,2.385845
year,2015,Wanshouxigong,1416,7,0.49435
