scope,station,variable,n_observed,median,p25,p75,iqr,mean,std
pooled_training,ALL,PM2.5,205989,61.0,23.0,119.0,96.0,83.996758,79.045565
pooled_training,ALL,PM10,207016,91.0,40.0,155.0,115.0,110.564694,90.552703
pooled_training,ALL,SO2,204833,11.0,4.0,28.0,24.0,21.331242,26.347224
pooled_training,ALL,NO2,202845,48.0,26.0,76.0,50.0,54.179178,35.645278
pooled_training,ALL,CO,193849,1000.0,500.0,1700.0,1200.0,1273.952112,1081.710144
pooled_training,ALL,O3,202046,42.0,10.0,80.0,70.0,55.616351,56.256922
pooled_training,ALL,TEMP,210064,14.4,3.2,23.0,19.8,13.555116,11.276216
pooled_training,ALL,PRES,210063,1010.0,1001.8,1018.0,16.2,1010.144352,10.221855
pooled_training,ALL,DEWP,210059,2.7,-9.2,15.6,24.8,2.552976,13.916708
pooled_training,ALL,RAIN,210069,0.0,0.0,0.0,0.0,0.0531,0.724491
pooled_training,ALL,WSPM,210063,1.3,0.8,2.1,1.3,1.635595,1.245604
station_training,Aotizhongxin,PM2.5,16990,66.0,26.0,122.0,96.0,86.998623,79.238703
station_training,Aotizhongxin,PM10,17016,98.0,45.0,165.0,120.0,117.866767,94.65203
station_training,Aotizhongxin,SO2,16838,13.0,5.0,30.0,25.0,23.404255,27.538968
station_training,Aotizhongxin,NO2,16848,60.0,37.0,85.049875,48.049875,63.714516,35.929074
station_training,Aotizhongxin,CO,16062,900.0,500.0,1600.0,1100.0,1237.636533,1068.001955
station_training,Aotizhongxin,O3,16333,32.0,2.0,72.0,70.0,48.057842,53.635124
station_training,Aotizhongxin,TEMP,17518,14.3,3.2,22.8,19.6,13.454356,11.195151
station_training,Aotizhongxin,PRES,17518,1010.6,1002.3,1018.8,16.5,1010.738361,10.169286
station_training,Aotizhongxin,DEWP,17518,4.0,-8.0,16.6,24.6,3.685729,13.74984
station_training,Aotizhongxin,RAIN,17518,0.0,0.0,0.0,0.0,0.058728,0.883547
station_training,Aotizhongxin,WSPM,17518,1.3,0.8,2.0,1.2,1.521949,1.151718
station_training,Changping,PM2.5,17182,53.0,19.0,112.0,93.0,77.546601,75.292005
station_training,Changping,PM10,17303,80.0,37.0,141.0,104.0,100.825111,83.520954
station_training,Changping,SO2,17224,11.0,3.0,29.0,26.0,21.32209,26.004276
station_training,Changping,NO2,17158,37.0,22.0,61.0,39.0,44.461516,29.06802
station_training,Changping,CO,16331,800.0,500.0,1500.0,1000.0,1181.60823,1062.180549
station_training,Changping,O3,17204,47.0,16.0,82.0,66.0,59.930126,55.841819
station_training,Changping,TEMP,17488,14.7,3.8,23.2,19.4,13.833995,11.221961
station_training,Changping,PRES,17488,1007.3,999.1,1015.5,16.4,1007.482422,10.101012
station_training,Changping,DEWP,17488,0.9,-10.8,14.4,25.2,1.231662,13.927674
station_training,Changping,RAIN,17488,0.0,0.0,0.0,0.0,0.046987,0.622592
station_training,Changping,WSPM,17488,1.4,0.9,2.3,1.4,1.787591,1.320639
station_training,Dingling,PM2.5,17151,45.0,15.0,102.0,87.0,70.966154,74.780992
station_training,Dingling,PM10,17145,63.0,26.0,122.0,96.0,86.227262,80.173452
station_training,Dingling,SO2,17106,7.0,3.0,21.0,18.0,15.283074,19.141002
station_training,Dingling,NO2,16611,20.9406,10.0,40.0,30.0,29.274435,26.863891
station_training,Dingling,CO,15898,700.0,300.0,1200.0,900.0,904.782048,798.079606
station_training,Dingling,O3,16944,58.0,29.0,88.0,59.0,66.966646,53.661623
station_training,Dingling,TEMP,17488,14.7,3.8,23.2,19.4,13.833995,11.221961
station_training,Dingling,PRES,17488,1007.3,999.1,1015.5,16.4,1007.482422,10.101012
station_training,Dingling,DEWP,17488,0.9,-10.8,14.4,25.2,1.231662,13.927674
station_training,Dingling,RAIN,17488,0.0,0.0,0.0,0.0,0.046987,0.622592
station_training,Dingling,WSPM,17488,1.4,0.9,2.3,1.4,1.787591,1.320639
station_training,Dongsi,PM2.5,17260,66.0,25.0,126.0,101.0,88.659606,82.760644
station_training,Dongsi,PM10,17349,94.0,40.0,156.0,116.0,112.396599,92.651507
station_training,Dongsi,SO2,17245,14.0,6.0,33.0,27.0,24.638602,27.342793
station_training,Dongsi,NO2,16323,52.0,30.0,77.0,47.0,56.828019,34.33318
station_training,Dongsi,CO,14740,1100.0,600.0,1800.0,1200.0,1396.66981,1106.220145
station_training,Dongsi,O3,17262,43.0,13.0,81.0,68.0,57.542,61.902063
station_training,Dongsi,TEMP,17518,14.4,3.025,23.2,20.175,13.62816,11.316984
station_training,Dongsi,PRES,17518,1012.0,1003.8,1020.0,16.2,1012.139679,9.991667
