station,category,count,pct_of_hours
Aotizhongxin,E,921,5.256849
Aotizhongxin,ENE,1992,11.369863
Aotizhongxin,ESE,523,2.98516
Aotizhongxin,N,1296,7.39726
Aotizhongxin,NE,2990,17.06621
Aotizhongxin,NNE,1496,8.538813
Aotizhongxin,NNW,758,4.326484
Aotizhongxin,NW,515,2.939498
Aotizhongxin,S,584,3.333333
Aotizhongxin,SE,415,2.368721
Aotizhongxin,SSE,400,2.283105
Aotizhongxin,SSW,1135,6.478311
Aotizhongxin,SW,1895,10.81621
Aotizhongxin,W,742,4.23516
Aotizhongxin,WNW,468,2.671233
Aotizhongxin,WSW,1385,7.905251
Aotizhongxin,MISSING,5,0.028539
Changping,E,1464,8.356164
Changping,ENE,690,3.938356
Changping,ESE,1517,8.658676
Changping,N,1961,11.192922
Changping,NE,821,4.686073
Changping,NNE,1001,5.71347
Changping,NNW,2398,13.687215
Changping,NW,1785,10.188356
Changping,S,812,4.634703
Changping,SE,886,5.057078
Changping,SSE,829,4.731735
Changping,SSW,618,3.527397
Changping,SW,417,2.380137
Changping,W,670,3.824201
Changping,WNW,1305,7.44863
Changping,WSW,309,1.763699
Changping,MISSING,37,0.211187
Dingling,E,1464,8.356164
Dingling,ENE,690,3.938356
Dingling,ESE,1517,8.658676
Dingling,N,1961,11.192922
Dingling,NE,821,4.686073
Dingling,NNE,1001,5.71347
Dingling,NNW,2398,13.687215
Dingling,NW,1785,10.188356
Dingling,S,812,4.634703
Dingling,SE,886,5.057078
Dingling,SSE,829,4.731735
Dingling,SSW,618,3.527397
Dingling,SW,417,2.380137
Dingling,W,670,3.824201
Dingling,WNW,1305,7.44863
Dingling,WSW,309,1.763699
Dingling,MISSING,37,0.211187
Dongsi,E,1877,10.71347
Dongsi,ENE,1903,10.861872
Dongsi,ESE,1512,8.630137
Dongsi,N,1095,6.25
Dongsi,NE,1390,7.93379
Dongsi,NNE,979,5.5879
Dongsi,NNW,862,4.920091
Dongsi,NW,1121,6.398402
Dongsi,S,827,4.72032
Dongsi,SE,954,5.445205
Dongsi,SSE,780,4.452055
Dongsi,SSW,990,5.650685
Dongsi,SW,1017,5.804795
Dongsi,W,555,3.167808
Dongsi,WNW,714,4.075342
Dongsi,WSW,942,5.376712
Dongsi,MISSING,2,0.011416
Guanyuan,E,921,5.256849
Guanyuan,ENE,1992,11.369863
Guanyuan,ESE,523,2.98516
Guanyuan,N,1296,7.39726
Guanyuan,NE,2990,17.06621
Guanyuan,NNE,1496,8.538813
Guanyuan,NNW,758,4.326484
Guanyuan,NW,515,2.939498
Guanyuan,S,584,3.333333
Guanyuan,SE,415,2.368721
Guanyuan,SSE,400,2.283105
Guanyuan,SSW,1135,6.478311
Guanyuan,SW,1895,10.81621
Guanyuan,W,742,4.23516
Guanyuan,WNW,468,2.671233
Guanyuan,WSW,1385,7.905251
Guanyuan,MISSING,5,0.028539
Gucheng,E,983,5.610731
Gucheng,ENE,933,5.325342
Gucheng,ESE,870,4.965753
Gucheng,N,2455,14.012557
Gucheng,NE,1248,7.123288
Gucheng,NNE,1012,5.776256
Gucheng,NNW,556,3.173516
Gucheng,NW,528,3.013699
Gucheng,S,1044,5.958904
Gucheng,SE,797,4.549087
Gucheng,SSE,915,5.222603
Gucheng,SSW,971,5.542237
Gucheng,SW,1041,5.941781
Gucheng,W,1850,10.559361
Gucheng,WNW,1116,6.369863
