model,concentration_band,n,mean_actual_pm25,mae,rmse,mean_residual,median_residual,underprediction_percent
M0,le_p25,2212,15.510397830018084,57.489602169981914,57.8870142564793,-57.489602169981914,-58.0,0.0
M0,p25_p50,2193,50.651618787049706,22.348381212950297,25.60154535349388,-22.348381212950297,-22.0,0.0
M0,p50_p75,2238,101.66353887399464,28.66353887399464,33.99616889523248,28.66353887399464,27.0,100.0
M0,p75_p90,1160,171.88189655172414,98.88189655172414,101.66984685058146,98.88189655172414,95.0,100.0
M0,p90_p95,346,249.3815028901734,176.3815028901734,177.20191937790594,176.3815028901734,175.5,100.0
M0,gt_p95,512,366.990234375,293.990234375,302.22608013807314,293.990234375,275.0,100.0
M1,le_p25,2212,15.510397830018084,45.444323300884804,55.58527255928909,-28.373515345711326,-31.34058048834845,22.920433996383363
M1,p25_p50,2193,50.651618787049706,45.39836635385905,55.16413039572353,-33.36204642537444,-35.365571542103226,17.783857729138166
M1,p50_p75,2238,101.66353887399464,33.56607984138293,42.607090016277255,-14.229543647843874,-14.020872138267563,36.86327077747989
M1,p75_p90,1160,171.88189655172414,42.82023786153484,52.02983564332878,30.325662089926276,32.90908201356321,75.51724137931035
M1,p90_p95,346,249.3815028901734,97.16882603509008,103.08417961585951,96.96352535553349,95.25690399991002,99.42196531791907
M1,gt_p95,512,366.990234375,194.6764432615238,206.80621224867974,194.6764432615238,180.71154048202948,100.0
M2,le_p25,2212,15.510397830018084,32.17089972095719,46.56649883083929,-31.428157125987155,-20.316498316498325,8.408679927667269
M2,p25_p50,2193,50.651618787049706,40.18656314641451,55.73636039060468,-33.74360452743068,-26.97560975609754,20.018239854081166
M2,p50_p75,2238,101.66353887399464,40.553435771517364,57.644745097271084,-11.173594045318627,-5.344062611954698,46.20196604110813
M2,p75_p90,1160,171.88189655172414,63.945447890264326,79.63145006489455,27.933247256445195,38.75395033860045,73.53448275862068
M2,p90_p95,346,249.3815028901734,102.71178075078403,117.28398422058292,89.52335983460887,105.61983231215738,86.1271676300578
M2,gt_p95,512,366.990234375,164.26020627981256,188.7335055183601,157.8388270730818,154.13717948717948,94.7265625
M3,le_p25,2212,15.510397830018084,33.333055595002484,45.84603238328803,-33.07898166747261,-23.457216817644596,4.06871609403255
M3,p25_p50,2193,50.651618787049706,39.03775405711116,51.16966557708458,-34.73952801763969,-33.2875916559603,15.914272685818514
M3,p50_p75,2238,101.66353887399464,34.37287829251132,49.85896900601353,-9.245913047146352,-4.629570505127219,44.995531724754244
M3,p75_p90,1160,171.88189655172414,59.59654475596165,71.97539686522218,30.503359336890345,40.95034402615212,77.84482758620689
M3,p90_p95,346,249.3815028901734,94.17375686196738,107.50117939421385,87.2366906530873,101.68598918435102,90.7514450867052
M3,gt_p95,512,366.990234375,160.89739197606696,181.2151138259311,155.93859641114796,154.78727523663494,96.2890625
