model,hour,n,mae,rmse,mean_residual,median_residual
M0,0,358,71.81843575418995,111.06491885882471,38.712290502793294,5.0
M0,1,362,72.91160220994475,113.2685412236744,39.12707182320442,6.0
M0,2,360,71.48055555555555,108.31429319859457,38.391666666666666,11.0
M0,3,361,70.3157894736842,105.65655435998458,36.75346260387812,10.0
M0,4,361,68.16897506925208,101.99607564011166,33.5595567867036,10.0
M0,5,361,64.99722991689751,94.89101490205104,28.814404432132964,7.0
M0,6,362,64.0303867403315,93.12788984725958,25.870165745856355,8.0
M0,7,361,61.62049861495845,88.57413127602177,23.077562326869806,6.0
M0,8,361,61.89750692520776,87.73273756698369,23.07202216066482,7.0
M0,9,362,62.6767955801105,88.2598029551367,23.096685082872927,5.0
M0,10,361,61.70637119113574,87.47697758066519,19.59556786703601,-6.0
M0,11,360,61.98888888888889,88.24284673558532,16.72222222222222,-9.5
M0,12,362,62.71546961325967,89.20887711941047,15.052486187845304,-12.5
M0,13,363,61.24242424242424,87.11268469465709,13.292011019283747,-12.0
M0,14,361,61.0803324099723,86.369719994081,12.138504155124654,-14.0
M0,15,361,62.18005540166205,88.34857618619229,11.570637119113574,-18.0
M0,16,354,62.80225988700565,90.23995006409645,11.005649717514125,-19.5
M0,17,357,62.72829131652661,90.1304066121885,12.801120448179272,-17.0
M0,18,363,64.13223140495867,91.97936647286342,17.140495867768596,-15.0
M0,19,361,64.62603878116343,96.43262973476523,21.52908587257618,-12.0
M0,20,362,67.79005524861878,104.23634428361952,28.96132596685083,-7.5
M0,21,362,67.51933701657458,104.269810444662,32.09944751381215,-2.5
M0,22,362,69.0828729281768,106.20346884909226,34.29834254143646,0.0
M0,23,363,70.46280991735537,108.74399384953225,36.650137741046834,4.0
M1,0,358,61.1769627284851,84.00214978703997,-3.9900135991854517,-24.109897904930214
M1,1,362,62.426064213713744,86.20501649662441,-3.4554614317958143,-26.18445649944806
M1,2,360,58.553504461444696,81.60112748617016,-1.275109636226504,-20.71398082773385
M1,3,361,58.65781606050383,81.09960351378331,-0.8204764362159572,-20.586960455686494
M1,4,361,56.8484186196121,79.22850429808787,-0.14574928434190118,-19.128592577701056
M1,5,361,53.75300976479368,73.5331272214368,-0.8542754671624169,-15.80357028929621
M1,6,362,52.0235871053865,72.58338561806953,0.357425412976704,-13.491922942626616
M1,7,361,49.960095274011465,68.13503285486934,-1.328065719043526,-15.158582420811861
M1,8,361,48.96195361859689,66.31395578590588,-0.3225364318075951,-11.580030338669516
M1,9,362,48.992255224696585,66.8099670929095,2.1302427007713804,-9.748967839491343
