model,season,n,mae,rmse,mean_residual,median_residual
M0,Winter,2122,92.87181903864278,133.71323430841736,49.76531573986805,13.0
M0,Spring,2202,53.51044504995458,74.92760053834735,19.63669391462307,4.0
M0,Summer,2173,42.66635987114588,53.4151743979134,-2.3138518177634606,-14.0
M0,Autumn,2164,73.45748613678373,106.52402035749422,32.53789279112754,3.0
M1,Winter,2122,67.71747206947101,98.37693354344051,17.43849271276064,-9.391218381783787
M1,Spring,2202,48.75342692031847,62.5554384592619,2.5619061343272587,-3.2650772903464294
M1,Summer,2173,38.245969034099204,47.1632624501922,-12.11504026789611,-18.683265901725918
M1,Autumn,2164,57.30525110764813,75.38613793772315,-7.250107224738168,-24.226162233768957
M2,Winter,2122,66.23882325840633,102.06440259357205,19.129814882843895,-1.0
M2,Spring,2202,44.2642780460485,62.62532770422437,-3.91764863781101,-9.226833229045624
M2,Summer,2173,38.5669264028428,47.92034158959472,-15.127556334590366,-19.55922215674721
M2,Autumn,2164,56.39155242242495,79.47216039027792,-10.826621048504263,-15.308249158249163
M3,Winter,2122,62.73809642594057,96.67379434136596,17.82352501255564,-3.3269888157460077
M3,Spring,2202,39.62399035758149,55.5163335024297,-0.9845639063751522,-8.303540307496915
M3,Summer,2173,38.01382401360794,46.62272341079021,-15.57846393388954,-21.315445650105534
M3,Autumn,2164,54.24135155273693,72.69014315036605,-12.218114999002347,-20.89741536522122
