model,cbwd,n,mae,rmse,mean_residual,median_residual
M0,NE,993,67.05337361530715,97.03110453214005,17.26283987915408,-14.0
M0,NW,2426,69.06966199505358,95.71842938875267,0.6607584501236603,-43.0
M0,SE,3186,55.09290646578782,82.494858977332,29.303201506591336,10.0
M0,cv,2056,76.31663424124514,116.28059824916141,49.66974708171206,18.0
M1,NE,993,52.5176710318019,73.96932846536615,5.628505300099552,-9.3065697122438
M1,NW,2426,53.68262920311339,75.6763901168826,4.134531386917002,-13.662193357767146
M1,SE,3186,46.847349033555666,62.53750261520575,-4.455723646500231,-14.422134973744733
M1,cv,2056,61.541252974594435,83.97471495896198,-0.38568047768225144,-18.70276269712258
M2,NE,993,51.890339194859585,73.67877813044045,-8.766589436525617,-15.90625
M2,NW,2426,46.90640214507908,75.50848930559111,1.274088498678575,-6.891566265060241
M2,SE,3186,48.983977909478256,70.18776796675543,-5.763179849293738,-13.015402503831023
M2,cv,2056,59.57246190816486,83.92417801823122,-0.17432265105429037,-11.044117647058819
M3,NE,993,49.8278754454928,69.2624020957711,-9.553482615919851,-18.202988323184808
M3,NW,2426,43.09581113914346,69.04583381488415,1.0556635342363727,-8.588409663711829
M3,SE,3186,45.90409110599556,63.988870728831834,-5.082500734598569,-13.813186739497908
M3,cv,2056,58.40692573944302,80.73608116540626,-0.739336958850219,-13.887410803997327
