rank,No,timestamp,actual_pm25,m3_prediction,residual,absolute_error,season,hour,concentration_band,cbwd
1,37437,2014-04-09 20:00:00,580.0,75.25596412342188,504.7440358765781,504.7440358765781,Spring,20,gt_p95,SE
2,35426,2014-01-16 01:00:00,659.0,167.29221558835042,491.7077844116496,491.7077844116496,Winter,1,gt_p95,cv
3,36423,2014-02-26 14:00:00,542.0,65.79156731777437,476.20843268222563,476.20843268222563,Winter,14,gt_p95,NW
4,35427,2014-01-16 02:00:00,648.0,176.93093748869717,471.06906251130283,471.06906251130283,Winter,2,gt_p95,cv
5,36425,2014-02-26 16:00:00,525.0,78.81776818868309,446.1822318113169,446.1822318113169,Winter,16,gt_p95,NW
6,35428,2014-01-16 03:00:00,651.0,206.9428649972767,444.05713500272327,444.05713500272327,Winter,3,gt_p95,cv
7,36146,2014-02-15 01:00:00,649.0,209.53509357992462,439.4649064200754,439.4649064200754,Winter,1,gt_p95,cv
8,35425,2014-01-16 00:00:00,569.0,147.55364397152314,421.4463560284769,421.4463560284769,Winter,0,gt_p95,SE
9,35424,2014-01-15 23:00:00,567.0,156.2055735408244,410.7944264591756,410.7944264591756,Winter,23,gt_p95,cv
10,36426,2014-02-26 17:00:00,446.0,55.1336965768682,390.8663034231318,390.8663034231318,Winter,17,gt_p95,NW
11,35423,2014-01-15 22:00:00,539.0,148.74580063177663,390.25419936822334,390.25419936822334,Winter,22,gt_p95,SE
12,35429,2014-01-16 04:00:00,671.0,291.76520915391046,379.23479084608954,379.23479084608954,Winter,4,gt_p95,NE
13,35421,2014-01-15 20:00:00,489.0,112.17067499993985,376.8293250000602,376.8293250000602,Winter,20,gt_p95,cv
14,35786,2014-01-31 01:00:00,469.0,92.21602061802942,376.7839793819706,376.7839793819706,Winter,1,gt_p95,SE
15,36145,2014-02-15 00:00:00,579.0,213.21073666554082,365.7892633344592,365.7892633344592,Winter,0,gt_p95,NW
16,36430,2014-02-26 21:00:00,58.0,422.1836800826305,-364.1836800826305,364.1836800826305,Winter,21,p25_p50,NE
17,35422,2014-01-15 21:00:00,513.0,149.19064343213574,363.80935656786426,363.80935656786426,Winter,21,gt_p95,cv
18,35470,2014-01-17 21:00:00,384.0,21.188890986381203,362.8111090136188,362.8111090136188,Winter,21,gt_p95,NW
19,35471,2014-01-17 22:00:00,381.0,19.80282379755737,361.1971762024426,361.1971762024426,Winter,22,gt_p95,NW
20,35420,2014-01-15 19:00:00,435.0,82.83668821007923,352.1633117899208,352.1633117899208,Winter,19,gt_p95,SE
21,42984,2014-11-26 23:00:00,522.0,177.97452098316285,344.02547901683715,344.02547901683715,Autumn,23,gt_p95,cv
22,35437,2014-01-16 12:00:00,457.0,116.12020653627475,340.87979346372526,340.87979346372526,Winter,12,gt_p95,NE
23,35436,2014-01-16 11:00:00,476.0,143.35094760408984,332.6490523959102,332.6490523959102,Winter,11,gt_p95,NE
24,36408,2014-02-25 23:00:00,577.0,255.6301773093257,321.3698226906743,321.3698226906743,Winter,23,gt_p95,cv
25,36287,2014-02-20 22:00:00,448.0,126.66959352065685,321.33040647934314,321.33040647934314,Winter,22,gt_p95,cv
