model,lag_hours,n_pairs,pearson_r,matching
M0,1,8625,0.9721883186197712,exact_timestamp
M0,6,8582,0.7851364836578479,exact_timestamp
M0,12,8556,0.6140374583210898,exact_timestamp
M0,24,8542,0.4387921857963712,exact_timestamp
M0,48,8519,0.13911875049653816,exact_timestamp
M0,168,8394,0.0755923231014412,exact_timestamp
M1,1,8625,0.9415453768288671,exact_timestamp
M1,6,8582,0.6988305541999926,exact_timestamp
M1,12,8556,0.5302561113050429,exact_timestamp
M1,24,8542,0.4324237828532346,exact_timestamp
M1,48,8519,0.22172861160937182,exact_timestamp
M1,168,8394,0.08871872384823849,exact_timestamp
M2,1,8625,0.8451547514438632,exact_timestamp
M2,6,8582,0.5181561743412316,exact_timestamp
M2,12,8556,0.3805810293680968,exact_timestamp
M2,24,8542,0.3206315409810369,exact_timestamp
M2,48,8519,0.20683571643659662,exact_timestamp
M2,168,8394,0.09382509978477706,exact_timestamp
M3,1,8625,0.903292435945437,exact_timestamp
M3,6,8582,0.5915952488372921,exact_timestamp
M3,12,8556,0.4382658074786707,exact_timestamp
M3,24,8542,0.344170197256534,exact_timestamp
M3,48,8519,0.19262336313500938,exact_timestamp
M3,168,8394,0.10319894200888755,exact_timestamp
