episode_id,start_timestamp,end_timestamp,duration_hours,n_scored_hours,mean_actual_pm25,max_actual_pm25,m0_mae,m1_mae,m2_mae,m3_mae,m0_mean_residual,m1_mean_residual,m2_mean_residual,m3_mean_residual
1,2014-01-13 22:00:00,2014-01-13 23:00:00,2,2,293.0,299.0,220.0,180.54375391812528,197.53125,207.5506996053827,220.0,180.54375391812528,197.53125,207.5506996053827
2,2014-01-15 19:00:00,2014-01-16 13:00:00,19,19,537.8947368421053,671.0,464.89473684210526,368.9492427683241,368.2013534017213,349.5294630665942,464.89473684210526,368.9492427683241,368.2013534017213,349.5294630665942
3,2014-01-16 15:00:00,2014-01-17 02:00:00,12,12,340.0,437.0,267.0,157.16705570065264,158.44225437010246,160.63303328233647,267.0,157.16705570065264,158.44225437010246,160.63303328233647
4,2014-01-17 20:00:00,2014-01-17 23:00:00,4,4,338.5,384.0,265.5,291.77116551530276,319.83247422680415,318.4301993172297,265.5,291.77116551530276,319.83247422680415,318.4301993172297
5,2014-01-23 00:00:00,2014-01-23 06:00:00,7,7,336.42857142857144,366.0,263.42857142857144,189.39815386771002,170.9789638932496,199.56653378265005,263.42857142857144,189.39815386771002,170.9789638932496,199.56653378265005
6,2014-01-23 11:00:00,2014-01-23 11:00:00,1,1,311.0,311.0,238.0,181.29512987148837,185.65934065934064,233.03707711153623,238.0,181.29512987148837,185.65934065934064,233.03707711153623
7,2014-01-23 18:00:00,2014-01-24 03:00:00,10,10,311.0,335.0,238.0,131.40892328165575,159.96395639965144,129.7024916334042,238.0,131.40892328165575,159.96395639965144,129.7024916334042
8,2014-01-31 01:00:00,2014-01-31 02:00:00,2,2,406.5,469.0,333.5,206.67163420223687,315.8333333333333,314.99856359496613,333.5,206.67163420223687,315.8333333333333,314.99856359496613
9,2014-02-14 16:00:00,2014-02-15 08:00:00,17,17,401.1764705882353,649.0,328.1764705882353,244.1163122599451,201.8995406053805,201.01166595808357,328.1764705882353,244.1163122599451,201.8995406053805,201.01166595808357
10,2014-02-15 13:00:00,2014-02-16 09:00:00,21,21,359.9047619047619,423.0,286.9047619047619,205.5075368575116,189.74048386963818,179.53229641793237,286.9047619047619,205.5075368575116,189.74048386963818,179.53229641793237
11,2014-02-20 16:00:00,2014-02-21 09:00:00,18,18,368.1111111111111,448.0,295.1111111111111,200.30630471664247,233.79187734779842,238.3441860567103,295.1111111111111,200.30630471664247,233.79187734779842,238.3441860567103
12,2014-02-21 13:00:00,2014-02-23 00:00:00,36,36,335.8611111111111,399.0,262.8611111111111,176.3494760762659,146.39704415954415,132.99319587009757,262.8611111111111,176.3494760762659,104.44832621082622,101.37899968852041
13,2014-02-23 14:00:00,2014-02-26 17:00:00,76,76,417.75,577.0,344.75,245.76372687857364,179.9733930339617,175.20878019922938,344.75,245.76372687857364,160.2669153011682,157.18127349757305
