regime,horizon,candidate_id,learning_rate,num_leaves,min_child_samples,n_estimators,macro_station_mae,macro_station_rmse,micro_mae,micro_rmse,selected
R0,1,B3_C01,0.03,31,50,400,32.197135,52.639548,32.19919,52.791377,false
R0,1,B3_C02,0.03,31,200,400,32.043781,52.447336,32.045657,52.595354,false
R0,1,B3_C03,0.03,63,50,400,31.951415,52.1023,31.953086,52.241793,true
R0,1,B3_C04,0.03,63,200,400,32.003407,52.253641,32.005118,52.395437,false
R0,1,B3_C05,0.07,31,50,400,32.335732,52.046446,32.336782,52.165624,false
R0,1,B3_C06,0.07,31,200,400,32.22442,51.998553,32.225411,52.129994,false
R0,1,B3_C07,0.07,63,50,400,32.273104,52.185571,32.274329,52.31024,false
R0,1,B3_C08,0.07,63,200,400,32.489267,52.278545,32.490378,52.378382,false
R0,6,B3_C01,0.03,31,50,400,36.27599,58.084274,36.278623,58.295524,false
R0,6,B3_C02,0.03,31,200,400,36.311426,58.246508,36.31388,58.453428,false
R0,6,B3_C03,0.03,63,50,400,36.447733,58.32906,36.449906,58.533069,false
R0,6,B3_C04,0.03,63,200,400,36.117432,57.980922,36.119572,58.175012,true
R0,6,B3_C05,0.07,31,50,400,36.575142,58.15862,36.577401,58.354774,false
R0,6,B3_C06,0.07,31,200,400,36.510988,58.041109,36.513153,58.227298,false
R0,6,B3_C07,0.07,63,50,400,36.906991,58.619586,36.909919,58.825844,false
R0,6,B3_C08,0.07,63,200,400,36.959487,58.387178,36.962125,58.585511,false
R0,12,B3_C01,0.03,31,50,400,42.944235,66.788753,42.947843,67.06125,false
R0,12,B3_C02,0.03,31,200,400,42.86251,66.61278,42.865937,66.85412,false
R0,12,B3_C03,0.03,63,50,400,42.846422,66.516598,42.849576,66.765501,true
R0,12,B3_C04,0.03,63,200,400,43.163246,67.138096,43.16671,67.388253,false
R0,12,B3_C05,0.07,31,50,400,44.257797,68.094864,44.261555,68.339557,false
R0,12,B3_C06,0.07,31,200,400,44.377905,68.660211,44.381434,68.897562,false
R0,12,B3_C07,0.07,63,50,400,44.300253,68.076897,44.302895,68.292712,false
R0,12,B3_C08,0.07,63,200,400,44.460394,68.157653,44.463368,68.390211,false
R0,24,B3_C01,0.03,31,50,400,51.747087,77.339631,51.753051,77.618666,false
R0,24,B3_C02,0.03,31,200,400,51.577856,76.662943,51.58416,76.930619,true
R0,24,B3_C03,0.03,63,50,400,52.185793,77.540554,52.191456,77.800471,false
R0,24,B3_C04,0.03,63,200,400,52.163416,77.574389,52.169088,77.848228,false
R0,24,B3_C05,0.07,31,50,400,52.663542,76.983905,52.668841,77.228055,false
R0,24,B3_C06,0.07,31,200,400,53.157739,77.769985,53.162927,78.020465,false
R0,24,B3_C07,0.07,63,50,400,53.643164,78.687515,53.649038,78.940585,false
R0,24,B3_C08,0.07,63,200,400,53.047623,77.792112,53.053085,78.054086,false
R1,1,B3_C01,0.03,31,50,400,9.302098,19.243737,9.30116,19.318112,false
R1,1,B3_C02,0.03,31,200,400,9.359826,19.582445,9.358985,19.667786,false
R1,1,B3_C03,0.03,63,50,400,9.247315,19.067116,9.24646,19.14471,false
R1,1,B3_C04,0.03,63,200,400,9.296367,19.388652,9.295562,19.474607,false
R1,1,B3_C05,0.07,31,50,400,9.258701,19.061707,9.257796,19.13647,false
R1,1,B3_C06,0.07,31,200,400,9.293345,19.359794,9.292528,19.445172,false
R1,1,B3_C07,0.07,63,50,400,9.24478,18.983072,9.243975,19.059842,true
R1,1,B3_C08,0.07,63,200,400,9.255834,19.193828,9.255022,19.276095,false
R1,6,B3_C01,0.03,31,50,400,26.736387,48.227903,26.738256,48.478289,false
R1,6,B3_C02,0.03,31,200,400,26.713071,48.18176,26.715018,48.426785,true
R1,6,B3_C03,0.03,63,50,400,27.051939,49.053981,27.054065,49.302346,false
R1,6,B3_C04,0.03,63,200,400,26.987373,48.971867,26.989605,49.223901,false
R1,6,B3_C05,0.07,31,50,400,27.12317,48.672208,27.12531,48.928896,false
R1,6,B3_C06,0.07,31,200,400,27.111903,48.842346,27.11421,49.100711,false
R1,6,B3_C07,0.07,63,50,400,27.824759,50.02811,27.8273,50.30127,false
R1,6,B3_C08,0.07,63,200,400,27.797012,49.924366,27.799474,50.196772,false
R1,12,B3_C01,0.03,31,50,400,37.46853,62.267702,37.472392,62.554985,false
R1,12,B3_C02,0.03,31,200,400,37.29794,61.938505,37.301706,62.226959,true
R1,12,B3_C03,0.03,63,50,400,38.084177,63.234618,38.088015,63.542317,false
R1,12,B3_C04,0.03,63,200,400,38.106747,63.413422,38.110533,63.720215,false
R1,12,B3_C05,0.07,31,50,400,38.288236,63.073846,38.291743,63.356731,false
R1,12,B3_C06,0.07,31,200,400,38.749452,63.684892,38.753105,63.963888,false
R1,12,B3_C07,0.07,63,50,400,38.66739,62.836965,38.670829,63.102073,false
R1,12,B3_C08,0.07,63,200,400,39.303219,64.495755,39.306835,64.803634,false
R1,24,B3_C01,0.03,31,50,400,48.711052,75.491623,48.716411,75.807685,false
R1,24,B3_C02,0.03,31,200,400,48.634585,75.672644,48.639627,75.985526,true
R1,24,B3_C03,0.03,63,50,400,49.5502,76.584917,49.555046,76.894036,false
R1,24,B3_C04,0.03,63,200,400,49.588166,76.268944,49.592933,76.572587,false
R1,24,B3_C05,0.07,31,50,400,50.66942,77.429047,50.674459,77.744884,false
R1,24,B3_C06,0.07,31,200,400,50.186478,76.802853,50.191428,77.11379,false
R1,24,B3_C07,0.07,63,50,400,50.584129,76.859315,50.588651,77.132413,false
R1,24,B3_C08,0.07,63,200,400,50.673231,76.693055,50.678068,76.977405,false
R2,1,B3_C01,0.03,31,50,400,9.139709,19.1339,9.138771,19.211383,false
R2,1,B3_C02,0.03,31,200,400,9.18492,19.441121,9.184041,19.529119,false
R2,1,B3_C03,0.03,63,50,400,9.047816,18.843893,9.046923,18.920336,false
R2,1,B3_C04,0.03,63,200,400,9.089887,19.122533,9.089043,19.203707,false
R2,1,B3_C05,0.07,31,50,400,9.051234,18.788736,9.050307,18.862819,false
R2,1,B3_C06,0.07,31,200,400,9.091753,19.135342,9.090886,19.219124,false
