feature,gain
PM2.5_lag0,2836145.5589313507
DEWP_w3_std,86357.00986862183
origin_hour_cos,82718.02521133423
origin_hour_sin,76349.48095703125
WSPM_lag0,60927.920097351074
origin_doy_cos,36893.556312561035
origin_doy_sin,34980.397117614746
target_doy_sin,33493.45337295532
TEMP_lag12,31466.024585723877
WSPM_w3_mean,30643.55014038086
WSPM_w3_max,30539.383907318115
TEMP_w3_std,29814.627658843994
DEWP_lag0,28229.632305145264
TEMP_w24_std,28116.7984085083
PRES_w48_std,24009.944122314453
target_doy_cos,24009.53179550171
PM2.5_w12_min,23462.722759246826
TEMP_w12_std,22519.067195892334
TEMP_w48_std,22104.492218017578
PM2.5_w24_mean,21018.729999542236
DEWP_lag47,18317.198696136475
PM2.5_w3_max,17847.857551574707
wd_is_SW,17231.95696258545
DEWP_w6_std,16139.224494934082
WSPM_w12_max,14926.122619628906
DEWP_w12_std,14900.469158172607
PRES_w12_std,14456.270511627197
DEWP_lag24,14208.129402160645
DEWP_w48_mean,13534.569881439209
TEMP_w6_std,12886.898078918457
PRES_w24_std,12316.104820251465
O3_w6_min,12219.58960723877
TEMP_w48_max,11286.478233337402
TEMP_w24_mean,10937.517944335938
wd_is_NNE,10041.931789398193
origin_month_sin,9865.039310455322
PM2.5_w3_mean,9807.852828979492
PRES_lag47,9774.321071624756
DEWP_w48_min,9342.451873779297
O3_w12_max,9105.806774139404
TEMP_w48_mean,9059.754390716553
TEMP_lag24,8986.156978607178
O3_lag12,8985.598323822021
wd_is_WSW,8944.367740631104
TEMP_lag47,8801.942485809326
wd_is_NW,8757.177993774414
PRES_w6_std,8715.29891204834
wd_is_N,8481.428619384766
DEWP_lag6,8458.28095626831
wd_is_SSW,8329.672061920166
RAIN_lag0,8323.811931610107
O3_w24_std,7891.294376373291
PRES_lag24,7714.926689147949
DEWP_w24_std,7594.622009277344
PRES_lag12,7555.858798980713
station_is_Huairou,7481.38401222229
wd_is_NE,7427.0240478515625
SO2_w24_mean,7381.272029876709
DEWP_w48_std,7215.556938171387
PRES_lag6,7001.889381408691
WSPM_w12_mean,6945.499084472656
wd_is_NNW,6872.380443572998
PM2.5_w48_std,6853.282791137695
PRES_lag0,6817.375358581543
WSPM_w3_std,6707.277969360352
WSPM_w6_mean,6493.752010345459
PM2.5_lag12,6453.209579467773
PM2.5_w48_mean,6414.7917404174805
DEWP_w48_max,6372.786483764648
wd_is_WNW,6361.888153076172
PM2.5_w48_max,6151.109622955322
O3_lag24,6133.673286437988
PM10_w3_std,6118.502670288086
O3_w3_min,6075.465789794922
WSPM_w12_std,5885.133716583252
PM10_w24_min,5883.074680328369
PRES_w3_std,5841.281679153442
PRES_w48_min,5798.977970123291
target_month_sin,5745.749397277832
DEWP_w24_min,5668.5078125
WSPM_w6_max,5662.276527404785
NO2_w12_min,5608.12707901001
TEMP_w48_min,5585.069408416748
TEMP_w12_min,5539.423198699951
target_month_cos,5529.334403991699
PM2.5_lag24,5416.41418838501
NO2_w48_mean,5333.615936279297
TEMP_w24_max,5333.364093780518
PRES_w24_min,5155.577724456787
NO2_w24_min,4937.270530700684
PRES_w48_mean,4666.493293762207
PM2.5_w24_min,4649.035289764404
DEWP_lag12,4637.415004730225
PRES_w48_max,4500.208084106445
CO_w6_std,4489.344043731689
wd_is_S,4436.919803619385
TEMP_w12_max,4436.627304077148
PM10_w6_std,4431.109306335449
CO_lag1,4412.785606384277
PM10_w48_max,4384.57967376709
TEMP_w24_min,4354.163619995117
WSPM_w6_std,4309.340438842773
CO_w12_min,4224.723594665527
PM10_w48_std,4196.78617477417
O3_w48_mean,4117.632099151611
PM2.5_lag47,4085.675983428955
O3_lag2,4025.884780883789
CO_w3_std,4012.304542541504
station_is_Dingling,4005.339511871338
TEMP_w6_max,3950.1315574645996
SO2_w24_std,3926.12748336792
PM2.5_w3_min,3924.8186569213867
TEMP_w3_max,3837.9250869750977
TEMP_lag0,3783.0304794311523
DEWP_lag3,3748.32861328125
O3_w48_std,3722.8271980285645
DEWP_w24_max,3650.2075805664062
DEWP_w24_mean,3621.5454902648926
O3_w24_mean,3578.830223083496
TEMP_w3_min,3510.9016342163086
O3_w3_max,3450.404872894287
PM2.5_w6_mean,3444.1714973449707
PM10_w48_mean,3422.28800201416
PM10_lag1,3414.8850116729736
O3_lag47,3355.4073028564453
CO_w12_std,3347.816879272461
