feature,importance,rank
DEWP,0.2906040054088039,1
TEMP,0.1576067943687284,2
PRES,0.10818827457934335,4
Iws,0.12022700472427506,3
Is,0.0034327081353269233,21
Ir,0.005596167717450706,17
month_2,0.01983726797593277,8
month_3,0.02917666555478052,7
month_4,0.01968761814390537,9
month_5,0.00573162154737819,15
month_6,0.0035017218016236283,20
month_7,0.008376338231844917,13
month_8,0.00801193713397111,14
month_9,0.004510393769982734,18
month_10,0.0788921021442912,5
month_11,0.016006053461187424,10
month_12,0.013576068327738833,11
hour_1,0.00564813024365966,16
hour_2,0.002879169835589066,22
hour_3,0.0020388922778922965,27
hour_4,0.001989495769953442,28
hour_5,0.0012077867362231486,38
hour_6,0.0013083232558602277,37
hour_7,0.0014905657903812623,34
hour_8,0.001876845363941025,30
hour_9,0.0017504029913496715,31
hour_10,0.0020838590122927237,25
hour_11,0.0018836478659154862,29
hour_12,0.0013663313503039093,35
hour_13,0.0010933513783191954,39
hour_14,0.0010277091827641128,40
hour_15,0.0009338037205798591,42
hour_16,0.0007621392575943056,43
hour_17,0.0009960702681935988,41
hour_18,0.0013311194281302539,36
hour_19,0.0015857663257925411,33
hour_20,0.0017297259723570982,32
hour_21,0.0020754685621107963,26
hour_22,0.0026860799799503852,23
hour_23,0.0024376741047218782,24
cbwd_NW,0.05202714780651123,6
cbwd_SE,0.009269714678286516,12
cbwd_cv,0.003558035814761239,19
