candidate_id,n_estimators,criterion,bootstrap,max_depth,min_samples_split,min_samples_leaf,max_features,random_state,n_jobs,train_mae,train_rmse,train_r2,validation_mae,validation_rmse,validation_r2,n_estimators_fitted,min_observed_tree_depth,mean_observed_tree_depth,median_observed_tree_depth,max_observed_tree_depth,min_leaf_count,mean_leaf_count,median_leaf_count,max_leaf_count,min_node_count,mean_node_count,median_node_count,max_node_count,selected
1,100,mse,True,8.0,2,1,auto,42,1,42.242590790607466,60.63430688916482,0.5384218945644011,51.21785786581256,76.27659185462042,0.3949990781253192,100,8,8.0,8.0,8,220,235.84,236.0,249,439,470.68,471.0,497,False
2,100,mse,True,8.0,2,1,0.5,42,1,44.06032413807799,62.30763782945257,0.512593923859058,52.41637763919069,77.97538177473942,0.36775049771391843,100,8,8.0,8.0,8,203,230.54,232.0,250,405,460.08,463.0,499,False
3,100,mse,True,8.0,2,10,auto,42,1,42.81583488773115,61.9759975733621,0.517768676028769,51.060621500570235,75.9928701784225,0.3994914821422647,100,8,8.0,8.0,8,161,176.07,175.5,200,321,351.14,350.0,399,False
4,100,mse,True,8.0,2,10,0.5,42,1,44.601437067058725,63.534097336141414,0.4932169355577217,52.397458537966294,77.93041844071492,0.3684794418654773,100,8,8.0,8.0,8,127,165.41,166.0,191,253,329.82,331.0,381,False
5,100,mse,True,8.0,2,50,auto,42,1,44.47791794397929,64.42227839431145,0.4789486496653256,51.50054013934156,76.86619355907293,0.3856098746934322,100,8,8.0,8.0,8,95,108.19,108.5,119,189,215.38,216.0,237,False
6,100,mse,True,8.0,2,50,0.5,42,1,46.092151576164966,65.70745803514646,0.4579520604111962,52.82556155110684,78.49516594883814,0.3592932484335981,100,8,8.0,8.0,8,78,100.11,100.5,122,155,199.22,200.0,243,False
7,100,mse,True,8.0,2,100,auto,42,1,45.911106228804364,66.37571068896936,0.44687061180476495,52.22957098681489,77.76315917625845,0.3711873526843549,100,8,8.0,8.0,8,68,75.59,75.0,82,135,150.18,149.0,163,False
8,100,mse,True,8.0,2,100,0.5,42,1,47.3137280507976,67.3554000024821,0.4304220024070816,53.51980705176337,79.21755225296077,0.3474462127379645,100,8,8.0,8.0,8,56,70.65,70.0,85,111,140.3,139.0,169,False
9,100,mse,True,12.0,2,1,auto,42,1,32.18185177113941,47.48681416883737,0.7168905058493665,47.938822971054385,73.09058507754023,0.444484279813415,100,12,12.0,12.0,12,1525,1662.43,1662.0,1827,3049,3323.86,3323.0,3653,True
10,100,mse,True,12.0,2,1,0.5,42,1,34.41167020477523,49.5112041982634,0.6922377532872558,49.13756867985155,74.15836868405728,0.428134611624997,100,12,12.0,12.0,12,1278,1571.3,1571.5,1970,2555,3141.6,3142.0,3939,False
