architecture,candidate_id,regime,parameter_count,learning_rate,capacity,internal_macro_station_horizon_MAE,internal_macro_RMSE,micro_MAE,micro_RMSE,training_seconds,inference_seconds
GRU,GRU_C01,R0,24065,0.0003,64,43.95949,64.103961,43.965179,64.46484,389.0,15.9
GRU,GRU_C02,R0,24065,0.001,64,45.575251,66.556604,45.586007,67.02889,375.7,16.2
GRU,GRU_C03,R0,70785,0.0003,128,43.893409,65.266432,43.897842,65.572361,509.2,19.7
GRU,GRU_C04,R0,70785,0.001,128,44.136357,64.943357,44.147052,65.328051,541.7,21.4
TCN,TCN_C01,R0,29345,0.0003,32,43.869896,63.593041,43.876522,64.099002,771.8,8.7
TCN,TCN_C02,R0,29345,0.001,32,44.252491,63.605074,44.2621,64.119085,785.4,7.8
TCN,TCN_C03,R0,99777,0.0003,64,43.159485,63.404547,43.167042,63.863234,1520.8,19.5
TCN,TCN_C04,R0,99777,0.001,64,43.562009,63.951444,43.570679,64.274486,1521.4,19.8
GRU,GRU_C01,R1,24641,0.0003,64,35.381368,52.075891,35.388169,55.228944,313.5,13.0
GRU,GRU_C02,R1,24641,0.001,64,36.112859,53.147083,36.118069,56.404482,313.0,13.0
GRU,GRU_C03,R1,71937,0.0003,128,36.065255,52.785794,36.073569,55.81845,553.5,22.3
GRU,GRU_C04,R1,71937,0.001,128,36.813081,54.876222,36.82047,57.590557,548.9,21.5
TCN,TCN_C01,R1,29729,0.0003,32,35.406831,52.676473,35.412769,56.03648,779.0,8.5
TCN,TCN_C02,R1,29729,0.001,32,34.791306,51.449316,34.797506,54.161423,789.6,8.0
TCN,TCN_C03,R1,100545,0.0003,64,35.53107,52.887432,35.536958,55.912039,1527.9,20.6
TCN,TCN_C04,R1,100545,0.001,64,35.436875,52.646295,35.442805,55.625128,1521.6,19.0
GRU,GRU_C01,R2,27521,0.0003,64,35.349979,51.873782,35.356948,54.94237,336.0,14.4
GRU,GRU_C02,R2,27521,0.001,64,36.800703,55.341816,36.808935,58.390273,349.1,14.8
GRU,GRU_C03,R2,77697,0.0003,128,36.064967,53.329369,36.070978,55.764971,487.9,19.4
GRU,GRU_C04,R2,77697,0.001,128,37.715975,56.764326,37.720917,59.39536,498.2,19.5
TCN,TCN_C01,R2,31649,0.0003,32,35.428419,52.291855,35.434735,55.355717,785.4,9.1
TCN,TCN_C02,R2,31649,0.001,32,35.195246,51.952198,35.200721,54.801875,794.1,9.1
TCN,TCN_C03,R2,104385,0.0003,64,35.667253,52.801731,35.673396,55.527672,1522.7,20.3
TCN,TCN_C04,R2,104385,0.001,64,36.180306,53.109138,36.186747,55.992831,1517.2,20.3
