held_out_station,station_index,training_targets_withheld,validation_samples,severe_samples,loso_macro_over_horizon_MAE,in_training_macro_over_horizon_MAE,absolute_penalty,relative_penalty_pct,loso_severe_MAE,in_training_severe_MAE,severe_penalty,loso_severe_underprediction_pct,training_seconds,inference_seconds,final_epoch_train_L1,prediction_sha256
Aotizhongxin,0,67729,34272,1808,32.921219,32.847999,0.07322,0.2229,116.275318,113.337154,2.938163,88.2743,740.5,15.3,32.52077,125da7acec07b3d1ed61fdfc182d9ccbabffad938f12b27d7b6d1830bedf6f5b
Changping,1,68497,33848,648,27.844478,27.715186,0.129292,0.4665,138.340854,125.47468,12.866174,93.9815,733.7,14.5,32.890949,c1922bd36041eb3238dc7537c87f85cd4dd5c387dbf3952bf497af5313eff81e
Dingling,2,68373,34628,784,27.514252,27.176996,0.337256,1.241,137.744296,124.805611,12.938685,95.2806,736.2,13.8,32.878206,558accdc06b3dd6f9dc2d717b757df50e44defadb5d545e461702a4e4a04f2b1
Dongsi,3,68809,34692,1984,34.042317,34.220528,-0.178211,-0.5208,123.393729,123.94856,-0.554831,88.7601,728.3,14.4,32.380919,235faf12cbf61385728e24cc391b7096a4b0cf4a60a40d310342fbb0bc54b3d6
Guanyuan,4,68561,34720,1636,31.862989,31.586797,0.276191,0.8744,125.294265,120.521191,4.773074,87.5917,733.5,15.0,32.590783,b3f4960340f81c4552725ce2f6097f65943b62582870f95b23ba3f3f387ff43b
Gucheng,5,68569,34452,1844,32.226666,32.359988,-0.133322,-0.412,123.245206,118.804446,4.440761,90.8351,738.2,14.0,32.549518,19b2d792a013831b987fb34bac0fb7f32f926c487bb262213adb8e6282262ace
Huairou,6,67297,34428,1092,27.879056,26.822424,1.056632,3.9394,121.977219,118.711101,3.266119,89.1026,731.7,14.9,32.928958,25ccae27e36daf8316bc5819beb90d6fdbf5b6cf6c51fc6cd59f5587a5e1ab0b
Nongzhanguan,7,68893,34148,1928,33.815715,34.009149,-0.193434,-0.5688,118.53146,117.856302,0.675158,87.1369,733.0,13.9,32.349502,6d0ecd49a6eacbe05b0150bc734745f0390e062993f719d81e19061a37f6f823
Shunyi,8,67965,34672,1780,32.294569,32.257329,0.037239,0.1154,127.350244,125.784056,1.566188,90.4494,727.7,15.2,32.698132,87d411277467b67fea153dfccda0ceb67060dbb216bceb976446d967a6d267dd
Tiantan,9,68305,34524,1724,33.296418,33.248725,0.047693,0.1434,118.733108,123.712624,-4.979516,82.8886,739.0,14.9,32.553319,ba1dd791af62d1c141ad73718aab6c273866010a7a2b3b456d77bc23391f3410
Wanliu,10,69365,34536,1504,30.946678,31.777105,-0.830427,-2.6133,111.040469,111.990587,-0.950119,85.7713,713.7,14.9,32.403889,26ea32311c9c5ff3fac8417d509244ea1ae71edcccf7dad09530e055d0976d5a
Wanshouxigong,11,68821,34228,1904,33.930283,34.370196,-0.439913,-1.2799,135.727806,131.979122,3.748684,89.4433,714.2,15.2,32.312774,914c44c5668f3f2212b64f81ff1722667fee48169c9b113271e082762d80e3cd
