held_out_station,horizon,n,loso_MAE,in_training_MAE
Aotizhongxin,1,8568,18.180434,17.755893
Aotizhongxin,6,8568,28.093924,28.001887
Aotizhongxin,12,8568,37.036206,37.111404
Aotizhongxin,24,8568,48.374314,48.522813
Changping,1,8462,15.525453,14.926086
Changping,6,8462,24.568436,24.091733
Changping,12,8462,31.609104,31.373853
Changping,24,8462,39.674919,40.469072
Dingling,1,8657,14.642714,14.097481
Dingling,6,8657,23.477377,22.954198
Dingling,12,8657,31.401149,31.102726
Dingling,24,8657,40.535768,40.553578
Dongsi,1,8673,18.012343,18.303635
Dongsi,6,8673,29.429574,29.557351
Dongsi,12,8673,38.865329,39.051069
Dongsi,24,8673,49.862021,49.970055
Guanyuan,1,8680,17.915307,16.927295
Guanyuan,6,8680,26.976468,26.927326
Guanyuan,12,8680,35.983676,35.879705
Guanyuan,24,8680,46.576504,46.612863
Gucheng,1,8613,17.648291,17.084817
Gucheng,6,8613,27.883252,28.030871
Gucheng,12,8613,36.188803,36.652359
Gucheng,24,8613,47.186318,47.671906
Huairou,1,8607,16.94575,15.074904
Huairou,6,8607,23.33678,21.966513
Huairou,12,8607,30.84873,29.849653
Huairou,24,8607,40.384963,40.398626
Nongzhanguan,1,8537,18.21418,18.374887
Nongzhanguan,6,8537,29.417501,29.391772
Nongzhanguan,12,8537,38.456523,38.72715
Nongzhanguan,24,8537,49.174655,49.542787
Shunyi,1,8668,18.606171,18.115227
Shunyi,6,8668,27.838602,27.749649
Shunyi,12,8668,36.408682,36.487209
Shunyi,24,8668,46.324819,46.677232
Tiantan,1,8631,18.127787,18.293667
Tiantan,6,8631,28.75084,28.764253
Tiantan,12,8631,38.051634,37.872702
Tiantan,24,8631,48.255411,48.064277
Wanliu,1,8634,16.68767,17.29638
Wanliu,6,8634,26.193234,26.99982
Wanliu,12,8634,34.996811,36.037846
Wanliu,24,8634,45.908996,46.774372
Wanshouxigong,1,8557,19.335793,19.276799
Wanshouxigong,6,8557,29.523379,29.87033
Wanshouxigong,12,8557,38.536591,39.19257
Wanshouxigong,24,8557,48.325367,49.141085
