model,role,seed,source,parameter_count,macro_station_horizon_MAE,micro_MAE,macro_RMSE,micro_RMSE,macro_R2,severe_MAE,severe_RMSE,severe_mean_residual,severe_underprediction_pct,n_negative,min_prediction,training_seconds,inference_seconds,prediction_sha256
GRU_R1,candidate,42,frozen_phase4,,30.912193,30.915224,51.96115,54.958924,0.544183,118.964535,163.65867,116.404274,93.555484,795,-20.560755,,,0770870125dc7c1bdfaf01e63025695a058f70e0417eae0499bd7d8c6172080a
GRU_R1,candidate,43,phase7_refit_rescored,,30.619271,30.622538,51.822607,54.878791,0.54542,112.279108,159.445004,108.834085,90.75982,474,-43.552399,,,ce30bc377fe1df9380f6eb3c75e0416d6e7b80eebf4a68cdea3a751a2d0b32fc
GRU_R1,candidate,44,phase7_refit_rescored,,30.685193,30.688192,51.798546,54.808148,0.546466,119.077182,163.830211,115.974549,92.884739,359,-22.324114,,,af28bee4997adc50ab1735ffb44c1855b5e3f90275604a5b1445e91579a863d7
GRU_R1,candidate,45,phase7_refit_rescored,,30.861997,30.864765,51.801683,54.994347,0.543493,111.641105,158.607555,107.006541,88.983687,1259,-30.69648,,,6c64062ca527fd9d8d2f2062d321a0c8f945ce707c276c88d04e1a9cd6919024
GRU_R1,candidate,46,phase7_refit_rescored,,30.716647,30.719692,51.7271,54.672489,0.549006,117.003071,162.506299,113.240527,90.808113,418,-22.984446,,,080407f95fa61843af96b36305ccf80e563a0a47819f9f80ff31bc10636e07e5
TCN_R1,candidate,42,frozen_phase4,,30.688629,30.691581,53.763204,56.172075,0.526118,152.530079,195.452583,150.732632,95.422838,346,-41.115227,,,10a4c3ccd1c63ada649b117666b89b8d7888032e01ae839d5ef1b82e7b5e1c1c
TCN_R1,candidate,43,phase7_refit_rescored,,30.162691,30.165502,52.386347,55.125486,0.543026,138.193671,184.657293,133.538612,91.478858,169,-31.402067,,,f3c577c7cd797772b241250b7d4ef3d5dcbff7fe242d9444239080999f93b4d5
TCN_R1,candidate,44,phase7_refit_rescored,,30.229067,30.231896,50.827668,54.106818,0.557539,123.102834,168.579401,117.009009,88.618802,202,-30.34244,,,2fcc3073ee9d15635c39338aa33ab2c56032a4cf42bc5593bd44aa04b4cfd6a6
TCN_R1,candidate,45,phase7_refit_rescored,,30.964026,30.966812,52.92956,56.063629,0.526062,136.542839,179.697871,130.868068,91.403735,348,-38.58366,,,ced242a607f79def21602e2eea8b3d1868ab08fa678bdb29bbff3a219331431c
TCN_R1,candidate,46,phase7_refit_rescored,,30.674276,30.677366,53.250417,56.005876,0.528917,138.423972,185.22372,133.376845,91.135437,383,-31.480513,,,01e2afdf44c9ac391cf8a3f05fd3e820368763b1dbc094fffa368a591cfd37d2
SA_R3,candidate,42,frozen_phase6,,31.532702,31.535098,53.908016,56.069455,0.52658,121.270043,170.608797,116.473034,88.044645,4,-0.675721,,,d1d4dcf4ed06437b5215fa97948d94e9c8cb46ffff7c2520fc30646ca22e87a0
SA_R3,candidate,43,phase7_refit_rescored,,31.221119,31.224066,53.910502,55.869359,0.53045,133.672747,177.970985,132.03665,94.816484,601,-7.090073,,,2c708353694085183dac00a02c7d6c3e2ffac807adb0b78abf388ebb971fa738
SA_R3,candidate,44,phase7_refit_rescored,,31.280329,31.283668,55.371369,57.059745,0.511559,144.835781,190.843133,143.065806,94.526722,362,-6.597538,,,168048f9c87a76bf7cce2a5ea37686f53f21c6cf66663dd3ebe14d2df8dd3dd2
SA_R3,candidate,45,phase7_refit_rescored,,31.418567,31.421491,53.598986,55.712248,0.533545,127.884142,174.295393,125.80107,93.61451,275,-3.503005,,,4c5acf54998f623131ff8c6594479266fc0db2f1ab6715f38c81a8dd24af6f74
SA_R3,candidate,46,phase7_refit_rescored,,32.273309,32.276232,57.171502,58.369411,0.488501,156.431747,201.168254,155.363551,96.13651,147,-11.710816,,,5ce9406899a249af780b430c7e5318eb68edf2e0ec738a6275a88c88b2481052
SA_R2,"paired control, not a candidate",42,frozen_phase6,,32.239759,32.242245,56.429526,58.115612,0.49178,142.703386,188.23542,139.711472,92.010088,149,-10.685699,,,37c00a06324270b060c93a9ca97202515ae2397ce0c156ad4aef1bc8cfee2c66
SA_R2,"paired control, not a candidate",43,phase7_refit_rescored,,33.213047,33.216354,57.146666,58.646384,0.484362,163.931138,199.547377,163.682108,98.996566,735,-9.314006,,,94b731fcda37337ee4e0331f20deff8e6742fb290fa910842be0326acb075541
SA_R2,"paired control, not a candidate",44,phase7_refit_rescored,,32.34407,32.347497,56.387593,57.998596,0.496061,149.958537,193.446216,148.304165,94.84868,122,-9.281573,,,b0d4c4f7640eb3d22613cf3d0dd6c8e3dd081dfb29397e5ecf6a5851338ca975
SA_R2,"paired control, not a candidate",45,phase7_refit_rescored,,31.850858,31.853929,54.750013,56.658021,0.517287,140.399427,183.538282,139.394651,96.399442,302,-6.683392,,,0e9aba8595f9447a0229d7992fb9d422cbc8b6ec537b7655d8afff3ee8664bf2
SA_R2,"paired control, not a candidate",46,phase7_refit_rescored,,32.944954,32.948807,58.714883,59.866562,0.462189,175.192043,211.807225,174.960376,98.840953,420,-8.409002,,,d82db8a9a803aa340ca156cdde1e98aff4fa074bbd35e8139ada025f3e9426c5
