model,seed,horizon,n,macro_station_MAE,micro_MAE,micro_RMSE
GRU_R1,42,1,103287,12.371968,12.371657,26.075122
GRU_R1,42,6,103287,27.743654,27.745284,48.992128
GRU_R1,42,12,103287,36.894033,36.89828,60.841801
GRU_R1,42,24,103287,46.639117,46.645677,72.801567
GRU_R1,43,1,103287,11.998565,11.998565,25.78952
GRU_R1,43,6,103287,27.424505,27.426504,48.71439
GRU_R1,43,12,103287,36.566098,36.570567,60.600422
GRU_R1,43,24,103287,46.487917,46.494518,73.048784
GRU_R1,44,1,103287,12.344167,12.344207,25.86132
GRU_R1,44,6,103287,27.547787,27.549404,48.8173
GRU_R1,44,12,103287,36.56245,36.566618,60.638145
GRU_R1,44,24,103287,46.286369,46.292538,72.710462
GRU_R1,45,1,103287,12.189255,12.189043,24.985065
GRU_R1,45,6,103287,27.605971,27.60756,48.831282
GRU_R1,45,12,103287,36.883673,36.887398,60.914587
GRU_R1,45,24,103287,46.769087,46.77506,73.336064
GRU_R1,46,1,103287,12.595532,12.595404,26.136463
GRU_R1,46,6,103287,27.601743,27.603482,48.736223
GRU_R1,46,12,103287,36.583972,36.588267,60.517918
GRU_R1,46,24,103287,46.085339,46.091616,72.357251
TCN_R1,42,1,103287,12.639597,12.64015,30.784251
TCN_R1,42,6,103287,28.094394,28.096569,51.467563
TCN_R1,42,12,103287,36.873918,36.877294,62.470494
TCN_R1,42,24,103287,45.146608,45.152312,71.568604
TCN_R1,43,1,103287,11.956202,11.956747,27.921238
TCN_R1,43,6,103287,27.449606,27.451583,50.204206
TCN_R1,43,12,103287,36.202821,36.205925,61.309625
TCN_R1,43,24,103287,45.042135,45.047753,71.388718
TCN_R1,44,1,103287,11.154906,11.154922,23.243799
TCN_R1,44,6,103287,27.223673,27.225672,48.895447
TCN_R1,44,12,103287,36.448521,36.451935,60.655656
TCN_R1,44,24,103287,46.089166,46.095057,71.414587
TCN_R1,45,1,103287,11.86075,11.861368,26.032598
TCN_R1,45,6,103287,27.933637,27.935777,50.235695
TCN_R1,45,12,103287,37.268615,37.271725,62.671816
TCN_R1,45,24,103287,46.793103,46.79838,73.779701
TCN_R1,46,1,103287,12.074161,12.074817,28.502483
TCN_R1,46,6,103287,27.996317,27.998534,51.039366
TCN_R1,46,12,103287,36.854754,36.85826,62.382224
TCN_R1,46,24,103287,45.771871,45.777855,72.371833
SA_R3,42,1,103287,17.127256,17.128263,34.750186
SA_R3,42,6,103287,27.025475,27.026705,48.027673
SA_R3,42,12,103287,35.778187,35.781139,60.08678
SA_R3,42,24,103287,46.199889,46.204286,73.827375
SA_R3,43,1,103287,16.564112,16.56595,35.545481
SA_R3,43,6,103287,26.72723,26.729237,48.679082
SA_R3,43,12,103287,35.745144,35.74857,60.269023
SA_R3,43,24,103287,45.847988,45.852508,72.249925
SA_R3,44,1,103287,18.619937,18.622287,39.511997
SA_R3,44,6,103287,26.939625,26.941932,49.729785
SA_R3,44,12,103287,34.961334,34.964998,60.624911
SA_R3,44,24,103287,44.60042,44.605456,72.894641
SA_R3,45,1,103287,17.093622,17.094829,34.622277
SA_R3,45,6,103287,26.800024,26.801908,48.014133
SA_R3,45,12,103287,35.844149,35.847839,60.169924
SA_R3,45,24,103287,45.936475,45.941389,72.738845
SA_R3,46,1,103287,20.464745,20.466249,43.947832
SA_R3,46,6,103287,28.449789,28.451717,52.788579
SA_R3,46,12,103287,35.735829,35.739281,61.872471
SA_R3,46,24,103287,44.442874,44.447681,71.286071
SA_R2,42,1,103287,17.667878,17.667275,38.839386
SA_R2,42,6,103287,28.919698,28.920917,52.386739
SA_R2,42,12,103287,36.768381,36.771942,62.39936
SA_R2,42,24,103287,45.603081,45.608845,73.233523
SA_R2,43,1,103287,18.620954,18.6218,40.770442
SA_R2,43,6,103287,29.875993,29.878121,53.711817
SA_R2,43,12,103287,38.101115,38.105511,63.215536
SA_R2,43,24,103287,46.254125,46.259984,72.209425
SA_R2,44,1,103287,18.057528,18.058573,39.643608
SA_R2,44,6,103287,29.148,29.150281,52.725272
SA_R2,44,12,103287,36.900195,36.9047,62.413611
SA_R2,44,24,103287,45.270557,45.276432,72.168689
SA_R2,45,1,103287,16.65612,16.655712,35.823333
SA_R2,45,6,103287,28.146029,28.147906,50.603087
SA_R2,45,12,103287,36.734199,36.738797,61.410682
SA_R2,45,24,103287,45.867083,45.873303,72.286029
SA_R2,46,1,103287,19.813895,19.815495,44.928305
SA_R2,46,6,103287,29.801201,29.803747,55.392979
SA_R2,46,12,103287,37.28158,37.286415,63.950474
SA_R2,46,24,103287,44.883138,44.889571,71.829124
