target_station,source_station,distance_km,mean_attention_weight,training_pm25_pearson_r,nearest_geographic_station,highest_attention_station
Aotizhongxin,Changping,29.741961,0.08126517,0.854054,False,False
Aotizhongxin,Dingling,37.611341,0.11528596,0.842125,False,True
Aotizhongxin,Dongsi,6.134942,0.07802129,0.950419,True,False
Aotizhongxin,Guanyuan,7.692296,0.08012259,0.959712,False,False
Aotizhongxin,Gucheng,19.668691,0.06958685,0.904454,False,False
Aotizhongxin,Huairou,43.192809,0.08379315,0.842212,False,False
Aotizhongxin,Nongzhanguan,7.402187,0.08589726,0.945126,False,False
Aotizhongxin,Shunyi,27.242545,0.10665559,0.888525,False,False
Aotizhongxin,Tiantan,10.708725,0.08034636,0.94155,False,False
Aotizhongxin,Wanliu,9.388444,0.06534734,0.936472,False,False
Aotizhongxin,Wanshouxigong,12.184238,0.07663104,0.920363,False,False
Changping,Aotizhongxin,29.741961,0.06906844,0.854054,False,False
Changping,Dingling,8.382697,0.13664861,0.923512,True,True
Changping,Dongsi,35.759311,0.07361049,0.827264,False,False
Changping,Guanyuan,33.34019,0.07516667,0.848699,False,False
Changping,Gucheng,33.918752,0.06853282,0.864323,False,False
Changping,Huairou,35.951194,0.09215379,0.864493,False,False
Changping,Nongzhanguan,36.819287,0.07723344,0.810987,False,False
Changping,Shunyi,37.47135,0.10698889,0.819089,False,False
Changping,Tiantan,39.769571,0.07590197,0.822853,False,False
Changping,Wanliu,26.030311,0.06107684,0.866988,False,False
Changping,Wanshouxigong,39.099431,0.07301571,0.79924,False,False
Dingling,Aotizhongxin,37.611341,0.06809943,0.842125,False,False
Dingling,Changping,8.382697,0.08953794,0.923512,True,False
Dingling,Dongsi,43.702506,0.072259,0.811918,False,False
Dingling,Guanyuan,41.613119,0.07418535,0.83325,False,False
Dingling,Gucheng,42.143114,0.07105485,0.849283,False,False
Dingling,Huairou,34.826097,0.09520022,0.870798,False,False
Dingling,Nongzhanguan,44.477146,0.07602623,0.797587,False,False
Dingling,Shunyi,41.244909,0.10507688,0.824508,False,True
Dingling,Tiantan,47.865946,0.07480146,0.807895,False,False
Dingling,Wanliu,34.389398,0.06089734,0.844789,False,False
Dingling,Wanshouxigong,47.384661,0.07187473,0.784975,False,False
Dongsi,Aotizhongxin,6.134942,0.07559488,0.950419,False,False
Dongsi,Changping,35.759311,0.08214159,0.827264,False,False
Dongsi,Dingling,43.702506,0.11850332,0.811918,False,True
Dongsi,Guanyuan,6.650972,0.07935539,0.963667,False,False
Dongsi,Gucheng,19.939702,0.06876331,0.895272,False,False
Dongsi,Huairou,47.856312,0.08502821,0.826776,False,False
Dongsi,Nongzhanguan,3.855633,0.08534434,0.953743,True,False
Dongsi,Shunyi,29.922982,0.10800036,0.883769,False,False
Dongsi,Tiantan,4.856872,0.079659,0.965634,False,False
Dongsi,Wanliu,12.820519,0.06380761,0.92487,False,False
Dongsi,Wanshouxigong,7.931052,0.07625822,0.942293,False,False
Guanyuan,Aotizhongxin,7.692296,0.07559129,0.959712,False,False
Guanyuan,Changping,33.34019,0.08228026,0.848699,False,False
Guanyuan,Dingling,41.613119,0.11836646,0.83325,False,True
Guanyuan,Dongsi,6.650972,0.07755794,0.963667,False,False
Guanyuan,Gucheng,13.32294,0.0694745,0.92286,False,False
Guanyuan,Huairou,50.716164,0.08561653,0.837147,False,False
Guanyuan,Nongzhanguan,10.440161,0.08451646,0.943158,False,False
Guanyuan,Shunyi,34.765778,0.10689083,0.879401,False,False
Guanyuan,Tiantan,7.51684,0.07940207,0.959976,False,False
Guanyuan,Wanliu,7.825419,0.06426125,0.952758,False,False
Guanyuan,Wanshouxigong,5.778351,0.07628838,0.944659,True,False
Gucheng,Aotizhongxin,19.668691,0.07221827,0.904454,False,False
Gucheng,Changping,33.918752,0.08458159,0.864323,False,False
Gucheng,Dingling,42.143114,0.12529917,0.849283,False,True
Gucheng,Dongsi,19.939702,0.0745224,0.895272,False,False
Gucheng,Guanyuan,13.32294,0.07734713,0.92286,False,False
Gucheng,Huairou,59.535407,0.08808371,0.852709,False,False
Gucheng,Nongzhanguan,23.758727,0.08124901,0.872534,False,False
Gucheng,Shunyi,46.578888,0.10932002,0.858572,False,False
Gucheng,Tiantan,19.276111,0.07773811,0.893809,False,False
Gucheng,Wanliu,11.957292,0.06337641,0.935826,True,False
Gucheng,Wanshouxigong,14.880608,0.07393779,0.886466,False,False
Huairou,Aotizhongxin,43.192809,0.06854991,0.842212,False,False
Huairou,Changping,35.951194,0.08787722,0.864493,False,False
Huairou,Dingling,34.826097,0.13561902,0.870798,False,True
Huairou,Dongsi,47.856312,0.07255292,0.826776,False,False
Huairou,Guanyuan,50.716164,0.07471951,0.837147,False,False
Huairou,Gucheng,59.535407,0.06872262,0.852709,False,False
Huairou,Nongzhanguan,45.736632,0.07694915,0.803842,False,False
Huairou,Shunyi,22.467444,0.10899716,0.900714,True,False
Huairou,Tiantan,52.619453,0.07553503,0.819772,False,False
Huairou,Wanliu,47.72353,0.06098786,0.840013,False,False
Huairou,Wanshouxigong,55.27036,0.07251755,0.795619,False,False
Nongzhanguan,Aotizhongxin,7.402187,0.07627179,0.945126,False,False
Nongzhanguan,Changping,36.819287,0.08081707,0.810987,False,False
Nongzhanguan,Dingling,44.477146,0.11522433,0.797587,False,True
Nongzhanguan,Dongsi,3.855633,0.07781855,0.953743,True,False
Nongzhanguan,Guanyuan,10.440161,0.079925,0.943158,False,False
Nongzhanguan,Gucheng,23.758727,0.06898063,0.872534,False,False
Nongzhanguan,Huairou,45.736632,0.08433162,0.803842,False,False
Nongzhanguan,Shunyi,26.817371,0.10662201,0.872652,False,False
Nongzhanguan,Tiantan,7.305621,0.0805929,0.951963,False,False
Nongzhanguan,Wanliu,15.837572,0.06525232,0.906858,False,False
Nongzhanguan,Wanshouxigong,11.378869,0.07683419,0.933461,False,False
Shunyi,Aotizhongxin,27.242545,0.0721655,0.888525,False,False
Shunyi,Changping,37.47135,0.08419321,0.819089,False,False
Shunyi,Dingling,41.244909,0.12460815,0.824508,False,True
Shunyi,Dongsi,29.922982,0.07458238,0.883769,False,False
