target_station,Aotizhongxin,Changping,Dingling,Dongsi,Guanyuan,Gucheng,Huairou,Nongzhanguan,Shunyi,Tiantan,Wanliu,Wanshouxigong
Aotizhongxin,0.0,29.741961,37.611341,6.134942,7.692296,19.668691,43.192809,7.402187,27.242545,10.708725,9.388444,12.184238
Changping,29.741961,0.0,8.382697,35.759311,33.34019,33.918752,35.951194,36.819287,37.47135,39.769571,26.030311,39.099431
Dingling,37.611341,8.382697,0.0,43.702506,41.613119,42.143114,34.826097,44.477146,41.244909,47.865946,34.389398,47.384661
Dongsi,6.134942,35.759311,43.702506,0.0,6.650972,19.939702,47.856312,3.855633,29.922982,4.856872,12.820519,7.931052
Guanyuan,7.692296,33.34019,41.613119,6.650972,0.0,13.32294,50.716164,10.440161,34.765778,7.51684,7.825419,5.778351
Gucheng,19.668691,33.918752,42.143114,19.939702,13.32294,0.0,59.535407,23.758727,46.578888,19.276111,11.957292,14.880608
Huairou,43.192809,35.951194,34.826097,47.856312,50.716164,59.535407,0.0,45.736632,22.467444,52.619453,47.72353,55.27036
Nongzhanguan,7.402187,36.819287,44.477146,3.855633,10.440161,23.758727,45.736632,0.0,26.817371,7.305621,15.837572,11.378869
Shunyi,27.242545,37.47135,41.244909,29.922982,34.765778,46.578888,22.467444,26.817371,0.0,34.121849,34.975604,37.850856
Tiantan,10.708725,39.769571,47.865946,4.856872,7.51684,19.276111,52.619453,7.305621,34.121849,0.0,15.192265,4.776571
Wanliu,9.388444,26.030311,34.389398,12.820519,7.825419,11.957292,47.72353,15.837572,34.975604,15.192265,0.0,13.327291
Wanshouxigong,12.184238,39.099431,47.384661,7.931052,5.778351,14.880608,55.27036,11.378869,37.850856,4.776571,13.327291,0.0
