horizon,target_station,groups,Aotizhongxin,Changping,Dingling,Dongsi,Guanyuan,Gucheng,Huairou,Nongzhanguan,Shunyi,Tiantan,Wanliu,Wanshouxigong
1,Aotizhongxin,8763,0.07706795,0.08124132,0.11530525,0.07802315,0.08017829,0.06958408,0.08386796,0.08586417,0.1066253,0.0802572,0.06536064,0.07662469
1,Changping,8763,0.06910469,0.09057663,0.13665297,0.07362045,0.0752258,0.06850232,0.09218863,0.07723074,0.10694689,0.0758393,0.06108133,0.07303027
1,Dingling,8763,0.06813868,0.08951068,0.14099221,0.07227287,0.07425083,0.07102507,0.09523311,0.07602214,0.10503482,0.07472954,0.0609032,0.07188685
1,Dongsi,8763,0.0756241,0.08212182,0.11852842,0.07754449,0.07941029,0.06876071,0.08511364,0.0853088,0.10796566,0.07955644,0.06381941,0.07624623
1,Guanyuan,8763,0.07561655,0.0822582,0.11838475,0.07756147,0.07980792,0.06946471,0.08570732,0.08448824,0.10685544,0.07930514,0.06427184,0.07627843
1,Gucheng,8763,0.07225064,0.08456239,0.12531206,0.0745238,0.07740259,0.07229929,0.08815458,0.08123458,0.10927965,0.07765766,0.06338673,0.07393601
1,Huairou,8763,0.06858622,0.08784225,0.13561923,0.07255404,0.07477513,0.0687264,0.09703619,0.07694154,0.10895076,0.07544976,0.06100713,0.07251135
1,Nongzhanguan,8763,0.07629234,0.08080573,0.11525927,0.07781296,0.07996961,0.06898952,0.08442574,0.08727515,0.10659854,0.08049122,0.06526336,0.07681657
1,Shunyi,8763,0.07219098,0.08415345,0.12460864,0.07457096,0.07711486,0.06883494,0.08904072,0.08176336,0.11309439,0.07758583,0.06313448,0.07390738
1,Tiantan,8763,0.07485337,0.08197253,0.11777563,0.07747906,0.07946163,0.06940957,0.08551912,0.08519776,0.10722415,0.08026059,0.06450515,0.07634144
1,Wanliu,8763,0.07449259,0.08347611,0.11883412,0.0765484,0.07880373,0.07021213,0.08623942,0.08313159,0.10806812,0.07867683,0.06588044,0.07563652
1,Wanshouxigong,8763,0.07502011,0.0820253,0.11833749,0.07716403,0.0794232,0.06917059,0.08568704,0.0852033,0.10763871,0.07960174,0.06437905,0.07634943
6,Aotizhongxin,8763,0.07709307,0.08130035,0.11531963,0.07802903,0.08018297,0.06969267,0.08354685,0.08587406,0.10663858,0.080322,0.06538923,0.07661154
6,Changping,8763,0.06912328,0.09062079,0.13665222,0.07362565,0.07522449,0.06862237,0.09188263,0.07722118,0.10698763,0.07590291,0.06111894,0.0730179
6,Dingling,8763,0.06815479,0.08955606,0.14098802,0.07227546,0.07424449,0.07114763,0.09492855,0.0760127,0.10507531,0.07480158,0.0609396,0.07187581
6,Dongsi,8763,0.07563927,0.08218323,0.11854893,0.07754869,0.07941072,0.06887382,0.08479152,0.08531498,0.10798568,0.07962827,0.06384752,0.07622737
6,Guanyuan,8763,0.07563913,0.08231595,0.11840177,0.07756576,0.07981064,0.06958159,0.0853808,0.08448968,0.10687573,0.07937309,0.06430386,0.07626201
6,Gucheng,8763,0.07227125,0.08460803,0.12532377,0.07453486,0.07740416,0.07243759,0.08782759,0.08122743,0.10930985,0.07771794,0.06341632,0.07392123
6,Huairou,8763,0.06859946,0.08788894,0.13562239,0.07256779,0.07477689,0.06880079,0.09671927,0.0769362,0.10899663,0.07554633,0.06102065,0.07252467
6,Nongzhanguan,8763,0.07631764,0.08085641,0.11526607,0.07782229,0.07997716,0.06907764,0.08410747,0.08730941,0.10660448,0.0805677,0.06528853,0.07680521
6,Shunyi,8763,0.0722082,0.08422266,0.12463907,0.07459572,0.07712293,0.06889795,0.08867111,0.08177493,0.11312467,0.07767858,0.06313746,0.07392672
6,Tiantan,8763,0.07487366,0.08201832,0.117779,0.07748749,0.07946882,0.06951524,0.08520329,0.08521834,0.10723989,0.08033021,0.06453725,0.07632849
6,Wanliu,8763,0.07451843,0.08352655,0.11884197,0.07655747,0.07880342,0.07031141,0.08597022,0.08312952,0.1080863,0.07873162,0.06590506,0.07561803
6,Wanshouxigong,8763,0.07503576,0.08207594,0.11834964,0.07716847,0.07942544,0.06928147,0.08536836,0.08522389,0.10765438,0.07967436,0.06440819,0.0763341
12,Aotizhongxin,8763,0.07702766,0.08124626,0.11524303,0.07803129,0.08007778,0.0695384,0.08390652,0.08590572,0.10669284,0.08034943,0.06534374,0.07663734
12,Changping,8763,0.06903942,0.09058939,0.13662967,0.07360768,0.07510151,0.06847577,0.09235928,0.07721808,0.10704186,0.0758724,0.0610695,0.07299545
12,Dingling,8763,0.06806603,0.08953248,0.14097803,0.07224964,0.07411204,0.07099986,0.09541617,0.07600371,0.10512832,0.0747702,0.06088734,0.0718562
12,Dongsi,8763,0.07557293,0.08212013,0.11845617,0.07755246,0.07930034,0.06870776,0.08516082,0.08535351,0.10804205,0.07966671,0.06380097,0.07626613
12,Guanyuan,8763,0.07556935,0.08226236,0.11832479,0.07756467,0.07969815,0.06942472,0.08574858,0.08452122,0.10693131,0.07940927,0.06425068,0.07629488
12,Gucheng,8763,0.07219326,0.08455129,0.12526676,0.07452863,0.07729233,0.07227121,0.08823493,0.08125082,0.10937022,0.07773756,0.06336521,0.07393778
12,Huairou,8763,0.06852,0.08786945,0.13560183,0.07255353,0.0746548,0.06866438,0.09715149,0.07692976,0.10905576,0.0755118,0.06097742,0.07250979
12,Nongzhanguan,8763,0.07625414,0.08079239,0.11517204,0.07783113,0.07987628,0.06892129,0.0844543,0.08734848,0.10665726,0.08060171,0.06524727,0.0768437
12,Shunyi,8763,0.07214486,0.0841804,0.1245826,0.07459062,0.07702938,0.06874847,0.08909254,0.08179159,0.11316839,0.077662,0.06308905,0.0739201
12,Tiantan,8763,0.07480763,0.08195765,0.11769059,0.07749156,0.07937108,0.06936667,0.08554722,0.08525692,0.10729231,0.08036619,0.06449561,0.07635656
12,Wanliu,8763,0.07445066,0.08346905,0.11878624,0.07656293,0.07871594,0.07016284,0.0862785,0.08316366,0.10813084,0.07876922,0.06585729,0.07565284
12,Wanshouxigong,8763,0.07497112,0.08200638,0.11824925,0.07717651,0.07933164,0.06913422,0.08571039,0.08527073,0.10770508,0.07971324,0.06436827,0.07636319
24,Aotizhongxin,8763,0.0770009,0.08127275,0.11527592,0.07800171,0.08005131,0.06953226,0.08385126,0.08594512,0.10666564,0.0804568,0.06529573,0.0766506
24,Changping,8763,0.06900635,0.09062259,0.13665958,0.07358817,0.07511487,0.06853083,0.09218462,0.07726375,0.10697917,0.07599326,0.06103759,0.07301921
24,Dingling,8763,0.06803822,0.08955256,0.140988,0.07223803,0.07413402,0.07104684,0.09522307,0.07606637,0.10506907,0.07490452,0.06085922,0.07188008
24,Dongsi,8763,0.07554323,0.08214118,0.11847975,0.07752944,0.0793002,0.06871096,0.08504685,0.08540007,0.10800807,0.07978457,0.06376253,0.07629316
24,Guanyuan,8763,0.07554012,0.08228455,0.1183545,0.07753986,0.07969938,0.06942697,0.08562942,0.08456671,0.10690084,0.0795208,0.06421864,0.07631821
24,Gucheng,8763,0.07215794,0.08460465,0.12529411,0.07450232,0.07728942,0.07229746,0.08811773,0.08128323,0.10932036,0.07783928,0.06333737,0.07395614
24,Huairou,8763,0.06849394,0.08790824,0.13563266,0.07253633,0.0746712,0.06869892,0.09698124,0.07698912,0.1089855,0.07563222,0.06094624,0.07252439
24,Nongzhanguan,8763,0.07622303,0.08081377,0.11519995,0.0778078,0.07987693,0.06893409,0.08433899,0.08738531,0.10662778,0.08071097,0.06521011,0.07687127
24,Shunyi,8763,0.07211794,0.08421633,0.1246023,0.07457223,0.07704111,0.06878358,0.08890688,0.08184488,0.11311972,0.077774,0.06307238,0.07394863
24,Tiantan,8763,0.0747767,0.0819878,0.11772382,0.07746707,0.07936876,0.06937161,0.08540448,0.08529314,0.10726342,0.0804811,0.06446363,0.07639846
24,Wanliu,8763,0.07442203,0.08349834,0.11881022,0.07654184,0.07870462,0.07018394,0.08616867,0.0832075,0.10809767,0.07887521,0.06581182,0.07567813
24,Wanshouxigong,8763,0.07494228,0.08203132,0.11828287,0.07715296,0.07932244,0.06912264,0.08557859,0.08531298,0.10767936,0.07983433,0.06433105,0.07640918
