target_station,Aotizhongxin,Changping,Dingling,Dongsi,Guanyuan,Gucheng,Huairou,Nongzhanguan,Shunyi,Tiantan,Wanliu,Wanshouxigong
Aotizhongxin,0.0770474,0.08126517,0.11528596,0.07802129,0.08012259,0.06958685,0.08379315,0.08589726,0.10665559,0.08034636,0.06534734,0.07663104
Changping,0.06906844,0.09060235,0.13664861,0.07361049,0.07516667,0.06853282,0.09215379,0.07723344,0.10698889,0.07590197,0.06107684,0.07301571
Dingling,0.06809943,0.08953794,0.14098657,0.072259,0.07418535,0.07105485,0.09520022,0.07602623,0.10507688,0.07480146,0.06089734,0.07187473
Dongsi,0.07559488,0.08214159,0.11850332,0.07754377,0.07935539,0.06876331,0.08502821,0.08534434,0.10800036,0.079659,0.06380761,0.07625822
Guanyuan,0.07559129,0.08228026,0.11836646,0.07755794,0.07975402,0.0694745,0.08561653,0.08451646,0.10689083,0.07940207,0.06426125,0.07628838
Gucheng,0.07221827,0.08458159,0.12529917,0.0745224,0.07734713,0.07232639,0.08808371,0.08124901,0.10932002,0.07773811,0.06337641,0.07393779
Huairou,0.06854991,0.08787722,0.13561902,0.07255292,0.07471951,0.06872262,0.09697205,0.07694915,0.10899716,0.07553503,0.06098786,0.07251755
Nongzhanguan,0.07627179,0.08081707,0.11522433,0.07781855,0.079925,0.06898063,0.08433162,0.08732959,0.10662201,0.0805929,0.06525232,0.07683419
Shunyi,0.0721655,0.08419321,0.12460815,0.07458238,0.07707707,0.06881623,0.08892781,0.08179369,0.1131268,0.0776751,0.06310835,0.07392571
Tiantan,0.07482784,0.08198407,0.11774226,0.0774813,0.07941757,0.06941577,0.08541853,0.08524154,0.10725494,0.08035952,0.06450041,0.07635624
Wanliu,0.07447093,0.08349251,0.11881814,0.07655266,0.07875693,0.07021758,0.0861642,0.08315807,0.10809573,0.07876322,0.06586365,0.07564638
Wanshouxigong,0.07499232,0.08203474,0.11830481,0.07716549,0.07937568,0.06917723,0.08558609,0.08525273,0.10766938,0.07970592,0.06437164,0.07636397
