target_station,groups,Aotizhongxin,Changping,Dingling,Dongsi,Guanyuan,Gucheng,Huairou,Nongzhanguan,Shunyi,Tiantan,Wanliu,Wanshouxigong
Aotizhongxin,3088,0.09848391,0.0439297,0.06977499,0.08358137,0.10398839,0.06170729,0.04737408,0.13773046,0.10419834,0.10487336,0.07849333,0.06586476
Changping,3088,0.07240861,0.07456153,0.11125586,0.07469833,0.09152635,0.05677198,0.07361192,0.10626169,0.11253224,0.09454394,0.0720931,0.05973445
Dingling,3088,0.07573232,0.06404011,0.11257754,0.07454016,0.0921174,0.05637656,0.0752437,0.10825908,0.11315381,0.09409882,0.07363075,0.06022973
Dongsi,3088,0.09742454,0.04329548,0.06768442,0.08370296,0.10358552,0.06300051,0.04913943,0.1396797,0.10421421,0.10432446,0.07812105,0.06582771
Guanyuan,3088,0.09651276,0.0450405,0.06899281,0.08352199,0.10369025,0.06284373,0.05145043,0.1350673,0.10383826,0.10321027,0.07951086,0.06632085
Gucheng,3088,0.08996925,0.04835377,0.07803534,0.07654205,0.10210123,0.06595903,0.05564687,0.1264905,0.11485793,0.10163251,0.0787407,0.06167082
Huairou,3088,0.07801108,0.05944371,0.09956962,0.073611,0.09106624,0.05850016,0.08087762,0.10806063,0.12227168,0.09327433,0.07562904,0.05968489
Nongzhanguan,3088,0.09831716,0.04197583,0.06480824,0.08475571,0.10365162,0.06220292,0.04646589,0.14498659,0.10099684,0.10727185,0.0777701,0.06679724
Shunyi,3088,0.08865508,0.04814826,0.08076046,0.07610654,0.09915365,0.06070954,0.06014837,0.12608468,0.123301,0.10018247,0.07612538,0.06062456
Tiantan,3088,0.09199176,0.04420055,0.06796892,0.08387515,0.10331818,0.06277447,0.0499248,0.13722461,0.10566336,0.10768511,0.07894045,0.06643264
Wanliu,3088,0.09311343,0.04907096,0.07229774,0.08209498,0.10248133,0.06166372,0.05660194,0.12860716,0.10865222,0.10049009,0.08037696,0.0645495
Wanshouxigong,3088,0.09470436,0.0445369,0.06666964,0.08205881,0.10439452,0.06352517,0.05043877,0.13736234,0.10491113,0.10512335,0.07938552,0.06688948
